20190504,长宁,天山,仁恒一期大平层，看小区景观，带产权车位，看房有钥匙,1750万,中楼层(共26层)                                                    | 2004年建 |                                 4室2厅 | 213.2平米                                  | 西北 北,https://ke-image.ljcdn.com/310000-inspection/prod-edc81d42-ae28-4d9d-8eea-ef195be1a309.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2号线威宁路站+品质小区+高区景观房+配套成熟,490万,高楼层(共11层)                                                    | 2006年建 |                                 1室2厅 | 51.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-cb2f94fc-a126-4e2f-8228-560eee345663.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,板式3房，房间1南2北，客餐厅南北通透，含产权车位,1179万,高楼层(共24层)                                                    | 2007年建 |                                 3室2厅 | 145.06平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-d33b8bfc-07a2-4239-8cfb-e5571332c9ea.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒品质 人车分流 楼层佳  诚意售 看房便,865万,中楼层(共27层)                                                    | 2005年建 |                                 2室2厅 | 84.84平米                                  | 西北,https://ke-image.ljcdn.com/310000-inspection/prod-cc025eaa-6da2-43f5-ab5b-7f355d24cc25.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,境外房东诚意出售 满五，附带产权车位 价格可谈,1100万,低楼层(共24层)                                                    | 2007年建 |                                 3室2厅 | 142.9平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-208762b6-7ea4-45f3-b792-e65f7001eaa7.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,高区2房，阳光景观视野好，小区带会所，低总价,858万,高楼层(共27层)                                                    | 2005年建 |                                 2室2厅 | 105.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-cdb7fe32-113a-4e35-b494-fc14a41c2be0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,税费各付，2房朝南厅朝南，看房有钥匙！,620万,低楼层(共19层)                                                    | 2004年建 |                                 2室2厅 | 88.33平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-338a6183-80fb-4ed6-bc70-182c6418fa6a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,诚意急售 位置安静 满五唯一 看房方便,700万,低楼层(共15层)                                                    | 2009年建 |                                 2室2厅 | 86.02平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/e4d1c4cc-4cbd-4ffe-838e-5377de52f5bb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,特殊户型  有中.央空调 可随心装修 绿化高 地段好,890万,低楼层(共11层)                                                    | 2009年建 |                                 2室2厅 | 123.92平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-181aa8a0-2e46-4150-91ea-fd4361f4723b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,Lian Jia 真.房.源 假yi赔.百 房东诚意出售！,195万,高楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 43.55平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/3c8d0c36-3f33-45b1-b715-695955069160.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,房子满五年税费少，婚房装修，看房方便,290万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 56.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-eb622413-baab-459e-9365-49f61efb37e1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
