20190504,闵行,静安新城,满五唯一税少！学对门地铁口！户型通透楼层好位置好,305万,中楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 61.48平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-f2fe103d-8246-4a00-bec5-26d58ec50db1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,静安新城商品房小区 高区景观房 满五年唯一 装修好,475万,高楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 84.91平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2ba7ffee-f325-4035-b1f5-6638776779e3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,满五年唯一税少，双天井，交通便利，两房诚售,330万,低楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 61.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2fa1f876-0307-4812-b6c9-8f1080b8b9d7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,满五年无个税 不靠路位置好 楼层好 房东诚意出售,320万,低楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 61.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b1f469c6-6015-4bd0-ade5-27a58c5a069d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,正宗板式户型，南北通风，无任何浪费面积，业主诚意,780万,中楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 107.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-be36a3c5-826f-41f9-be61-48bf8377c8e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,满五唯一，税费少+楼层好上下楼方便+有车位+精装,465万,中楼层(共5层)                                                    | 1996年建 |                                 2室2厅 | 81.86平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e09415dd-2b7d-41cc-b4ee-8e3b8ae45ead.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,三区再现低总价双南两房、一梯两户、全明、随时看房,335万,高楼层(共7层)                                                    | 1997年建 |                                 2室1厅 | 66.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-bdd121da-066d-4f32-9885-0e3383d34d99.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,房子保养 楼层好 采光充足 交通便利 小区环境优雅！,560万,高楼层(共6层)                                                    | 2002年建 |                                 2室1厅 | 89.2平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-632b2143-8403-4abd-85c0-af168a54820a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,中间楼层低总价，满五唯一税少，配套完善，生活方便,350万,中楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 66.5平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170121/51e5f522-7fe4-4418-a27d-d8651134d1df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,九歌上郡仅此在售一套大平层，带地下车位，价格可谈。,1050万,低楼层(共12层)                                                    | 2006年建 |                                 4室2厅 | 198平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20141209/f167d31e-514f-47c1-b9ab-9f36162f51a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,九歌中庭 1室0厅 北,160万,中楼层(共9层)                                                    | 2006年建 |                                 1室0厅 | 36.49平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/test-9032e919-a380-45a4-85a7-3dfee038fe76.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,小区中间位置+中间楼层近地铁+双南户型+视野宽阔,430万,中楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 68.31平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-41e41a36-ddd2-46db-aba0-e2356af876e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,中高区电梯复式三房，很是稀有，9号线500米，自住装修,799万,中楼层(共11层)                                                    | 2008年建 |                                 3室2厅 | 124平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8682e91a-0f1c-4dbb-a483-e2f02e710d21.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,本房满五年唯一，税费少，南北通户型，出门9号线,445万,高楼层(共6层)                                                    | 1994年建 |                                 3室1厅 | 103.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ba349710-63d8-488d-855f-3b37325500b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海正气板式大三房，中间楼层，视野宽广，看房方便,655万,低楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 116.19平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-7d4cca58-1566-4d3b-9738-90d2bc939c5d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,业主现在安排看房啦三年婚房装修 家具家电都是好品牌,755万,低楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 106.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-eed42e6a-1f4d-45c8-8008-e1a597dc4b02.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,低总价南北两房 交通方便 税费少 配套好 急售！,320万,高楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 66.16平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-3dcdbfd7-e4d0-4509-8be4-1463ee82a8db.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,公寓房，邻9号线，配套成熟，出行方便，生活便利,220万,低楼层(共9层)                                                    | 2006年建 |                                 1室1厅 | 59平米                                  | 西,https://ke-image.ljcdn.com/shfdfs-image/20171201/363a9f2d-1905-4f77-b125-06df513962f6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,精装大两房，九号线和十二号线，诚意卖房，方便读书,390万,高楼层(共7层)                                                    | 2000年建 |                                 2室1厅 | 79.82平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/5f0e82ee-a9b0-471a-8e6f-42e964916e67.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,次新小区，精装带地暖，近地铁，全明户型配套设施齐全,620万,中楼层(共13层)                                                    | 2014年建 |                                 2室2厅 | 95.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-180d3e94-0545-456b-a48b-2d4cad4be0b2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,地铁口 已改两房 装修温馨清爽 满五唯一 轻松购,255万,高楼层(共7层)                                                    | 1997年建 |                                 1室1厅 | 45.72平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0ec46f90-a173-4a06-af60-9be04d8ec659.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园十二区 2室2厅 南,600万,高楼层(共6层)                                                    | 1996年建 |                                 2室2厅 | 108.57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-95becea4-dd9e-426e-b3f5-44c66add6a80.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,有钥匙 采光好，近地铁 双南户型 房东诚心出售,380万,中楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 67.08平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2211fc44-5d36-49cc-93ca-28aed94f4f62.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海三区 位置好 满五唯一 两南两北 中间楼层,719万,中楼层(共7层)                                                    | 1994年建 |                                 4室2厅 | 125.43平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c3ca78d2-3cab-4c82-ae1f-e1fb95e4fa3d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,板式南北通两卫户型，居家精装，满五唯一，全角采光,595万,高楼层(共7层)                                                    | 1996年建 |                                 3室2厅 | 107平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-bd16768e-280d-4430-8116-a01408afd3b5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,配套成熟，满五唯一，北边沿河，价格低,九号线合川路,690万,低楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 101.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fa36bfc3-d2e3-490b-8a66-599ec44b189a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,户型方正 采光好 房东自住 诚意出售,425万,高楼层(共7层)                                                    | 1998年建 |                                 3室2厅 | 87.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-901be1f2-350f-4946-8014-cdb205a4a68a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,房龄新，景观楼层，采光好，精装修，拎包入住。,1100万,高楼层(共11层)                                                    | 2008年建 |                                 4室2厅 | 177.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/42f339fb-2ad2-48c9-ae09-cb2e1683ed0d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园六区 3室2厅 南,580万,低楼层(共7层)                                                    | 1994年建 |                                 3室2厅 | 107.36平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/560ddf9f-842b-4a71-b922-df11074bc490.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,静安新城九区 3室2厅 南,485万,高楼层(共7层)                                                    | 1998年建 |                                 3室2厅 | 106.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-663825f9-e655-4ce5-a27d-5f09ce1a728d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园八区 3室2厅 南,620万,中楼层(共7层)                                                    | 1994年建 |                                 3室2厅 | 103.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-0e7b7c88-6b99-43c9-bae2-46058e2a98da.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,宏明南北大两房 近地铁 满五年 业主诚意出售！,350万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 75.83平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-d7cb435e-31db-4d15-9842-52fabb6b88e2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
