20190504,松江,泗泾,业主置换 上学方便  总价低 诚心卖,185万,低楼层(共13层)                                                    | 2011年建 |                                 2室1厅 | 69.27平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1df29544-f4e2-4cf4-a3cc-30b13facd7ea.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地三期精装大两房诚意出售，产权清晰到价签字！,315万,低楼层(共17层)                                                    | 2016年建 |                                 2室2厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7144f0ca-bd29-4174-8963-87c3b6db4906.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,免增值税，一室一厅、可改两房，朝南大阳台,121万,低楼层(共28层)                                                    | 2014年建 |                                 1室1厅 | 50.42平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8e830ad1-63a0-4ce5-bedd-d2ac5f1d03e2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯城尚樱苑 2室1厅 南,209万,中楼层(共18层)                                                    | 2014年建 |                                 2室1厅 | 73.43平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f4071f66-5a24-4c33-b8ed-5aa96ae43e1e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯一期81平两房精装修业主诚意出售满五唯一,268万,中楼层(共11层)                                                    | 2006年建 |                                 2室2厅 | 81.55平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2ece6f6e-4c84-4cd7-93cf-18685ecc9608.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯一期 看房方便 拎包入住 南北方向 诚心置换,248万,高楼层(共6层)                                                    | 2006年建 |                                 2室2厅 | 78.17平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-4945eba9-1408-4cc9-8d0a-65e3f342095e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯一期，近地铁，位置佳，采光通风充分。,245.8万,高楼层(共6层)                                                    | 2006年建 |                                 2室2厅 | 78.08平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-da46f9cd-4b9c-4b83-8c82-9777a76f6162.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,润江花苑可改两房户型，得房率高房东诚意出售。,163万,中楼层(共6层)                                                    | 2011年建 |                                 1室1厅 | 56.22平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-bc579e8f-e52e-4d47-a6ca-4b82e990345c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,精装修两房，拎包入住，房子满两年，税费少，,205万,中楼层(共9层)                                                    | 2011年建 |                                 2室1厅 | 50.54平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-44b35dda-b44b-403b-b968-b03d1caaedbc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯城丹桂苑 1室1厅 南,174万,低楼层(共9层)                                                    | 2011年建 |                                 1室1厅 | 50.45平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-aa1142e7-97d4-46fa-ae82-ea11f29e278a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,房东来电急售，希望一个月内卖掉，观景位置交通便利.,225.8万,中楼层(共13层)                                                    | 2012年建 |                                 2室1厅 | 77.48平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-02477e41-8e94-43e3-a9f2-5347f5cd4473.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,房子户型正气南北通动静分区置业不错的选择值得购买!,195万,低楼层(共13层)                                                    | 2014年建 |                                 2室2厅 | 67.87平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/320b9887-cb90-43b4-9d79-a68320142416.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,2014年竣工，正朝南，出门就是购物公交车，交通便利,175万,高楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 65.47平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-e06cfd94-2a8c-4920-9e8f-d78fa68e7768.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,紫薇茗庭毛坯两房 一厅一厨一卫,177.9万,高楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 65.58平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-a13b2200-ec07-44fe-940d-c39b3223efe4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,一手动迁学xiao方便交通出行便利有万达吉买盛星巴克。,182万,低楼层(共13层)                                                    | 2012年建 |                                 2室1厅 | 71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2676a01a-7c82-4d2e-b611-33cd5faa1c28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,同润精装小户型，业主置换急售，随时可看！,160万,中楼层(共16层)                                                    | 2010年建 |                                 1室1厅 | 56.59平米                                  | 西,https://ke-image.ljcdn.com/310000-inspection/prod-ac68cbf2-0485-4f3c-98b2-5f9f17b0ae39.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,同润菲诗艾伦 2室1厅 南,152万,低楼层(共16层)                                                    | 2010年建 |                                 2室1厅 | 55.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d321d786-7274-40e5-b1a1-1f2dd42f2ea3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
