20190504,松江,松江大学城,正气小3房+精装修满2年+高区采光好+业主诚意出售,308万,高楼层(共18层)                                                    | 2014年建 |                                 3室2厅 | 88.53平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-511a3a13-d217-4ec4-ad57-ad37c3f07b49.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,双南双阳台，厅朝南，好楼层，近9号线，不要错过,360万,中楼层(共18层)                                                    | 2005年建 |                                 2室2厅 | 92.99平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9c94ead9-2364-4d2a-a7f4-f629d63f3ad4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,89平精装三房  万科品质  紧靠万达  拎包入住,355万,低楼层(共21层)                                                    | 2014年建 |                                 3室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-488093b1-5d94-43d8-8bac-b7aa6bfe8b8b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,绿地边套/电梯高区/独立厨卫/全明户型/大金空调景观房,230万,中楼层(共10层)                                                    | 2010年建 |                                 1室1厅 | 55.69平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b919324e-a411-462b-a0ec-212e51bec9e9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,星辰园 一改二两房 自住装修  诚意出售 地铁九号线,310万,低楼层(共18层)                                                    | 2005年建 |                                 2室1厅 | 65.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-32470115-250e-47bb-b2fe-2b3afda51b96.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,莱顿小城 3室2厅 南 北,315万,高楼层(共14层)                                                    | 2012年建 |                                 3室2厅 | 90.54平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-3de10268-72c7-44eb-8700-1a4097397fa3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,龙湖好望山 精装大1房 loft风格 70年产权住宅 很清新,269万,高楼层(共20层)                                                    | 2013年建 |                                 1室1厅 | 82平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-975b737f-b0b2-4f5c-9a36-29abfabebd28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,绿地从新挂牌出售+带地暖+回老家，可小刀！很少入住,480万,高楼层(共11层)                                                    | 2011年建 |                                 3室2厅 | 112.66平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-89695562-c0f4-453a-8528-40ea74fba066.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,此房满五唯一，税费少，上外松外旁边，近地铁和万达,297.99万,低楼层(共27层)                                                    | 2006年建 |                                 2室1厅 | 82.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ae20a9de-ac71-4299-9629-820ccdbd174c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,三湘四季花城 3室2厅 南,370万,低楼层(共14层)                                                    | 2008年建 |                                 3室2厅 | 113平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d5c606f2-76d5-4a15-a40e-dbdc831e21ab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,双南夹厅南北直通户型+满五唯一+9号线边,407万,低楼层(共14层)                                                    | 2008年建 |                                 2室2厅 | 104.41平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-27212567-e6fe-46f2-ba0f-ec01577b058b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
