20190504,徐汇,华泾,四村中区双南全明2房 一梯两户 满五唯一,275万,中楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 65.93平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d1fdd673-6639-4afe-8850-753b14d57e5e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,此房满五唯一，无增值税，无个税,243万,低楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 55.36平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-016014a7-a7c0-4d9c-9f08-287c86b94887.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,馨宁公寓精品双南二房，一手动迁，生活便利,346万,低楼层(共29层)                                                    | 2011年建 |                                 2室1厅 | 62.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4b3ff1ae-d6b1-4914-ad31-f7f8b65423aa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,复式居家装修  带花园  位置安静  随时看房,410万,低楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 90.51平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-dffd8c26-0058-4c2e-9ef4-e7a9fcd3dddd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,1999年商品房+钻石厅+采光充足+楼层好+位置佳,325万,中楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 78.43平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e82126ac-4428-41b9-a238-bca7354862fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,位置安静，精装修，中间楼层，采光好，小区环境好，,300万,中楼层(共6层)                                                    | 2004年建 |                                 2室1厅 | 61.46平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2698db4f-7610-4cf4-b16e-bb212d1fc78e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,小区中间位置，安静。产权清晰，无纠纷，随时收订。,255万,高楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 60.38平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e53f0990-f3da-4494-8e04-d2622fcd0d88.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,采光好 小户型毛坯 方便装修 房东诚意出售,153万,高楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 38.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e8cd7994-1f3f-4375-9874-e370e9768ae9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,徐汇臻园（公寓）精品四房，房东诚意出售,875万,中楼层(共11层)                                                    | 2007年建 |                                 4室2厅 | 149.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b46d9faa-222d-4325-bb6d-d86d43369d9b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,华泾,顶楼复式附30平南北露台，中式新装修 无个税,550万,高楼层(共6层)                                                    | 1999年建 |                                 3室2厅 | 127.59平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-56a616f8-02c5-4a01-b017-84b89a7cfc05.png!m_fill,w_280,h_210,f_jpg?from=ke.com
