20190504,杨浦,控江路,南北通+一梯四户+精装修+可直接入住+采光好+有钥匙,565万,低楼层(共18层)                                                    | 2010年建 |                                 2室2厅 | 81.54平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-19d652e2-d426-4ba9-a606-d5fc972d0a3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,江浦路地铁站边 01年复式楼 阁楼跟二楼露台不算面积,525万,高楼层(共5层)                                                    | 2001年建 |                                 3室2厅 | 106.27平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-08bd58c5-f1a5-4e57-aba3-8b7225debf09.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村内环内+正宗一室一厅+中间楼层+随时看房,208万,中楼层(共6层)                                                    | 2011年建 |                                 1室1厅 | 43.16平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-09b39770-9860-4efd-9835-2fad0f4fddce.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,降价诚售，高区精装修，全明户型，视野宽阔,680万,中楼层(共32层)                                                    | 2004年建 |                                 2室2厅 | 99.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f73baf1c-b353-42bd-ad8f-331722cfeedf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,延吉东路131弄 2室1厅 南,255万,高楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 53.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-65026c74-58b5-40e7-ae2b-7893e9903cbf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内 地段成熟  交通便利 优质好房子,129.99万,中楼层(共5层)                                                    | 1988年建 |                                 1室0厅 | 30.85平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20180118/8b3685ee-4b69-4f5d-aa2c-697ce725d6a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,3楼，精装修，满五唯一，水丰路,310万,中楼层(共6层)                                                    | 1979年建 |                                 2室0厅 | 49.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-32fdfa17-160a-4c91-8ef8-bc64397fedba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,满五唯一+  一梯四户+近地铁+顶楼复+产权清晰,290万,高楼层(共6层)                                                    | 1979年建 |                                 2室1厅 | 49.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4b904746-a0a6-41f8-adc4-209080a4bf7f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,控二 满5年 产权清晰 楼层好 价可议,310万,中楼层(共5层)                                                    | 1972年建 |                                 1室1厅 | 39.01平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20180114/b83bc561-aeda-4a13-832d-d7b3cdf3895a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村 8/10号地铁 采光无遮挡 诚意出售,200万,高楼层(共5层)                                                    | 1978年建 |                                 1室1厅 | 39.97平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-feabd122-056c-497d-90db-bd923794157f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,原建教师楼+有天井有垫高+正对花园无遮挡+诚意出售,193万,低楼层(共5层)                                                    | 1984年建 |                                 1室1厅 | 33.79平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b421aa5b-03f2-4c69-9659-4e56367df121.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,一门关+采光无遮挡+8号线+全明户型,258万,中楼层(共5层)                                                    | 1985年建 |                                 2室1厅 | 58.99平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/05d4d397-388f-4a4a-a6d1-0aa9b47069d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,05年次新房，双地铁交汇房子，出门就是紫荆广场,438万,高楼层(共25层)                                                    | 2005年建 |                                 1室1厅 | 54.64平米                                  | 东南 北,https://ke-image.ljcdn.com/310000-inspection/prod-a2be57cb-42f9-4dc8-9217-d155c494db6b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,91年原建  精致南北两房  看房方便 诚心出售,225万,高楼层(共7层)                                                    | 1991年建 |                                 2室0厅 | 45.78平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-13d417ac-018a-4181-8e67-a0013aa07b31.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内818号双轨道交通便利新华医院紫荆广场配套完善,190万,高楼层(共5层)                                                    | 1988年建 |                                 2室1厅 | 29.68平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/bf7f9393-9ea6-4aae-ac93-054cc9ecdb72.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,次新房+业主诚心出售+  一梯两户+户型佳 +精装修,720万,中楼层(共14层)                                                    | 2005年建 |                                 2室2厅 | 96.87平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5285290c-33cd-43b6-8bbf-dfef5712e6d7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村，格局好，房型正，视野开阔，采光充足,115万,高楼层(共5层)                                                    | 1988年建 |                                 1室0厅 | 22.46平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/prod-80adec5c-b8ae-400e-849c-1ec4c45cee3e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,总价低精装修拎包入住 产权清晰 近8号地铁站税费低,145万,中楼层(共6层)                                                    | 2009年建 |                                 1室1厅 | 34.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/733ec30d-cf3d-4282-8247-1e5e87cc8548.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,三条地铁   满五唯一  楼层好 楼栋好位置佳   急售,340万,低楼层(共6层)                                                    | 1987年建 |                                 2室1厅 | 51.09平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2da470c5-2e2c-4398-b7f4-ec285cc29f39.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,原建双南两房+总价低+可拎包入住+房东诚售看房方便,258万,高楼层(共6层)                                                    | 1986年建 |                                 2室0厅 | 50.47平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f16d3579-896a-44ff-9613-b50f4b53837f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,控江路18弄精装电梯两房，满五税费少，对口理工。,410万,低楼层(共20层)                                                    | 1999年建 |                                 2室1厅 | 77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-074f5d33-c556-4dc5-b326-74d6c3ac9617.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,两房朝南+带大花园+设计合理+提前约看房,485万,低楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 69.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5d367a75-da34-4721-960d-6e39e0d703dd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,2011年小区 无增值税 毛坯小三房,700万,低楼层(共18层)                                                    | 2010年建 |                                 3室1厅 | 108.83平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-92450af7-11c1-4626-be0f-da2d9bd2954a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
