20190504,宝山,高境,四季绿城,51646元/m2,30套在售二手房
20190504,宝山,高境,美岸栖庭(公寓),57428元/m2,40套在售二手房
20190504,宝山,高境,久千公寓,43561元/m2,11套在售二手房
20190504,宝山,高境,嘉骏花苑,49127元/m2,17套在售二手房
20190504,宝山,高境,高境一村,41061元/m2,33套在售二手房
20190504,宝山,高境,高境二村,43557元/m2,22套在售二手房
20190504,宝山,高境,三花现代城(一期丹桂苑),55990元/m2,20套在售二手房
20190504,宝山,高境,吉浦路615弄,42362元/m2,15套在售二手房
20190504,宝山,高境,三花现代城(三期金兰苑),62457元/m2,13套在售二手房
20190504,宝山,高境,三花现代城(二期香梅苑),56178元/m2,16套在售二手房
20190504,宝山,高境,逸仙路1321弄,43491元/m2,15套在售二手房
20190504,宝山,高境,逸仙二村,43212元/m2,9套在售二手房
20190504,宝山,高境,象屿郦庭,56426元/m2,9套在售二手房
20190504,宝山,高境,三门路485弄,47578元/m2,14套在售二手房
20190504,宝山,高境,逸仙华庭,59431元/m2,19套在售二手房
20190504,宝山,高境,殷高小区,46090元/m2,11套在售二手房
20190504,宝山,高境,逸仙一村,47154元/m2,16套在售二手房
20190504,宝山,高境,恒盛豪庭,58319元/m2,12套在售二手房
20190504,宝山,高境,泰禾红御,76247元/m2,10套在售二手房
20190504,宝山,高境,馨良苑,51900元/m2,5套在售二手房
20190504,宝山,高境,杰圣家苑,57808元/m2,7套在售二手房
20190504,宝山,高境,高杨佳苑,54256元/m2,4套在售二手房
20190504,宝山,高境,三门路489弄,43354元/m2,6套在售二手房
20190504,宝山,高境,殷高路149弄,45377元/m2,2套在售二手房
20190504,宝山,高境,三门路505弄,38400元/m2,3套在售二手房
20190504,宝山,高境,美岸栖庭(别墅),64593元/m2,0套在售二手房
20190504,宝山,高境,幸之苑,52545元/m2,3套在售二手房
20190504,宝山,高境,殷高路152号,暂无,0套在售二手房
20190504,宝山,高境,一二八纪念东路541号,暂无,0套在售二手房
20190504,宝山,高境,长江南路94号,暂无,0套在售二手房
20190504,宝山,高境,高跃路154号,暂无,0套在售二手房
20190504,宝山,高境,长江南路74号,暂无,0套在售二手房
20190504,宝山,高境,一二八纪念东路513号,暂无,0套在售二手房
20190504,宝山,高境,一二八纪念东路533号,暂无,0套在售二手房
20190504,宝山,高境,恒高家园,暂无,0套在售二手房
20190504,宝山,高境,新二路145号,暂无,0套在售二手房
20190504,宝山,高境,殷高路40弄,45063元/m2,1套在售二手房
20190504,宝山,高境,高跃路156号,暂无,0套在售二手房
20190504,宝山,高境,殷高路150弄,48668元/m2,0套在售二手房
20190504,宝山,高境,国权北路413弄,56753元/m2,1套在售二手房
20190504,宝山,高境,逸仙大厦,暂无,0套在售二手房
20190504,宝山,高境,高跃路143号,暂无,0套在售二手房
20190504,宝山,高境,一二八纪念东路507号,暂无,0套在售二手房
20190504,宝山,高境,高跃路150号,暂无,0套在售二手房
20190504,宝山,高境,高跃路158号,暂无,0套在售二手房
20190504,宝山,高境,河曲路117号,暂无,0套在售二手房
20190504,宝山,高境,高跃路152号,暂无,0套在售二手房
20190504,宝山,高境,尚中心,暂无,0套在售二手房
20190504,宝山,高境,新二路175号,暂无,0套在售二手房
20190504,宝山,高境,殷高东路711号,暂无,0套在售二手房
20190504,宝山,高境,一二八纪念东路531号,暂无,0套在售二手房
20190504,宝山,高境,景瑞尚中心,暂无,0套在售二手房
20190504,宝山,高境,高跃路160号,暂无,0套在售二手房
20190504,宝山,高境,高景国际大厦,暂无,0套在售二手房
20190504,宝山,高境,尚景天地,暂无,0套在售二手房
20190504,宝山,高境,殷馨花苑,55950元/m2,1套在售二手房
20190504,宝山,高境,殷高路154号,暂无,1套在售二手房
20190504,宝山,高境,景瑞生活广场,暂无,1套在售二手房
20190504,宝山,高境,殷高路154号,暂无,1套在售二手房
20190504,宝山,高境,高跃路149号,暂无,0套在售二手房
20190504,宝山,高境,高跃路151号,暂无,0套在售二手房
20190504,宝山,高境,长江国际购物中心,暂无,0套在售二手房
20190504,宝山,高境,紫逸佳苑,56277元/m2,1套在售二手房
20190504,宝山,高境,高境欣苑,55090元/m2,1套在售二手房
20190504,宝山,高境,三门路435弄,暂无,0套在售二手房
20190504,宝山,高境,逸仙路1199号,暂无,0套在售二手房
20190504,宝山,高境,逸仙路3支弄,暂无,0套在售二手房
20190504,宝山,高境,吉浦路582号,暂无,0套在售二手房
20190504,宝山,高境,吉浦路525号,暂无,0套在售二手房
20190504,宝山,高境,恒高路92号,暂无,0套在售二手房
20190504,宝山,高境,三门路541号,暂无,0套在售二手房
20190504,宝山,高境,新二路203号,暂无,0套在售二手房
20190504,宝山,高境,新二路1086号,暂无,0套在售二手房
20190504,宝山,高境,河曲路125号,暂无,0套在售二手房
20190504,宝山,高境,吉浦路544号,暂无,0套在售二手房
20190504,宝山,高境,高跃路117号,暂无,0套在售二手房
20190504,宝山,高境,高跃路137号,暂无,0套在售二手房
20190504,宝山,高境,高跃路147号,暂无,0套在售二手房
20190504,宝山,高境,高跃路132号,暂无,0套在售二手房
20190504,宝山,高境,高跃路118-120号,暂无,0套在售二手房
20190504,宝山,高境,高跃路121号,暂无,0套在售二手房
20190504,宝山,高境,高跃路153号,暂无,0套在售二手房
20190504,宝山,高境,高跃路140号,暂无,0套在售二手房
20190504,宝山,高境,高跃路182号,暂无,0套在售二手房
20190504,宝山,高境,高跃路113号,暂无,0套在售二手房
20190504,宝山,高境,高跃路125号,暂无,0套在售二手房
20190504,宝山,高境,高跃路127号,暂无,0套在售二手房
20190504,宝山,高境,殷高西路65号,暂无,0套在售二手房
