20190504,奉贤,庄行,丽水湾,16369元/m2,32套在售二手房
20190504,奉贤,庄行,景源名墅,27960元/m2,14套在售二手房
20190504,奉贤,庄行,佳兆业8号(公寓),24793元/m2,8套在售二手房
20190504,奉贤,庄行,庄行茗苑,暂无,0套在售二手房
20190504,奉贤,庄行,浦卫公路1582弄,暂无,0套在售二手房
20190504,奉贤,庄行,冷泾新村,20885元/m2,0套在售二手房
20190504,奉贤,庄行,浦卫公路1618弄31号,暂无,0套在售二手房
20190504,奉贤,庄行,浦卫公路1618弄29号,暂无,0套在售二手房
20190504,奉贤,庄行,一新路78弄,暂无,0套在售二手房
20190504,奉贤,庄行,冷泾南区,17383元/m2,0套在售二手房
20190504,奉贤,庄行,佳兆业8号(别墅),44893元/m2,0套在售二手房
20190504,奉贤,庄行,庄良路111弄177号,暂无,0套在售二手房
20190504,奉贤,庄行,一新街89号,17058元/m2,0套在售二手房
20190504,奉贤,庄行,东街油车弄,16162元/m2,0套在售二手房
20190504,奉贤,庄行,安邬路350号,暂无,0套在售二手房
20190504,奉贤,庄行,生阳商业广场,暂无,0套在售二手房
20190504,奉贤,庄行,步韵路102号,暂无,0套在售二手房
20190504,奉贤,庄行,申亚乐庭,17037元/m2,1套在售二手房
20190504,奉贤,庄行,校南新村,16684元/m2,1套在售二手房
20190504,奉贤,庄行,庄南小区,12579元/m2,2套在售二手房
20190504,奉贤,庄行,南庭公馆,22490元/m2,1套在售二手房
20190504,奉贤,庄行,汇南小区,17047元/m2,1套在售二手房
20190504,奉贤,庄行,新华中心邨,暂无,0套在售二手房
20190504,奉贤,庄行,安东路241号,暂无,0套在售二手房
20190504,奉贤,庄行,步韵路111号,暂无,0套在售二手房
20190504,奉贤,庄行,步韵路103号,暂无,0套在售二手房
20190504,奉贤,庄行,步韵路114号,暂无,0套在售二手房
20190504,奉贤,庄行,步韵路99号,暂无,0套在售二手房
20190504,奉贤,庄行,步韵路96号,暂无,0套在售二手房
20190504,奉贤,庄行,庄良路111号,暂无,0套在售二手房
