20190504,黄浦,董家渡,明日星城,85088元/m2,28套在售二手房
20190504,黄浦,董家渡,南花苑,83578元/m2,12套在售二手房
20190504,黄浦,董家渡,薛家浜路242弄,62767元/m2,0套在售二手房
20190504,黄浦,董家渡,黄家小区,82638元/m2,5套在售二手房
20190504,黄浦,董家渡,浩城华苑,90035元/m2,3套在售二手房
20190504,黄浦,董家渡,陆家浜路413弄,81736元/m2,3套在售二手房
20190504,黄浦,董家渡,阳光翠竹苑,85368元/m2,8套在售二手房
20190504,黄浦,董家渡,秀水苑(黄浦),70425元/m2,7套在售二手房
20190504,黄浦,董家渡,阳光公寓(黄浦),82983元/m2,7套在售二手房
20190504,黄浦,董家渡,金南新苑,59885元/m2,4套在售二手房
20190504,黄浦,董家渡,长峰馨园,95843元/m2,9套在售二手房
20190504,黄浦,董家渡,阳光里(黄浦),84224元/m2,2套在售二手房
20190504,黄浦,董家渡,光启路105号,74230元/m2,0套在售二手房
20190504,黄浦,董家渡,集贤邨,99071元/m2,0套在售二手房
20190504,黄浦,董家渡,巡道街小区,暂无,0套在售二手房
20190504,黄浦,董家渡,西唐家弄113号,暂无,0套在售二手房
20190504,黄浦,董家渡,赵家宅路51号,暂无,0套在售二手房
20190504,黄浦,董家渡,巡道街88弄,暂无,0套在售二手房
20190504,黄浦,董家渡,西唐家弄107弄,暂无,0套在售二手房
20190504,黄浦,董家渡,巡道街15号,暂无,0套在售二手房
20190504,黄浦,董家渡,柳市路80号,89231元/m2,0套在售二手房
20190504,黄浦,董家渡,桑园街10号,暂无,0套在售二手房
20190504,黄浦,董家渡,乔家路133弄,暂无,0套在售二手房
20190504,黄浦,董家渡,大夫坊76号,暂无,0套在售二手房
20190504,黄浦,董家渡,药局弄95弄,81792元/m2,0套在售二手房
20190504,黄浦,董家渡,乔家路174弄,暂无,0套在售二手房
20190504,黄浦,董家渡,东梅家街36号,暂无,0套在售二手房
20190504,黄浦,董家渡,梅家街203号,暂无,0套在售二手房
20190504,黄浦,董家渡,东江阴街194号,暂无,0套在售二手房
20190504,黄浦,董家渡,永泰街43弄,79750元/m2,0套在售二手房
20190504,黄浦,董家渡,虹桥弄28弄18号,暂无,0套在售二手房
20190504,黄浦,董家渡,梅家街124弄,暂无,0套在售二手房
20190504,黄浦,董家渡,药局弄69弄,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路367号,暂无,0套在售二手房
20190504,黄浦,董家渡,南仓街30弄,暂无,0套在售二手房
20190504,黄浦,董家渡,光启南路362弄,暂无,0套在售二手房
20190504,黄浦,董家渡,柳市路86号,39565元/m2,0套在售二手房
20190504,黄浦,董家渡,中华路319号,暂无,0套在售二手房
20190504,黄浦,董家渡,西唐家弄103号,暂无,0套在售二手房
20190504,黄浦,董家渡,望云路155弄,暂无,0套在售二手房
20190504,黄浦,董家渡,乔家路50号,暂无,0套在售二手房
20190504,黄浦,董家渡,艾家弄24号,暂无,0套在售二手房
20190504,黄浦,董家渡,俞家弄141号,暂无,0套在售二手房
20190504,黄浦,董家渡,中恒公寓,73961元/m2,1套在售二手房
20190504,黄浦,董家渡,江阴街38-44号,暂无,0套在售二手房
20190504,黄浦,董家渡,乔家栅小区,83344元/m2,0套在售二手房
20190504,黄浦,董家渡,乔家路104号,99781元/m2,0套在售二手房
20190504,黄浦,董家渡,三角大楼,暂无,0套在售二手房
20190504,黄浦,董家渡,面筋小区,85481元/m2,1套在售二手房
20190504,黄浦,董家渡,柳市路84号,83875元/m2,0套在售二手房
20190504,黄浦,董家渡,光启南路80号,88663元/m2,0套在售二手房
20190504,黄浦,董家渡,药局弄85号,87467元/m2,0套在售二手房
20190504,黄浦,董家渡,董家渡路450弄,85808元/m2,0套在售二手房
20190504,黄浦,董家渡,光启南路188-194号,158075元/m2,0套在售二手房
20190504,黄浦,董家渡,望云路145号,暂无,0套在售二手房
20190504,黄浦,董家渡,江阴街33号,暂无,0套在售二手房
20190504,黄浦,董家渡,光启南路286弄,78761元/m2,0套在售二手房
20190504,黄浦,董家渡,乔家栅路40弄,暂无,0套在售二手房
20190504,黄浦,董家渡,怡华大楼,暂无,0套在售二手房
20190504,黄浦,董家渡,三角大楼,暂无,0套在售二手房
20190504,黄浦,董家渡,申升公寓,80607元/m2,2套在售二手房
20190504,黄浦,董家渡,外滩公馆,101805元/m2,3套在售二手房
20190504,黄浦,董家渡,天灯弄120弄,暂无,0套在售二手房
20190504,黄浦,董家渡,江阴街35号,暂无,0套在售二手房
20190504,黄浦,董家渡,和顺街26弄,79806元/m2,1套在售二手房
20190504,黄浦,董家渡,乔家路258弄8支弄,暂无,0套在售二手房
20190504,黄浦,董家渡,药局弄79弄,暂无,0套在售二手房
20190504,黄浦,董家渡,复兴东路404弄,暂无,0套在售二手房
20190504,黄浦,董家渡,南门大厦,暂无,0套在售二手房
20190504,黄浦,董家渡,乔家路151弄,暂无,0套在售二手房
20190504,黄浦,董家渡,乔家路74号,暂无,0套在售二手房
20190504,黄浦,董家渡,灵济街44弄,暂无,0套在售二手房
