20190504,黄浦,老西门,复兴珑御,133528元/m2,10套在售二手房
20190504,黄浦,老西门,老西门新苑,89228元/m2,13套在售二手房
20190504,黄浦,老西门,沧海苑,109661元/m2,5套在售二手房
20190504,黄浦,老西门,兴林公寓,73964元/m2,6套在售二手房
20190504,黄浦,老西门,蓬莱路362弄,65160元/m2,0套在售二手房
20190504,黄浦,老西门,公馆77,110268元/m2,6套在售二手房
20190504,黄浦,老西门,唐城公寓,66964元/m2,3套在售二手房
20190504,黄浦,老西门,黄浦众鑫城,90426元/m2,6套在售二手房
20190504,黄浦,老西门,陆家浜大楼,86822元/m2,1套在售二手房
20190504,黄浦,老西门,牌楼小区,86375元/m2,4套在售二手房
20190504,黄浦,老西门,惠达大厦,72366元/m2,3套在售二手房
20190504,黄浦,老西门,明华大厦,66514元/m2,2套在售二手房
20190504,黄浦,老西门,建新公寓,88182元/m2,1套在售二手房
20190504,黄浦,老西门,开元坊,87893元/m2,2套在售二手房
20190504,黄浦,老西门,幸运福邸,77589元/m2,4套在售二手房
20190504,黄浦,老西门,北方公寓,82212元/m2,3套在售二手房
20190504,黄浦,老西门,斜桥公寓,82541元/m2,5套在售二手房
20190504,黄浦,老西门,牌楼路41弄,75492元/m2,4套在售二手房
20190504,黄浦,老西门,新世纪大厦,54777元/m2,1套在售二手房
20190504,黄浦,老西门,南文大厦,73802元/m2,2套在售二手房
20190504,黄浦,老西门,蓬莱路421弄,94709元/m2,1套在售二手房
20190504,黄浦,老西门,大林路43弄,81239元/m2,5套在售二手房
20190504,黄浦,老西门,惠德公寓,77390元/m2,4套在售二手房
20190504,黄浦,老西门,小西门小区,暂无,0套在售二手房
20190504,黄浦,老西门,方斜后路25弄,暂无,0套在售二手房
20190504,黄浦,老西门,建国新路91号,暂无,0套在售二手房
20190504,黄浦,老西门,曹家街25号,暂无,0套在售二手房
20190504,黄浦,老西门,蓬莱路402弄,暂无,0套在售二手房
20190504,黄浦,老西门,方斜支路9号,暂无,0套在售二手房
20190504,黄浦,老西门,老道前街16弄,暂无,0套在售二手房
20190504,黄浦,老西门,黄家阙路121号,暂无,0套在售二手房
20190504,黄浦,老西门,江阴街402-406号,暂无,0套在售二手房
20190504,黄浦,老西门,金开利广场,暂无,0套在售二手房
20190504,黄浦,老西门,中华路1300弄,暂无,0套在售二手房
20190504,黄浦,老西门,仪凤弄61弄,107549元/m2,0套在售二手房
20190504,黄浦,老西门,慎餘里,暂无,0套在售二手房
20190504,黄浦,老西门,庄家街45弄,暂无,0套在售二手房
20190504,黄浦,老西门,曹家街小区,暂无,0套在售二手房
