20190504,黄浦,新天地,翠湖天地隽荟,146951元/m2,14套在售二手房
20190504,黄浦,新天地,翠湖天地御苑,138967元/m2,45套在售二手房
20190504,黄浦,新天地,淡水湾花园,122827元/m2,8套在售二手房
20190504,黄浦,新天地,翠湖天地雅苑,137193元/m2,20套在售二手房
20190504,黄浦,新天地,淮海晶华苑,91596元/m2,10套在售二手房
20190504,黄浦,新天地,马当小区,100007元/m2,6套在售二手房
20190504,黄浦,新天地,万宜坊,95396元/m2,3套在售二手房
20190504,黄浦,新天地,振华里小区,153360元/m2,8套在售二手房
20190504,黄浦,新天地,翠湖天地嘉苑,148059元/m2,31套在售二手房
20190504,黄浦,新天地,济南路8号,122675元/m2,4套在售二手房
20190504,黄浦,新天地,建德坊,106372元/m2,4套在售二手房
20190504,黄浦,新天地,复兴苑,85508元/m2,2套在售二手房
20190504,黄浦,新天地,锦麟天地雅苑,139332元/m2,7套在售二手房
20190504,黄浦,新天地,华府天地,136108元/m2,2套在售二手房
20190504,黄浦,新天地,重庆公寓,82740元/m2,5套在售二手房
20190504,黄浦,新天地,巴黎公寓,119983元/m2,5套在售二手房
20190504,黄浦,新天地,淡水公寓,104940元/m2,0套在售二手房
20190504,黄浦,新天地,连云大楼,90712元/m2,3套在售二手房
20190504,黄浦,新天地,科普大楼,95897元/m2,2套在售二手房
20190504,黄浦,新天地,健乐小区,106429元/m2,5套在售二手房
20190504,黄浦,新天地,巴士小区,99205元/m2,9套在售二手房
20190504,黄浦,新天地,淮海大厦,94498元/m2,4套在售二手房
20190504,黄浦,新天地,合肥路267-271号(单),114645元/m2,0套在售二手房
20190504,黄浦,新天地,永年大厦,92421元/m2,1套在售二手房
20190504,黄浦,新天地,香港广场,86328元/m2,6套在售二手房
20190504,黄浦,新天地,复兴中路480弄,108794元/m2,1套在售二手房
20190504,黄浦,新天地,建国东路39弄,暂无,0套在售二手房
20190504,黄浦,新天地,三德坊,暂无,0套在售二手房
20190504,黄浦,新天地,永年路74号,134418元/m2,0套在售二手房
20190504,黄浦,新天地,徐家汇路368号,暂无,0套在售二手房
20190504,黄浦,新天地,永年路149弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路468号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路644号,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路305号,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路364号,暂无,0套在售二手房
20190504,黄浦,新天地,淡水路256弄,暂无,0套在售二手房
20190504,黄浦,新天地,淡水路91弄,166189元/m2,0套在售二手房
20190504,黄浦,新天地,合肥路620号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路420号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路642号,93548元/m2,0套在售二手房
20190504,黄浦,新天地,顺昌路605弄,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路161号,89431元/m2,0套在售二手房
20190504,黄浦,新天地,肇周路300号,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路272弄,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路474-476号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路297号,暂无,0套在售二手房
20190504,黄浦,新天地,淡水小区,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路349弄,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路560号,暂无,0套在售二手房
20190504,黄浦,新天地,瑞安广场,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路578甲号,暂无,0套在售二手房
20190504,黄浦,新天地,祥茂新村,暂无,0套在售二手房
20190504,黄浦,新天地,永年路44弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路87弄,暂无,0套在售二手房
20190504,黄浦,新天地,梨园坊,119626元/m2,0套在售二手房
20190504,黄浦,新天地,马当路336弄,暂无,0套在售二手房
20190504,黄浦,新天地,思家公寓,102430元/m2,0套在售二手房
20190504,黄浦,新天地,马当路328弄,暂无,0套在售二手房
20190504,黄浦,新天地,东台路278号,暂无,0套在售二手房
20190504,黄浦,新天地,松韵小区,99058元/m2,0套在售二手房
