20190504,浦东,临港新城,宜浩佳园,26113元/m2,24套在售二手房
20190504,浦东,临港新城,海汇长风苑,19548元/m2,7套在售二手房
20190504,浦东,临港新城,滴水湖馨苑,28035元/m2,6套在售二手房
20190504,浦东,临港新城,临港家园,21548元/m2,5套在售二手房
20190504,浦东,临港新城,临港海滨国际花园,21810元/m2,18套在售二手房
20190504,浦东,临港新城,杭湾路1-9号(单),9848元/m2,0套在售二手房
20190504,浦东,临港新城,保利蔚蓝林语,35294元/m2,4套在售二手房
20190504,浦东,临港新城,海尚明月苑,16702元/m2,5套在售二手房
20190504,浦东,临港新城,朗诗里程,23913元/m2,9套在售二手房
20190504,浦东,临港新城,海洋小区,26174元/m2,3套在售二手房
20190504,浦东,临港新城,杭湾路204号,暂无,0套在售二手房
20190504,浦东,临港新城,滨海森林商务园,暂无,0套在售二手房
20190504,浦东,临港新城,港怡路35弄,暂无,0套在售二手房
20190504,浦东,临港新城,百润时代,暂无,0套在售二手房
20190504,浦东,临港新城,昊坤国际大厦,暂无,0套在售二手房
20190504,浦东,临港新城,农场新村,18774元/m2,0套在售二手房
20190504,浦东,临港新城,果园路145弄,暂无,0套在售二手房
20190504,浦东,临港新城,杭湾路190-198号,暂无,0套在售二手房
20190504,浦东,临港新城,芦潮港路1688弄4号,暂无,0套在售二手房
20190504,浦东,临港新城,金港商业广场,暂无,0套在售二手房
20190504,浦东,临港新城,环湖西三路63号,暂无,0套在售二手房
20190504,浦东,临港新城,康乃馨路66号,暂无,0套在售二手房
20190504,浦东,临港新城,环湖西三路83号,暂无,0套在售二手房
20190504,浦东,临港新城,龙吟小区,暂无,0套在售二手房
20190504,浦东,临港新城,临港新世界休闲广场,暂无,0套在售二手房
20190504,浦东,临港新城,毓阳东首岸,暂无,0套在售二手房
20190504,浦东,临港新城,马樱丹路133弄83、85号,暂无,0套在售二手房
20190504,浦东,临港新城,广昊世纪大厦,暂无,0套在售二手房
20190504,浦东,临港新城,碧云壹零,27650元/m2,0套在售二手房
20190504,浦东,临港新城,芦潮港路1688弄5号,暂无,0套在售二手房
20190504,浦东,临港新城,紫菁庭,23438元/m2,9套在售二手房
20190504,浦东,临港新城,新芦苑,15559元/m2,18套在售二手房
20190504,浦东,临港新城,保利铃兰公馆,37301元/m2,4套在售二手房
20190504,浦东,临港新城,海芦月华苑,19600元/m2,1套在售二手房
20190504,浦东,临港新城,潮乐路8弄,16477元/m2,1套在售二手房
20190504,浦东,临港新城,渔港路213弄,16927元/m2,2套在售二手房
20190504,浦东,临港新城,海汇清波苑,18795元/m2,4套在售二手房
20190504,浦东,临港新城,绿地蓝海庭,21866元/m2,3套在售二手房
20190504,浦东,临港新城,杭湾路2-10号(双),暂无,1套在售二手房
20190504,浦东,临港新城,海芦汇鸣苑,20003元/m2,3套在售二手房
20190504,浦东,临港新城,绿地东岸涟城,24542元/m2,19套在售二手房
20190504,浦东,临港新城,芦潮港农场西区新村1,17000元/m2,8套在售二手房
20190504,浦东,临港新城,临港新世界公寓148弄,62367元/m2,1套在售二手房
20190504,浦东,临港新城,东区新村,14055元/m2,4套在售二手房
20190504,浦东,临港新城,海芦镜湖苑,20227元/m2,2套在售二手房
20190504,浦东,临港新城,海尚明徕苑,17246元/m2,3套在售二手房
20190504,浦东,临港新城,龙超八村,12868元/m2,6套在售二手房
20190504,浦东,临港新城,宝龙世家9号公馆,暂无,0套在售二手房
20190504,浦东,临港新城,嘉和美苑,暂无,0套在售二手房
20190504,浦东,临港新城,环湖西二路590,592号,暂无,0套在售二手房
20190504,浦东,临港新城,环湖西一路333号,暂无,0套在售二手房
20190504,浦东,临港新城,渔港路137号,暂无,0套在售二手房
20190504,浦东,临港新城,杭湾路96号,暂无,0套在售二手房
20190504,浦东,临港新城,方竹路222弄11号,暂无,0套在售二手房
20190504,浦东,临港新城,方竹路166弄11号,暂无,0套在售二手房
20190504,浦东,临港新城,芦安路116号,暂无,0套在售二手房
20190504,浦东,临港新城,远征村558号,暂无,0套在售二手房
20190504,浦东,临港新城,玲珑悦庭,暂无,0套在售二手房
20190504,浦东,临港新城,东宸源著,暂无,0套在售二手房
20190504,浦东,临港新城,中建锦绣熙岸,暂无,0套在售二手房
