20190504,浦东,宣桥,艺泰安邦,25169元/m2,106套在售二手房
20190504,浦东,宣桥,欣秋苑,21773元/m2,11套在售二手房
20190504,浦东,宣桥,欣荷苑,19428元/m2,6套在售二手房
20190504,浦东,宣桥,欣梅苑,21321元/m2,8套在售二手房
20190504,浦东,宣桥,欣兰苑,19443元/m2,5套在售二手房
20190504,浦东,宣桥,欣菊苑,21646元/m2,7套在售二手房
20190504,浦东,宣桥,欣春苑,22838元/m2,8套在售二手房
20190504,浦东,宣桥,南瑞别墅,40722元/m2,3套在售二手房
20190504,浦东,宣桥,欣松苑,21561元/m2,6套在售二手房
20190504,浦东,宣桥,景瑞法兰云廷,36842元/m2,3套在售二手房
20190504,浦东,宣桥,明祥苑,22940元/m2,5套在售二手房
20190504,浦东,宣桥,莱茵美墅,37034元/m2,8套在售二手房
20190504,浦东,宣桥,香樟湾国际养老社区,暂无,0套在售二手房
20190504,浦东,宣桥,宣城新村,暂无,0套在售二手房
20190504,浦东,宣桥,阳光四季,暂无,0套在售二手房
20190504,浦东,宣桥,闵家浜路70弄,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路799弄159号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄1支弄312号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路625号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄3支弄447号,暂无,0套在售二手房
20190504,浦东,宣桥,祝桥村668号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路725号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄1支弄62号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路675号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路775号,暂无,0套在售二手房
20190504,浦东,宣桥,幸福宜居,11766元/m2,4套在售二手房
20190504,浦东,宣桥,九九别墅,34092元/m2,4套在售二手房
20190504,浦东,宣桥,南六公路99弄1支弄,33175元/m2,2套在售二手房
20190504,浦东,宣桥,汇技路988号,暂无,0套在售二手房
20190504,浦东,宣桥,两港批发部,8161元/m2,1套在售二手房
20190504,浦东,宣桥,九九别墅,34092元/m2,4套在售二手房
20190504,浦东,宣桥,海志花苑,24414元/m2,3套在售二手房
20190504,浦东,宣桥,亦园路74弄,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路669弄1支弄6号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路6993支弄177号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄1支弄34号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄1支弄6号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄4支弄365号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路799弄71号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄4支弄338号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄3支弄841号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路345号,暂无,0套在售二手房
20190504,浦东,宣桥,宣中路657号,暂无,0套在售二手房
20190504,浦东,宣桥,三灶东街38号,暂无,0套在售二手房
20190504,浦东,宣桥,沪南公路8916号,暂无,0套在售二手房
20190504,浦东,宣桥,沪南公路8912号,暂无,0套在售二手房
20190504,浦东,宣桥,祝桥公乐城174号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄3支弄122号,暂无,0套在售二手房
20190504,浦东,宣桥,南六公路699弄1支弄146号,暂无,0套在售二手房
20190504,浦东,宣桥,宣中路699弄11号,暂无,0套在售二手房
20190504,浦东,宣桥,宣中路699弄14号,暂无,0套在售二手房
20190504,浦东,宣桥,宣中路699弄15号,暂无,0套在售二手房
20190504,浦东,宣桥,上海泓上,暂无,0套在售二手房
20190504,浦东,宣桥,盛镛智慧科技园,暂无,0套在售二手房
20190504,浦东,宣桥,宣黄公路386号,暂无,0套在售二手房
20190504,浦东,宣桥,香树湾,暂无,0套在售二手房
