20190504,松江,新桥,海派青城,30949元/m2,23套在售二手房
20190504,松江,新桥,万宇阳光苑,28720元/m2,12套在售二手房
20190504,松江,新桥,上海家天下花园,39606元/m2,4套在售二手房
20190504,松江,新桥,新乐名苑,25999元/m2,21套在售二手房
20190504,松江,新桥,晨星小区,20274元/m2,5套在售二手房
20190504,松江,新桥,晨星东区,21935元/m2,16套在售二手房
20190504,松江,新桥,新乐雅苑,27444元/m2,9套在售二手房
20190504,松江,新桥,华泽新苑,28487元/m2,19套在售二手房
20190504,松江,新桥,新桥商苑,23005元/m2,2套在售二手房
20190504,松江,新桥,绿城兰园,32741元/m2,17套在售二手房
20190504,松江,新桥,雅鹿新苑(别墅),25929元/m2,5套在售二手房
20190504,松江,新桥,协和海琴花园,31035元/m2,10套在售二手房
20190504,松江,新桥,欣德花苑,22407元/m2,9套在售二手房
20190504,松江,新桥,晨星四季苑,18589元/m2,5套在售二手房
20190504,松江,新桥,明月清泉南园,23922元/m2,4套在售二手房
20190504,松江,新桥,盛世香樟苑,暂无,0套在售二手房
20190504,松江,新桥,香家弄18号,38168元/m2,0套在售二手房
20190504,松江,新桥,金地双都汇,暂无,0套在售二手房
20190504,松江,新桥,新北街227弄,22975元/m2,0套在售二手房
20190504,松江,新桥,四季草堂,32023元/m2,0套在售二手房
20190504,松江,新桥,新站路492、494号,暂无,0套在售二手房
20190504,松江,新桥,新站路488.490号,暂无,0套在售二手房
20190504,松江,新桥,新站路480、482、484、486号,暂无,0套在售二手房
20190504,松江,新桥,新站路478弄,暂无,0套在售二手房
20190504,松江,新桥,阳光理想城,7272元/m2,0套在售二手房
20190504,松江,新桥,新南街334号,暂无,0套在售二手房
20190504,松江,新桥,新南街250弄97号,暂无,0套在售二手房
20190504,松江,新桥,长兴东路1310号,暂无,0套在售二手房
20190504,松江,新桥,隆和国际商务园区,暂无,0套在售二手房
20190504,松江,新桥,哈勃化学,暂无,0套在售二手房
20190504,松江,新桥,九新小区,27267元/m2,0套在售二手房
20190504,松江,新桥,莘砖公路518号,暂无,0套在售二手房
20190504,松江,新桥,科技创业中心,暂无,0套在售二手房
20190504,松江,新桥,车泾路279号,暂无,0套在售二手房
20190504,松江,新桥,白洋小区,暂无,0套在售二手房
20190504,松江,新桥,新北街242弄,暂无,0套在售二手房
20190504,松江,新桥,南姚小区,22688元/m2,2套在售二手房
20190504,松江,新桥,晨星安置小区,26465元/m2,1套在售二手房
20190504,松江,新桥,合生国际花园,29924元/m2,10套在售二手房
20190504,松江,新桥,新南街551号,暂无,0套在售二手房
20190504,松江,新桥,新南街147弄1号,暂无,0套在售二手房
20190504,松江,新桥,九城家天下新座,21277元/m2,1套在售二手房
20190504,松江,新桥,海茂公寓,25481元/m2,2套在售二手房
20190504,松江,新桥,名企公馆,暂无,0套在售二手房
20190504,松江,新桥,润景苑,25493元/m2,4套在售二手房
20190504,松江,新桥,宏方发展中心,暂无,0套在售二手房
20190504,松江,新桥,海利苑,28059元/m2,1套在售二手房
20190504,松江,新桥,海欣北区,25522元/m2,1套在售二手房
20190504,松江,新桥,海欣别墅,24096元/m2,1套在售二手房
20190504,松江,新桥,新中街路62弄,暂无,1套在售二手房
20190504,松江,新桥,新南街560弄,28044元/m2,1套在售二手房
