20190504,闸北,阳城,龙盛佳苑,63941元/m2,16套在售二手房
20190504,闸北,阳城,阳城书院,64967元/m2,6套在售二手房
20190504,闸北,阳城,万荣小区,51508元/m2,41套在售二手房
20190504,闸北,阳城,阳城花园,61063元/m2,10套在售二手房
20190504,闸北,阳城,景峰苑,50431元/m2,26套在售二手房
20190504,闸北,阳城,阳城美景,60339元/m2,8套在售二手房
20190504,闸北,阳城,永和丽园,57597元/m2,10套在售二手房
20190504,闸北,阳城,浦联佳苑,62157元/m2,6套在售二手房
20190504,闸北,阳城,阳城贵都,63541元/m2,12套在售二手房
20190504,闸北,阳城,龙潭小区,52039元/m2,20套在售二手房
20190504,闸北,阳城,万荣新苑,52300元/m2,10套在售二手房
20190504,闸北,阳城,永灵小区,58582元/m2,9套在售二手房
20190504,闸北,阳城,腾龙苑,53099元/m2,1套在售二手房
20190504,闸北,阳城,阳城世家苑,66781元/m2,3套在售二手房
20190504,闸北,阳城,玉峰花园,47267元/m2,3套在售二手房
20190504,闸北,阳城,星城美景苑,55138元/m2,4套在售二手房
20190504,闸北,阳城,广盛苑,57780元/m2,5套在售二手房
20190504,闸北,阳城,永和雅园,61937元/m2,5套在售二手房
20190504,闸北,阳城,亿润苑,55617元/m2,9套在售二手房
20190504,闸北,阳城,远龙公寓,47295元/m2,3套在售二手房
20190504,闸北,阳城,恒凌公寓,51283元/m2,4套在售二手房
20190504,闸北,阳城,万荣阳光苑,60413元/m2,3套在售二手房
20190504,闸北,阳城,荣和苑,53982元/m2,4套在售二手房
20190504,闸北,阳城,北海新苑,46026元/m2,7套在售二手房
20190504,闸北,阳城,地矿小区,50878元/m2,1套在售二手房
20190504,闸北,阳城,永和路448弄,47909元/m2,1套在售二手房
20190504,闸北,阳城,物华园,56458元/m2,4套在售二手房
20190504,闸北,阳城,沪太路1353号,暂无,0套在售二手房
20190504,闸北,阳城,汶水路622号,暂无,0套在售二手房
20190504,闸北,阳城,汶水路566号,暂无,0套在售二手房
20190504,闸北,阳城,永和苑,54136元/m2,1套在售二手房
20190504,闸北,阳城,永和阳光苑,48713元/m2,1套在售二手房
20190504,闸北,阳城,东方环球企业中心,暂无,0套在售二手房
20190504,闸北,阳城,阳城路391号,暂无,0套在售二手房
20190504,闸北,阳城,鸿泽苑,61624元/m2,1套在售二手房
20190504,闸北,阳城,乐平方创意园区,暂无,0套在售二手房
20190504,闸北,阳城,阳城路433号,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1107弄,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1108号,暂无,0套在售二手房
20190504,闸北,阳城,飞乐大厦,暂无,0套在售二手房
20190504,闸北,阳城,高平路139号,暂无,0套在售二手房
20190504,闸北,阳城,高平路209号,暂无,0套在售二手房
20190504,闸北,阳城,阳城路17号,暂无,0套在售二手房
20190504,闸北,阳城,阳城路200号,暂无,0套在售二手房
20190504,闸北,阳城,阳城路230号,暂无,0套在售二手房
20190504,闸北,阳城,汶水路550号,暂无,0套在售二手房
20190504,闸北,阳城,汶水路650号,暂无,0套在售二手房
20190504,闸北,阳城,原平路280号,暂无,0套在售二手房
20190504,闸北,阳城,万荣路959号,暂无,0套在售二手房
20190504,闸北,阳城,沪太路981号,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1190号,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1047号,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1184-1186号,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1198号,暂无,0套在售二手房
20190504,闸北,阳城,灵石路745号,暂无,0套在售二手房
20190504,闸北,阳城,灵石路923号,暂无,0套在售二手房
20190504,闸北,阳城,灵石路655号,暂无,0套在售二手房
20190504,闸北,阳城,永和路213号,暂无,0套在售二手房
20190504,闸北,阳城,永和路431号,暂无,0套在售二手房
20190504,闸北,阳城,永和路427号,暂无,0套在售二手房
20190504,闸北,阳城,晋城路721号,暂无,0套在售二手房
20190504,闸北,阳城,晋城路729-731号,暂无,0套在售二手房
20190504,闸北,阳城,静安新业坊,暂无,0套在售二手房
20190504,闸北,阳城,沪太路1228号,暂无,0套在售二手房
20190504,闸北,阳城,永和路455号,暂无,0套在售二手房
