20190504,宝山,月浦,庆安一村,3室1厅,73平米,3200
20190504,宝山,月浦,宝华北岸郡庭(公寓),3室2厅,89平米,3000
20190504,宝山,月浦,整租,·,79平米,3200
20190504,宝山,月浦,月浦三村,2室1厅,68平米,3000
20190504,宝山,月浦,四元路20弄,1室1厅,43平米,2300
20190504,宝山,月浦,宝莲湖景园,3室2厅,120平米,5000
20190504,宝山,月浦,中冶尚园,4室2厅,117平米,3600
20190504,宝山,月浦,月浦二村,2室0厅,51平米,2700
20190504,宝山,月浦,乐乎城市青年社区,宝山区蕴川店,东南西北,1668-1868
20190504,宝山,月浦,乐乎城市青年社区,宝山区蕴川店,南西北,1618-1668
20190504,宝山,月浦,乐乎城市青年社区,宝山区蕴川店,南西北,1618-1800
20190504,宝山,月浦,合租,·,12平米,1560
20190504,宝山,月浦,阳光美林,4室1厅,137平米,4500
20190504,宝山,月浦,整租,·,50平米,2600
20190504,宝山,月浦,新城昱翠湾,3室2厅,86平米,4200
20190504,宝山,月浦,合租,·,13平米,1200
20190504,宝山,月浦,整租,·,67平米,3000
20190504,宝山,月浦,宝华盛世花园,3室2厅,104平米,4200
20190504,宝山,月浦,月浦三村,1室1厅,34平米,2000
20190504,宝山,月浦,合租,·,15平米,880
20190504,宝山,月浦,月浦八村,2室1厅,61平米,2800
20190504,宝山,月浦,合租,·,20平米,858
20190504,宝山,月浦,合租,·,16平米,830
20190504,宝山,月浦,合租,·,15平米,1350
20190504,宝山,月浦,合租,·,16平米,1338
20190504,宝山,月浦,富浩河滨花园,3室2厅,128平米,5200
20190504,宝山,月浦,合租,·,16平米,1140
20190504,宝山,月浦,合租,·,15平米,1702
20190504,宝山,月浦,德都路165弄,1室1厅,44平米,2300
20190504,宝山,月浦,整租,·,74平米,2600
20190504,宝山,月浦,整租,·,96平米,3800
20190504,宝山,月浦,合租,·,18平米,1330
20190504,宝山,月浦,月泉湾名邸,3室1厅,207平米,3500
20190504,宝山,月浦,新月翡翠园,3室2厅,127平米,5000
20190504,宝山,月浦,整租,·,300平米,8000
20190504,宝山,月浦,合租,·,20平米,1480
20190504,宝山,月浦,合租,·,16平米,1168
20190504,宝山,月浦,合租,·,25平米,1630
20190504,宝山,月浦,合租,·,6平米,1028
20190504,宝山,月浦,合租,·,22平米,1750
20190504,宝山,月浦,合租,·,16平米,1500
20190504,宝山,月浦,整租,·,25平米,1618
20190504,宝山,月浦,整租,·,25平米,1718
20190504,宝山,月浦,合租,·,15平米,1390
20190504,宝山,月浦,合租,·,17平米,1250
20190504,宝山,月浦,合租,·,20平米,1580
20190504,宝山,月浦,合租,·,22平米,1400
20190504,宝山,月浦,合租,·,20平米,1580
20190504,宝山,月浦,合租,·,17平米,1680
20190504,宝山,月浦,合租,·,16平米,1680
20190504,宝山,月浦,合租,·,30平米,1590
20190504,宝山,月浦,合租,·,20平米,1450
20190504,宝山,月浦,合租,·,15平米,1450
20190504,宝山,月浦,合租,·,15平米,850
20190504,宝山,月浦,整租,·,85平米,3200
20190504,宝山,月浦,合租,·,12平米,1260
20190504,宝山,月浦,合租,·,10平米,840
20190504,宝山,月浦,合租,·,15平米,1260
20190504,宝山,月浦,合租,·,15平米,1365
20190504,宝山,月浦,合租,·,15平米,1200
20190504,宝山,月浦,合租,·,10平米,1000
20190504,宝山,月浦,合租,·,15平米,1522
20190504,宝山,月浦,合租,·,15平米,1228
20190504,宝山,月浦,合租,·,15平米,1350
20190504,宝山,月浦,合租,·,15平米,1200
20190504,宝山,月浦,合租,·,15平米,1228
20190504,宝山,月浦,合租,·,10平米,756
20190504,宝山,月浦,合租,·,10平米,756
20190504,宝山,月浦,合租,·,12平米,1039
20190504,宝山,月浦,合租,·,10平米,850
20190504,宝山,月浦,合租,·,12平米,1020
20190504,宝山,月浦,合租,·,15平米,1351
20190504,宝山,月浦,合租,·,12平米,1049
20190504,宝山,月浦,合租,·,15平米,1515
20190504,宝山,月浦,合租,·,15平米,1365
20190504,宝山,月浦,合租,·,15平米,1365
20190504,宝山,月浦,合租,·,15平米,1512
20190504,宝山,月浦,合租,·,12平米,1155
20190504,宝山,月浦,合租,·,15平米,1155
20190504,宝山,月浦,合租,·,15平米,1449
20190504,宝山,月浦,合租,·,15平米,1365
20190504,宝山,月浦,合租,·,15平米,1365
20190504,宝山,月浦,合租,·,15平米,1260
20190504,宝山,月浦,合租,·,15平米,1522
20190504,宝山,月浦,月浦四村,2室0厅,47平米,2200
20190504,宝山,月浦,富锦路1659弄,2室1厅,71平米,3800
20190504,宝山,月浦,富锦苑,2室1厅,84平米,3500
