20190504,宝山,大场镇,七号线场中路200m，中间楼层 房型方正 满五唯一,245万,乾溪新村  | 2室1厅 | 60.01平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1d4f24e1-ac1b-4880-99eb-b33d7936f8a5.jpg.296x216.jpg
20190504,宝山,大场镇,同济城市阳光精装修双南户型看房随时采光好通风好,420万,同济城市阳光  | 2室2厅 | 80.7平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a61246e5-81ef-44e9-8d01-457bca1df1cd.jpg.296x216.jpg
20190504,宝山,大场镇,地铁口250m，小两房一厅 一梯两户，温馨舒适 诚售,217万,乾溪新村  | 2室1厅 | 54.63平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4c964fa7-6c97-40fc-b710-e936090edaea.jpg.296x216.jpg
20190504,宝山,大场镇,2014年次新小区 电梯3房 开发商精装 丰翔路步行800米,490万,同济城市阳光  | 3室2厅 | 99.77平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-643c033f-e042-4829-bb33-3136a74af8b6.jpg.296x216.jpg
20190504,宝山,大场镇,降价18万  自住精装修 户型方正 南北通 采光视野好,482万,同济城市阳光  | 3室2厅 | 106.16平米 | 南 | 精装 | 有电梯,
20190504,宝山,大场镇,乾溪新村 1室1厅 218万,218万,乾溪新村  | 1室1厅 | 56.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-988d501e-bbb5-4530-92c7-13a1e5c48031.png.296x216.jpg
20190504,宝山,大场镇,全明户型 五楼 七号线场中路地铁口100m 满五唯一,235万,乾溪新村  | 2室1厅 | 55.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-289f1481-8ea4-4520-a078-f6a9034428f1.png.296x216.jpg
20190504,宝山,大场镇,上大阳光乾和园 2室2厅 375万房主自荐,375万,上大阳光乾和园  | 2室2厅 | 94.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-881b8793-f9fa-4a60-bba2-42befe682419.jpg.296x216.jpg
20190504,宝山,大场镇,两房朝南 低楼层，七号线200m 房型方正 采光好,225万,乾溪新村  | 2室0厅 | 54.36平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-655e744d-a0a3-48af-bdc3-bc17ca80bd4f.jpg.296x216.jpg
20190504,宝山,大场镇,满五唯一 中区楼层 一梯一户 采光好 户型正气,540万,美好家小区  | 3室2厅 | 105.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-84dfef31-77fb-4fca-9851-9212778baba4.jpg.296x216.jpg
20190504,宝山,大场镇,双南户型，户型方正，采光好，近地铁。,248万,乾溪新村  | 2室1厅 | 58.5平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3e477f8b-aabd-41e9-8c49-15beda1cab8e.jpg.296x216.jpg
20190504,宝山,大场镇,中间楼层小户型 业主诚意出售 产权清晰无贷款,185万,乾溪新村  | 2室1厅 | 40.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4abdf695-2bca-4d14-8fd2-7b9aeb1283a7.jpg.296x216.jpg
20190504,宝山,大场镇,08年竣工电梯商品房，满5年，小区环境好，随时可看！,385万,上大阳光乾和园  | 2室2厅 | 94.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3143a680-63f3-4df6-a403-99904cba9fc1.jpg.296x216.jpg
20190504,宝山,大场镇,近地铁 采光好 视野开阔 环境优美,185万,乾溪新村  | 1室1厅 | 45.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fe42095c-8e6c-434f-8144-4173a3f19d26.jpg.296x216.jpg
20190504,宝山,大场镇,次新电梯商品房，满5年，环境好，户型及楼层、采光好,395万,上大阳光乾和园  | 2室2厅 | 99.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-940d699d-6cf4-49e6-9058-8f4c257b6cfb.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 4室2厅 620万,620万,君邑地中海(公寓)  | 4室2厅 | 132.03平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c2239361-28ba-4bdb-b447-085c098bce8a.jpg.296x216.jpg
20190504,宝山,大场镇,一梯两户，七号线300m，两房朝南 日照充足，诚售,240万,乾溪新村  | 2室1厅 | 64.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6e527cb-aca2-4bcf-b9d2-6f5d40f444e8.jpg.296x216.jpg
20190504,宝山,大场镇,联建新村(宝山) 3室0厅 295万,295万,联建新村(宝山)  | 3室0厅 | 70.78平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-189d1fb3-57cb-466a-bfdf-9a03fdb4385b.png.296x216.jpg
20190504,宝山,大场镇,清水蓝湾 2室1厅 215万,215万,清水蓝湾  | 2室1厅 | 67.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fdbd5701-3799-4755-a110-f075c2711bcd.png.296x216.jpg
20190504,宝山,大场镇,同济城市阳光开发商精装修中高层看房随时采光好视野好,500万,同济城市阳光  | 3室2厅 | 99.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8955ff41-02b7-486a-b806-7088a8a730a9.jpg.296x216.jpg
20190504,宝山,大场镇,楼层好，单价总价低，满五唯一，诚心出售,180万,联建新村(宝山)  | 1室1厅 | 49.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-10240f6a-1baa-4107-bd5f-eaaea4ed50ea.jpg.296x216.jpg
20190504,宝山,大场镇,中间楼层 一梯两户，地铁口边上 小两房一厅 诚售,235万,乾溪新村  | 2室1厅 | 54.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f2081a9d-61c2-4430-8c75-d5b2d41d8c06.jpg.296x216.jpg
20190504,宝山,大场镇,小区中间位置 次新电梯2房 开发商精装修新上,450万,同济城市阳光  | 2室2厅 | 83.82平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e741a4a3-94d0-474b-a3ee-f3c518da2ac7.jpg.296x216.jpg
20190504,宝山,大场镇,17年精装修，房东诚意出售，看房方便，交通便利房主自荐,278万,环镇北路600弄  | 2室1厅 | 72平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-14dc3808-e66d-4703-85e5-4f0cc99e2b06.jpg.296x216.jpg
20190504,宝山,大场镇,环镇北路600弄 一室一厅带阳台 采光好,225万,环镇北路600弄  | 1室1厅 | 67.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-69a35af6-7ad0-4ea1-9b9d-918f556a6c7d.jpg.296x216.jpg
