20190504,宝山,月浦,满五唯一  户型好 楼层好 四楼新上,120万,月浦七村  | 1室1厅 | 41.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/3bfb9a27-68dc-4554-8d26-d78d2ec5aec8.png.280x210.jpg
20190504,宝山,月浦,乐业一村 南北朝向一居室满五年唯一 诚心出售房主自荐,133万,乐业一村  | 1室1厅 | 41.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8363cf67-9545-4d5d-81bb-af2fde5c707c.jpg.296x216.jpg
20190504,宝山,月浦,德都路165弄 精装一房  业主诚心出售,140万,德都路165弄  | 1室1厅 | 43.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-44379018-2fd6-49cc-8db6-ec227ecccbf4.jpg.296x216.jpg
20190504,宝山,月浦,月浦五村 南北两房 交通便利 满五唯一 提前约可看,135万,月浦五村  | 2室1厅 | 44.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5bf3b417-b1bc-4856-8994-8fdf0de78442.jpg.296x216.jpg
20190504,宝山,月浦,楼层好，小区环境优美 ，满二唯一,220万,月浦八村  | 2室2厅 | 65.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fe54bdba-b603-459e-8b80-9acfb2ef8fb8.jpg.296x216.jpg
20190504,宝山,月浦,精装修拎包入住，距离地铁近，税费各付，总价低.....,192万,庆安一村  | 2室1厅 | 57.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-734c1ae5-95b0-49fb-a73f-2e03910863c7.jpg.296x216.jpg
20190504,宝山,月浦,房子满五唯一 采光充足 交通方便  孩子上学诚心出售房主自荐,150万,月浦六村  | 2室1厅 | 52.3平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-14ac0f0d-16fe-4839-896f-eab9e8bfa28a.jpg.296x216.jpg
20190504,宝山,月浦,月浦五村  交通便利  配套齐全   有公园  大型超市,186万,月浦五村  | 2室1厅 | 59.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-78a26884-ef8e-4874-a98d-e439bf7fe5d8.jpg.296x216.jpg
20190504,宝山,月浦,月浦新社区建设试点小区，环境优美,230万,月浦八村  | 3室1厅 | 71.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2bfd55a6-0aff-4de4-9633-4b5e3dc167f3.jpg.296x216.jpg
20190504,宝山,月浦,总价低 一房改两房有厅，刚需过渡的优质房源,128万,月浦九村  | 1室1厅 | 44.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f7b0249d-ea0b-4b1c-a31a-7fbd91705ad5.jpg.296x216.jpg
