20190504,宝山,张庙,泗塘四村 1室1厅 158万,158万,泗塘四村  | 1室1厅 | 33.16平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e4594825-ba03-4135-aec3-2a8f0493d86e.jpg.296x216.jpg
20190504,宝山,张庙,呼玛一村 2室1厅 250万新上,250万,呼玛一村  | 2室1厅 | 53.76平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-48ccf049-d9db-4082-9e98-530d888367a7.jpg.296x216.jpg
20190504,宝山,张庙,近地铁全明户型，满五唯一无多余税费，诚意出售价格低,220万,呼玛五村  | 2室1厅 | 55.93平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171010/cdd77967-740c-4345-b7eb-30e48da67731.jpg.296x216.jpg
20190504,宝山,张庙,看房有钥匙。中区采光层。看房有钥匙,151万,泗塘四村  | 1室1厅 | 33.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-385cd3fd-6578-4435-9d80-ef98f350162f.jpg.296x216.jpg
20190504,宝山,张庙,通河一村 南北两房 户型通明 采光无遮挡 婚房装修,258万,通河一村  | 2室1厅 | 58.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-33edab52-d650-48f5-b784-3a2f09b214eb.jpg.296x216.jpg
20190504,宝山,张庙,共和二村 2室2厅 418万新上,418万,共和二村  | 2室2厅 | 91.75平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b64ecff0-31fd-4b14-a9e1-a10020730017.jpg.296x216.jpg
20190504,宝山,张庙,通河一村 1室1厅 272万新上,272万,通河一村  | 1室1厅 | 57.08平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a58519ac-47fd-4abf-81da-e5fa5afd63d2.jpg.296x216.jpg
20190504,宝山,张庙,呼玛二村 1室1厅 195万,195万,呼玛二村  | 1室1厅 | 41.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cc4de301-f954-4d63-b294-3d149e3ba9f4.jpg.296x216.jpg
20190504,宝山,张庙,一楼天井已搭，西边套厅带窗，99年房龄，满五唯一,210万,呼玛四村  | 1室1厅 | 50.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1f78db73-e36a-4b26-84af-28664bea5b2a.jpg.296x216.jpg
20190504,宝山,张庙,呼玛三村 2室1厅 285万,285万,呼玛三村  | 2室1厅 | 59.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6504e54-4230-4392-8765-35c5050cbd04.jpg.296x216.jpg
20190504,宝山,张庙,小区花园位置独栋，满五唯一，全明窗，业主诚意出售,213万,呼玛一村  | 2室1厅 | 54.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0cf2efd2-f1fe-4f80-a3e8-5eaab1d50308.jpg.296x216.jpg
20190504,宝山,张庙,售后公房免增值税+满五少税费+精装+近地铁+万达商圈,385万,惠民公寓  | 2室1厅 | 90.13平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f0c7990c-ca14-4866-aa9a-c06b23b1dd42.png.296x216.jpg
20190504,宝山,张庙,呼玛二村 2室1厅 245万,245万,呼玛二村  | 2室1厅 | 53.95平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8c071958-daf7-4ba0-8722-4de7d5ccff7c.png.296x216.jpg
20190504,宝山,张庙,满五唯一税费低，户型全明总价优，采光无限阳光好。,223万,呼玛一村  | 2室1厅 | 58.86平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7bc53bab-a56e-4444-a4e1-5646416cc313.png.296x216.jpg
20190504,宝山,张庙,满5年，楼层好，南北通大2房，全明户型，看房方便,285万,呼玛二村  | 2室1厅 | 68.14平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a629873a-c3ca-47e0-b7a0-3bc3d223a92e.jpg.296x216.jpg
20190504,宝山,张庙,一梯三户，南北通全明户型，自住新装修，满5年唯一,223万,呼玛二村  | 2室1厅 | 52.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1e5d1058-6a85-4695-8bb7-4b74591b4211.png.296x216.jpg
20190504,宝山,张庙,独栋双南正气两房 全明户型 中间楼层 满五年唯一,248万,呼玛一村  | 2室1厅 | 55.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f090b9cb-1e0f-4ba5-8d0b-6ddc980942c4.png.296x216.jpg
20190504,宝山,张庙,厨卫朝北明，精装修拎包入住，距离呼兰路地铁站800米,166万,呼玛四村  | 1室1厅 | 41.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dde7b424-0976-464c-978e-347d97904b8a.jpg.296x216.jpg
20190504,宝山,张庙,泗塘五村 2室1厅 220万,220万,泗塘五村  | 2室1厅 | 62.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4fa3e51b-fff8-4a97-a24e-cb2c324fcbbc.png.296x216.jpg
20190504,宝山,张庙,泗塘七村-一梯三户，无装修-T字形-可按自己想法装修,175万,泗塘七村  | 1室1厅 | 46.74平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-77b8ba88-2e7b-480c-97a3-cad55fbf8b97.jpg.296x216.jpg
20190504,宝山,张庙,民悦苑2室一厅，房间使用率高，性价好，房东诚意卖,315万,民悦苑  | 2室1厅 | 71.29平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cdd3e6f8-bb94-4f5e-b6ea-d3da1e36c6f5.jpg.296x216.jpg
20190504,宝山,张庙,户型方正，得房率高，诚心出售，看房方便,255万,长江西路1160弄  | 2室1厅 | 62.62平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0de03621-e447-4f18-9265-6faae1a33589.png.296x216.jpg
20190504,宝山,张庙,泗塘八村 诚心出租 可提包入住,190万,泗塘八村  | 1室1厅 | 51.78平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-42b23813-b479-4eec-b308-7f4a0b66151b.png.296x216.jpg
20190504,宝山,张庙,满五唯一税费低，户型全明总价优，采光无限阳光好。,225万,呼玛一村  | 2室1厅 | 55.41平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5bdf39b7-8276-4289-9c67-f4b100008cf4.png.296x216.jpg
20190504,宝山,张庙,自住精装+小户型（低总价）+视野开阔,220万,盛达家园  | 1室1厅 | 54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9a0d159e-8d03-47fa-99e3-2cee5733d2ac.png.296x216.jpg
20190504,宝山,张庙,民悦苑 2室2厅 400万,400万,民悦苑  | 2室2厅 | 77.68平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2384f434-d20c-428f-86d9-c1fa8806b1c6.jpg.296x216.jpg
20190504,宝山,张庙,满5年唯一，楼层好，双南户型，一梯两户，近地铁,243万,呼玛二村  | 2室1厅 | 55.28平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f768e6f0-24da-44cd-9b0b-1a3f7c5d4261.jpg.296x216.jpg
