20190504,奉贤,柘林,低总价大两房+可以上海何必环户+满五唯一税费低随时看,142万,海韵馨苑  | 2室2厅 | 106.89平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6e70e495-f8c8-40c7-95f0-f9431ff97518.png.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 两房总价低 毛坯 大两房房主自荐,132万,海韵馨苑  | 2室2厅 | 100.16平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3295aa00-ea89-483c-a545-d69128973df5.png.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 150万,150万,海韵馨苑  | 2室2厅 | 96.27平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-09d00a4f-3406-49e0-bbd4-8ab772b12120.jpg.296x216.jpg
20190504,奉贤,柘林,海畔家园 精装修2房2卫 有储物间  诚心卖房主自荐,136万,海畔家园(二期)  | 2室2厅 | 104.99平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91757764-2986-4032-97ea-ab44f928018e.png.296x216.jpg
20190504,奉贤,柘林,毛坯两房 采光好 税费少 看房方便 急售急急急很急急售,122万,乐怡苑(奉贤)  | 2室2厅 | 95平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-779720b2-8eea-4181-974d-5a646c6184be.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 3室2厅 180万,180万,海韵馨苑  | 3室2厅 | 137平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-41601914-4b1b-4483-8b70-c30002d197ad.jpg.296x216.jpg
20190504,奉贤,柘林,柘林镇低总价 77.84㎡ 一楼半毛坯房 有钥匙 产权清晰,110万,乐怡苑(奉贤)  | 2室1厅 | 77.84平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-17e1f82d-d8f0-4505-a59f-a4e2074aa386.png.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 140万,140万,海韵馨苑  | 2室2厅 | 91.15平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ac2a410a-d9cf-4fce-8b8c-28d1b7ec70ba.jpg.296x216.jpg
20190504,奉贤,柘林,海岸景苑 2室2厅 120万,120万,海岸景苑  | 2室2厅 | 92.83平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-034badc2-dcf2-430f-ad5e-5df6ba2e327e.jpg.296x216.jpg
20190504,奉贤,柘林,海韵馨苑 2室2厅 145万,145万,海韵馨苑  | 2室2厅 | 106.53平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-75f54805-e5ba-4ef3-8c87-351c20458890.jpg.296x216.jpg
20190504,奉贤,柘林,乐怡苑(奉贤) 3室2厅 155万,155万,乐怡苑(奉贤)  | 3室2厅 | 127.99平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-becde7ab-e00e-400b-89a1-6fdf8d60da82.jpg.296x216.jpg
