20190504,虹口,北外滩,高层视野 景观大阳台 南北通户型 诚意出售,1780万,新外滩花苑  | 3室2厅 | 172.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20151006/96f46a94-a921-4acc-b7ff-2dd35f1ae7b1.jpg.296x216.jpg
20190504,虹口,北外滩,唐山新苑 2室2厅 620万,620万,唐山新苑  | 2室2厅 | 110.37平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160918/62d6175b-da26-4360-a432-0d6751e5fc68.jpg.296x216.jpg
20190504,虹口,北外滩,久耕小区，一室户，总价低，单价低，全明户型,245万,久耕小区  | 1室1厅 | 40.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9794dfb2-5ed1-4f75-b04e-b6bd9e9cdc0a.png.296x216.jpg
20190504,虹口,北外滩,临江雅苑，浦西滨江绿地版块，南北通三房.,780万,临江大厦  | 3室2厅 | 144.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a6c95748-e186-4b05-a999-cf1f53e2e656.png.296x216.jpg
20190504,虹口,北外滩,久耕小区，两室一厅，全明户型，房东诚意出售,410万,久耕小区  | 2室1厅 | 63.9平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-33866076-4342-4499-a35f-e4d48d883a15.png.296x216.jpg
20190504,虹口,北外滩,临江住宅，出门就是滨江绿地，公平路轮渡直通陆家嘴,780万,临江大厦  | 3室2厅 | 144.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3d65a0b1-777c-4abc-929d-fd4e20db303f.png.296x216.jpg
20190504,虹口,北外滩,一湾倾城，一宅传世，北外滩滨江府宅，24小时物业服务,2580万,白金湾府邸  | 3室2厅 | 278.28平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-db488ba5-f0a9-44ef-959c-4985e5c6d0ca.png.296x216.jpg
20190504,虹口,北外滩,南北通户型、一梯三户、满五年、户型方正，诚意出售。,430万,久耕小区  | 3室1厅 | 70.99平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-babb3d04-e7d1-4a1a-947c-ef031fd6b338.png.296x216.jpg
20190504,虹口,北外滩,新外滩花苑，距离滨江跑道50米，景观房,2030万,新外滩花苑  | 3室2厅 | 157.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3736f8ea-5f21-4b05-903a-58f2a84d90ea.jpg.296x216.jpg
20190504,虹口,北外滩,久耕小区 2室1厅 360万,360万,久耕小区  | 2室1厅 | 51.61平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-43ad7ca9-3847-4eb5-a61b-a74a71374309.png.296x216.jpg
20190504,虹口,北外滩,名江七星城+顶楼复式房+白玉兰+刷卡到户,1980万,名江七星城  | 5室3厅 | 236.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2532d247-98d1-4818-b09d-e7db3c1435b1.png.296x216.jpg
20190504,虹口,北外滩,2012年次新房，地铁双轨交汇，业主折现，诚意出售,950万,豪景苑  | 2室2厅 | 98.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bbde650b-0482-4718-b00c-b4bbf2761a49.jpg.296x216.jpg
20190504,虹口,北外滩,南北通三房、利用率合理、满五年、带飘窗、采光好,1150万,耀江国际广场(公寓)  | 3室2厅 | 139.94平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7749e1c7-238e-43d7-ab7d-3eea43061a6e.jpg.296x216.jpg
