20190504,虹口,临平路,满五唯一，随时看房，交通方便，诚意出售，高区景观,670万,银欣花苑(虹口)  | 2室2厅 | 110.04平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-79b4684d-0ec6-463d-b309-7c5f140de2a0.jpg.296x216.jpg
20190504,虹口,临平路,二期小两房，好出手好出租，诚意卖，买进价高！房主自荐,639万,瑞虹新城二期(优贤生活)  | 2室1厅 | 68.05平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c95a1ae2-cc7c-4626-a9cd-13fb22fc047d.jpg.296x216.jpg
20190504,虹口,临平路,此房高区无遮挡+二手买进税费低+小区自带双语幼儿园,630万,瑞虹新城(一期)  | 2室2厅 | 77.98平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-939dc03d-4361-4212-876a-78a22b528399.jpg.296x216.jpg
20190504,虹口,临平路,2004年品质社区+24小时安保执勤+低总价小两房,730万,瑞虹新城二期(优贤生活)  | 2室2厅 | 79.26平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9c22f7d1-24b6-4b34-80a5-3d2269dc53e7.jpg.296x216.jpg
20190504,虹口,临平路,满五真唯一带产权车位四开间朝南 全明户型 价格能谈！房主自荐,950万,瑞虹新城(一期)  | 3室2厅 | 115.65平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e6a501bc-ba28-416b-8da0-1019902c6857.jpg.296x216.jpg
20190504,虹口,临平路,瑞虹二期全朝南两房 正对小区花园 闹中取静 地铁4号线,868万,瑞虹新城二期(优贤生活)  | 2室2厅 | 94.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-23191eff-d37d-44ee-8a4f-02b3548b1c5a.jpg.296x216.jpg
20190504,虹口,临平路,瑞虹新城16年次新房 空调 地暖  品质 有钥匙 看房方便房主自荐,1040万,瑞虹新城怡庭  | 2室2厅 | 102.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-43ab994c-f738-4338-beac-688bc776ca0c.jpg.296x216.jpg
20190504,虹口,临平路,10年次新小区，难得的飞机户型，板式三房！有车位,1220万,中信和平家园  | 3室2厅 | 136.92平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-224c86bb-f444-4e7a-b6c6-69be79300b11.png.296x216.jpg
20190504,虹口,临平路,业主急售，高区有产权车位，满五唯一，采光视野佳,1050万,紫虹嘉苑  | 3室2厅 | 134.9平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa5d7a78-4760-4e15-89e0-767636883c3e.jpg.296x216.jpg
20190504,虹口,临平路,高区景观 南北通户型 随时看房 有子母车位,1270万,瑞虹新城(三期)  | 3室2厅 | 147.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1412329b-5c14-4fe8-953b-b1e1d5df5c50.png.296x216.jpg
