20190504,虹口,鲁迅公园,楼栋位置佳+满5年唯一+视野开阔+精装,750万,世博花园  | 2室1厅 | 79.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-610f27f6-7eb4-4872-aa0b-a8cae0a29e4b.jpg.296x216.jpg
20190504,虹口,鲁迅公园,满五唯一，全天采光，视野开阔，全明户型，诚意出售,330万,欧四小区  | 2室1厅 | 60.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a6962a9e-0d13-43b1-aeb3-647a11899ad0.jpg.296x216.jpg
20190504,虹口,鲁迅公园,虹口公园 01年品质小区+采光视野佳+中区满五全明户型,720万,嘉宏紫薇园  | 2室2厅 | 121.44平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-542ada7d-3242-445e-afbb-c6d1c66b4c23.png.296x216.jpg
20190504,虹口,鲁迅公园,售后公房 精装修 鲁迅公园旁边 地铁双轨交 诚心出售,290万,欧阳小区  | 2室1厅 | 54.42平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-70c7274d-e9be-402f-b46c-bf5712aa5362.jpg.296x216.jpg
20190504,虹口,鲁迅公园,内环内04年次新房，临河风景这边独好，单价4字开头,535万,文宇公寓  | 2室2厅 | 108.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a4ad4952-2704-425b-b470-d01c92109ccc.jpg.296x216.jpg
20190504,虹口,鲁迅公园,品质小区，一梯二户高区电梯房，南北通三房朝南四阳台,1050万,绿洲紫荆花园  | 3室2厅 | 165.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f11506b1-4141-4813-bf15-0b301d593111.jpg.296x216.jpg
20190504,虹口,鲁迅公园,满五唯一税费少，精装修，房型正，全明户型,798万,溧阳华府(公寓)  | 2室2厅 | 112.66平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-459c66ec-e0f6-4ea6-b02e-c1be8f5cc732.png.296x216.jpg
20190504,虹口,鲁迅公园,面宽3米4，宽敞+繁华地段+3.8号地铁,235万,同心路125弄  | 1室1厅 | 37.4平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-41358856-d674-4271-b991-77c3e579e7b7.png.296x216.jpg
20190504,虹口,鲁迅公园,满五税费少+内环内电梯两房+3/8号地铁 双轨交汇,520万,恒业公寓  | 2室1厅 | 85.08平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f33a91df-7d30-4594-86a8-a39a1c37a9db.jpg.296x216.jpg
20190504,虹口,鲁迅公园,高区电梯两房，视野宽阔，采光全天，业主置换诚意卖,660万,欧阳名邸  | 2室2厅 | 90.32平米 | 东南 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-821a0a50-ec49-45ca-b15d-4885092fb52a.jpg.296x216.jpg
20190504,虹口,鲁迅公园,内化内税费低+板式小高层电梯南北通+近3,8线降30万诚,698万,建玮公寓  | 2室2厅 | 99.86平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-155d2236-d3c8-4a39-b50b-3ba903cf1b29.jpg.296x216.jpg
20190504,虹口,鲁迅公园,内环内品质小区+南北通3房+高区景观+全明户型+诚心售,860万,冠都公寓  | 3室2厅 | 125.28平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ddea9889-d4e5-456d-b14b-9f48efd91182.png.296x216.jpg
20190504,虹口,鲁迅公园,德阳花苑 2室2厅 820万,820万,德阳花苑  | 2室2厅 | 133.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-857b4ad2-3fb2-4612-a024-94d4827fcac1.png.296x216.jpg
20190504,虹口,鲁迅公园,虹仪小区 2室1厅 440万,440万,虹仪小区  | 2室1厅 | 64.77平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a2de064a-ef92-4922-9715-331d904f1329.png.296x216.jpg
20190504,虹口,鲁迅公园,诚售全明精装3房 两房朝南，近地铁3/8号线，满五唯一,895万,华清名苑  | 3室2厅 | 131.41平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e7046f92-7b2c-4722-b6b2-9ec6b9c4f35d.png.296x216.jpg
20190504,虹口,鲁迅公园,有露台双南高得房率+采光好视野棒+卫生间面积不算诚售,555万,嘉苑公寓  | 2室1厅 | 88.61平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-a0b3d2ed-6480-46e1-8484-91a5abab4baa.jpg.296x216.jpg
20190504,虹口,鲁迅公园,满五唯一！中高区采光好！交通便利！,1210万,山水苑  | 3室2厅 | 144.74平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-be23922f-b972-4aac-a76c-65b0796d9e59.jpg.296x216.jpg
20190504,虹口,鲁迅公园,1楼，12平花园、双轨交站、出行方便、采光无遮挡,205万,何家宅小区  | 1室0厅 | 31.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b0855893-4a11-4eeb-aa0f-717d97fcfb01.jpg.296x216.jpg
20190504,虹口,鲁迅公园,鲁迅公园边，2003年小区，板式户型，业主诚意出售！！房主自荐,1130万,山水苑  | 3室2厅 | 130.47平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-26bedbd9-3457-4709-8347-124e204cbe0f.png.296x216.jpg
20190504,虹口,鲁迅公园,3、8号线地铁300米，门口龙之梦，鲁迅公园，户型正气,210万,何家宅小区  | 1室1厅 | 40.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e08fafac-f847-4713-9c5b-a2bf8ea2012a.png.296x216.jpg
20190504,虹口,鲁迅公园,铂金地段电梯双南全明小户型+氧吧中的小区业主急售,650万,新大陆小区  | 2室2厅 | 109.51平米 | 东 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-77f91eaf-1e64-4fa1-afb2-71fdf9794965.jpg.296x216.jpg
20190504,虹口,鲁迅公园,新文苑 3室2厅 1200万,1200万,新文苑  | 3室2厅 | 152.52平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-da3ea983-d50f-4664-94d0-9c187df8e367.jpg.296x216.jpg
20190504,虹口,鲁迅公园,一梯两户南北通户型，夏天可开窗通风，全明无暗间,555万,恒通公寓  | 2室1厅 | 88.77平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ff4fa25b-77d5-4555-a1d8-2d2fe8aa6cd1.jpg.296x216.jpg
20190504,虹口,鲁迅公园,满五唯一，依水而居！全南电梯房，阳光不遮挡！房主自荐,630万,文宇公寓  | 2室1厅 | 96.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2a7d903d-39e8-4f12-9bb0-b32ff2138891.png.296x216.jpg
20190504,虹口,鲁迅公园,内环内 品质小区 南北通全明户型  近3/8地铁站,550万,飘鹰公寓  | 2室1厅 | 76.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6a115ab-7861-41da-bec2-3d2721d7372f.jpg.296x216.jpg
20190504,虹口,鲁迅公园,全南户型，厨卫全明，房源稀-少，仅有的诚意两房在售,610万,欧阳花苑  | 2室2厅 | 84.64平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-bc4b98fd-d868-4eba-b4af-ce2e8159dac9.png.296x216.jpg
