20190504,虹口,曲阳,东边套低价+精装+北一室户+内环+曲阳路8号地铁站新上,135万,玉田新村  | 1室0厅 | 29.1平米 | 东 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-140227e7-732b-4e14-be26-68085c4adedd.jpg.296x216.jpg
20190504,虹口,曲阳,降价15万+地铁口50米精品两房+可改三房+采光佳+拎包住房主自荐,799万,华虹公寓  | 2室2厅 | 111.9平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-07c5df1a-457f-415f-9319-f2f1072f3412.jpg.296x216.jpg
20190504,虹口,曲阳,东方明珠景观房+高区电梯房+百联购物+3/8号线地铁,539万,银联花园  | 2室1厅 | 75.95平米 | 东南 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-20f3e2f2-ab77-41d5-bfb0-f8126ed9376a.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳精致一室户，总价低，满五唯一，拎包入住,205万,玉四小区  | 1室1厅 | 30.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-33d39786-2f74-4a7e-bb59-0894daa92da5.jpg.296x216.jpg
20190504,虹口,曲阳,一梯三户，钥匙房源，售后公房，1987年竣工，采光十足,232万,蒋家桥小区  | 1室1厅 | 38.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0ef4acee-253e-4f51-b2f7-ad1bd4142c3c.jpg.296x216.jpg
20190504,虹口,曲阳,售后公房，产权清晰，高区景观房，可观万家灯火，,360万,东四小区  | 1室1厅 | 40.93平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0ec178cf-9ac2-4efa-b487-41e72b17b05c.jpg.296x216.jpg
20190504,虹口,曲阳,房东急售急售+大三房+交通便利+诚意客户可以细聊房主自荐,630万,玉田大楼  | 3室2厅 | 115.59平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6b1802d9-6237-4d2a-be40-770b12852f61.png.296x216.jpg
20190504,虹口,曲阳,满五唯一，位置安静配套齐全 交通便利，采光不挡,378万,赤峰小区  | 2室1厅 | 64.69平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9c7af90d-a4ff-4ce7-a777-1e76f8607fbe.jpg.296x216.jpg
20190504,虹口,曲阳,东体小区 2室1厅 287万,287万,东体小区  | 2室1厅 | 46.95平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dc61d29b-a467-42d7-9f43-86eeb9665f07.jpg.296x216.jpg
20190504,虹口,曲阳,电梯房     地段好    诚意出售,369万,赤峰小区  | 2室1厅 | 64.69平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7d3529ca-02ae-4637-827a-66589953eec3.jpg.296x216.jpg
20190504,虹口,曲阳,双东小区 2室1厅 425万房主自荐,425万,双东小区  | 2室1厅 | 53.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a2491f9a-0b2f-453a-ad25-bb8c9f212fe8.jpg.296x216.jpg
20190504,虹口,曲阳,房东急售，阳台不算面积，满五唯一，5F，靠地铁！,169万,大西小区  | 1室1厅 | 29.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-af30cede-a577-437a-88eb-2ae2a5a3e17d.jpg.296x216.jpg
