20190504,虹口,四川北路,4/10号海伦站地铁口、房源满五唯一、房东诚意出售。新上,1220万,国际明佳城  | 3室2厅 | 194.54平米 | 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-51579ad9-bd1d-4c76-8d22-15d20fb49d2a.jpg.296x216.jpg
20190504,虹口,四川北路,内环内1997年房龄+视野开阔朝花园+一梯三户得房率高新上,325万,天通庵路657弄  | 2室1厅 | 55.86平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a8d5b3f9-9f62-4948-9568-0f72448e6c1b.jpg.296x216.jpg
20190504,虹口,四川北路,内环内精装小1房，97年房龄，边套诠明， 楼层佳,188万,金机大厦(公寓)  | 1室1厅 | 32.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c65d0276-010c-4fa2-b004-4fdcfe88edbc.jpg.296x216.jpg
20190504,虹口,四川北路,鲁迅公园内环内近四川北路商圈3号线东宝兴路站旁边,600万,金机大厦(公寓)  | 2室2厅 | 113.6平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e638f4a6-54e8-4687-8c0e-2ce945b93802.jpg.296x216.jpg
20190504,虹口,四川北路,有家具，3南1北，带20平米露台，板式南北通，带电梯。,1020万,虹叶花苑  | 3室2厅 | 173.08平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a86b2a8f-f08a-4d2a-a4aa-04ee7386b365.jpg.296x216.jpg
20190504,虹口,四川北路,09年二期（虹叶香舍）4号10号双地铁+有产权车位+高区,950万,虹叶花苑  | 3室2厅 | 129.61平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2a6316d2-005c-4e80-8a83-431b3f709937.jpg.296x216.jpg
20190504,虹口,四川北路,97年房龄+适合老人+底层+闹中取静+近3/8号线,340万,金机大厦(公寓)  | 2室1厅 | 51.59平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c2ee6bb8-4a68-479f-b013-3fc55d95f797.png.296x216.jpg
20190504,虹口,四川北路,售后公房无增值及个税+内环内电梯房地铁3号线东宝兴路,590万,求精大厦  | 2室1厅 | 87.3平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-4ebd4132-fd5e-458a-9bde-175c26ea10eb.png.296x216.jpg
20190504,虹口,四川北路,金虹花苑位于四川北路板块，3/8号地铁双轨，配套齐全,760万,金虹花苑  | 3室2厅 | 141.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f47fa617-69fc-42d6-9754-5d7487c89ef5.png.296x216.jpg
20190504,虹口,四川北路,高区临河+一梯两户+04年品质小区+二手买进满五唯一,975万,海伦新苑  | 3室2厅 | 124.61平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5fec4ead-2504-4d8d-a13e-0b46ebb3ba78.jpg.296x216.jpg
20190504,虹口,四川北路,急卖 价格可谈  好房子 人车分流 满五唯一  随时看房,899万,嘉杰国际广场(公寓)  | 2室2厅 | 112.54平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f05caaaa-3d09-4b07-82fb-95cd36114d28.png.296x216.jpg
20190504,虹口,四川北路,弘丰新苑，售后公房，近东宝兴路3号地铁，411医院。,525万,弘丰新苑  | 2室1厅 | 86.27平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fb3c3fb0-d245-4ddf-bf21-4a504fea32a9.jpg.296x216.jpg
20190504,虹口,四川北路,内环四川北路板块三房+户型正气+满五年唯一+诚售,850万,国贸花园  | 3室2厅 | 119平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-36419ea9-7a92-4b63-aca7-675bd96e35da.jpg.296x216.jpg
20190504,虹口,四川北路,四川北路板块（地铁四号10号海伦路站）全明  全南户型,780万,国贸花园  | 2室2厅 | 128.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-05a180d0-fe64-4e0a-b980-81bc33845ba9.jpg.296x216.jpg
20190504,虹口,四川北路,虹叶花苑 3室1厅 950万,950万,虹叶花苑  | 3室1厅 | 155.12平米 | 东 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-07e273fb-bae6-4576-a73f-cfabef6811d5.jpg.296x216.jpg
20190504,虹口,四川北路,上海优秀历史建筑 近外滩 层高3米3电梯房有老上海情怀,810万,南崇明路1号  | 2室2厅 | 124.02平米 | 东北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ce2ce8d6-92d7-45ed-a157-a0d66dff225b.jpg.296x216.jpg
20190504,虹口,四川北路,苏州河畔，地铁双轨，满五唯一，婚房装修，拎包入住,340万,河滨大楼  | 2室0厅 | 48.27平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-33490c31-163f-45a9-8c53-dcf72db5ed9a.png.296x216.jpg
20190504,虹口,四川北路,09年虹叶二期+婚房精装+有产权车位+满五唯一低成本,850万,虹叶花苑  | 2室2厅 | 91.26平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e7b25bba-4c5f-48e5-8967-949ad4d81995.jpg.296x216.jpg
20190504,虹口,四川北路,随时看+3/8号线双轨交汇+近公园近龙之梦+多8平储物间,650万,金机大厦(公寓)  | 2室1厅 | 113.6平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fea3cd5b-1594-4e3d-b908-c0e7e2350c1b.jpg.296x216.jpg
20190504,虹口,四川北路,精装修随时看+买进价格高，11月份满2年，满2年过户,950万,虹祺花苑(公寓)  | 3室2厅 | 151.22平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-963b9bee-b4ab-4ca5-ad8d-50ffb0b36aa5.png.296x216.jpg
20190504,虹口,四川北路,婚房装修，三轨交通，比邻人民医院，全明户型,530万,新亚公寓  | 2室1厅 | 77.92平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c2eabdd2-1477-4fcd-97cc-76b60b751b30.jpg.296x216.jpg
20190504,虹口,四川北路,房子满五年 户型全明，近公园，配套齐全 近地铁,1180万,凯润金城  | 4室2厅 | 163.9平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ff15acd6-7b70-4c34-9b1e-fd8662dd9424.jpg.296x216.jpg
20190504,虹口,四川北路,朝南一房+楼层好+视野佳+地段好+诚意出售,285万,东宝兴路254弄28支弄  | 1室1厅 | 40.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cdecdb3f-c40f-4c79-8371-05dc2a06dfd0.png.296x216.jpg
20190504,虹口,四川北路,满五唯一，税少，永.久产权，挂铜牌，精装，拎包入住房主自荐,439万,浦西小区  | 1室1厅 | 50.37平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-93776914-a6c0-426c-b1a5-815905a969dc.png.296x216.jpg
20190504,虹口,四川北路,金芙世纪公寓 3室2厅 1035万房主自荐,1035万,金芙世纪公寓  | 3室2厅 | 136.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-03b432d8-a3de-4318-9368-8c67a861de6f.png.296x216.jpg
20190504,虹口,四川北路,外滩99 1室2厅 595万,595万,外滩99  | 1室2厅 | 62.24平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e5807abb-c527-4f1c-b41b-a3eee113c53a.jpg.296x216.jpg
