20190504,黄浦,黄浦滨江,华润九里一期，与外滩壹号院并肩， 蜗居拍摄地景观房,1830万,上海滩花园  | 3室2厅 | 152.96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-df3ef232-bf91-4bf3-9d06-416cbc4dc2cc.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,带车位价格可谈，高区览黄浦江赏中庭花园，带中空水暖,1220万,金外滩花园  | 2室2厅 | 101.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-edf42b6d-26c6-4708-ba78-141e5330021b.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,绿地名人坊+精装2房113平+满五年唯一+小南门地铁口,1050万,绿地名人坊  | 2室1厅 | 113.4平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2dc2aafe-a965-4c91-91eb-c8cfab2cbb05.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,全南两房，精装修直接入住，采光视野无遮挡满五,950万,滨江名人苑  | 2室1厅 | 101.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a5a96f2d-7662-4be1-9e73-193871da595f.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,年底 诚意出售 华润三房面南，双阳台！精装修可入住,2450万,华润外滩九里  | 3室2厅 | 187.98平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-393b2498-463b-4ded-99bf-399a59d86562.png.296x216.jpg
20190504,黄浦,黄浦滨江,一梯一户花园洋房，一共12套.五年出一套,有B1大车位房主自荐,2680万,上海滩花园  | 4室3厅 | 213.24平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a5454734-d199-4807-9a2d-e02f6d3d70c8.jpeg.296x216.jpg
20190504,黄浦,黄浦滨江,滨江名人苑 3室2厅 1500万,1500万,滨江名人苑  | 3室2厅 | 155.29平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-87666d1e-74ba-455e-87a0-99421da43e21.png.296x216.jpg
20190504,黄浦,黄浦滨江,高区南北通3房 刷卡到户板式房 楼层高视野好,1450万,滨江名人苑  | 3室2厅 | 147.02平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-27390bb5-dda7-4e40-a1b5-9e402ade017c.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板式房，一线江景，高区，空置,1350万,滨江名人苑  | 3室2厅 | 147平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-605f39e3-7cd7-42be-b386-38df7f1f1e62.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,3开间朝南，满五唯一，价格可谈，置换诚售，不靠马路,925万,滨江名人苑  | 2室2厅 | 101.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-85ac7220-9aa2-4b66-9a96-f29a018a25f0.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,黄浦江畔，园林小区，闹中取静，全天采光，看房约我,2050万,浦江公馆  | 3室2厅 | 183.25平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f1253c05-9d02-4871-8616-beb4f4042783.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板块，高区全南2房，全明采光好，精装修，可谈价,685万,悦来小区  | 2室1厅 | 72.99平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7c4d5d33-9a5e-44d7-8dfd-0431c2a46e93.png.296x216.jpg
20190504,黄浦,黄浦滨江,新出笋盘！中高区三房 精装带地暖 一线江景 有车位,1300万,金外滩花园  | 3室2厅 | 136.37平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-78138951-0946-4bf4-bc9f-b8501beab76e.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,华润九里+经典南北三房+全屋地暖+前排无遮挡+随时可看,2100万,华润外滩九里  | 3室2厅 | 186.64平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5c14db47-877e-4e65-8d17-bb6fee382145.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板块，华润倾情打造，此房总价低，满二税少,930万,华润外滩九里  | 1室2厅 | 73.86平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-997be183-a0bf-4bf0-8796-fcee933b8469.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,业主移民国外，诚意出售，价格可谈、高区景观房,1000万,华润外滩九里  | 1室2厅 | 73.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0995e593-0666-4dec-b1c5-14a29aa19b07.jpeg.296x216.jpg
20190504,黄浦,黄浦滨江,带车位 高区东边套 法式大平层  百年外滩 一降再降,3550万,绿城黄浦湾  | 5室2厅 | 267平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-15cd9839-9f49-467d-98b3-a588c58e5870.png.296x216.jpg
20190504,黄浦,黄浦滨江,GDG葛乔治设计，传承外滩巴洛克建筑曼哈顿的大都会风,2440万,华润外滩九里  | 3室2厅 | 186.64平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1e91b2e0-9534-4c5f-a1d1-b928a6743153.png.296x216.jpg
20190504,黄浦,黄浦滨江,业主从未入住，相当于新房，南北通，满五年税费低。,3200万,华润外滩九里  | 4室2厅 | 270.94平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-90312e4f-71fe-46ea-a352-f4df831ac294.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩板块，黄浦江畔，与陆家嘴隔江相望临董家渡金融城,3700万,绿城黄浦湾  | 4室2厅 | 284.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1601ede3-b039-4eef-b3f7-eee9bef10300.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,绿城三期 高区南北通 低总价全新未入住 18年刚交房,3588万,绿城黄浦湾  | 4室2厅 | 235平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9fe33bb2-2832-40e9-a1a5-4a8571b2f1a3.png.296x216.jpg
20190504,黄浦,黄浦滨江,海琪园 4室2厅 2080万房主自荐新上,2080万,海琪园  | 4室2厅 | 192.87平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3445f795-0b13-44fe-b059-652e27e28360.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,黄浦滨江高区江景房，随时看房，三套房设计,3850万,华润外滩九里  | 5室2厅 | 319.41平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-19868adc-5385-44c3-bfc2-969d133efe7f.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩滨江板块，精品电梯小户型，地铁9号线300米,380万,悦来小区  | 1室1厅 | 46.61平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7546a8e7-3529-47ce-9b48-064a96963f26.png.296x216.jpg
20190504,黄浦,黄浦滨江,滨江标杆楼盘，金 牌物业，小区有空中花园，业主急售,1820万,海琪园  | 3室2厅 | 164.98平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ecf905e5-541e-4fec-bc55-cf08a52bfc6f.png.296x216.jpg
20190504,黄浦,黄浦滨江,小面积 户型正气、厅南北通、小段江景、未住过人,2000万,华润外滩九里  | 2室2厅 | 165.61平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9428c1d8-b716-4889-a693-f481b6975f88.png.296x216.jpg
20190504,黄浦,黄浦滨江,价格可谈 中区全南两房 精装修 业主出国急售 全天阳光,1300万,金外滩花园  | 2室2厅 | 134.17平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-17df8793-d58c-49cb-b161-72f585419630.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩华尔道夫设计全系法式陈文栋大师联诀定制塔尖人居新上,3500万,绿城黄浦湾  | 4室2厅 | 235平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-61ad1cc3-064d-4b1f-8a51-48a0a61cc0ca.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩华尔道夫设计全系法式陈文栋大师联诀定制塔尖人居新上,3800万,绿城黄浦湾  | 5室2厅 | 267平米 | 东 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-32b5ea00-b2f7-4790-9120-3b642902f772.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩滨江高区江景房、品质小区、南北通透、地铁9号线,1100万,滨江名人苑  | 2室2厅 | 115平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-106ebd34-f48d-4b1e-9426-83d8585d295b.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,昔日名人的逐鹿场，外滩原筑，新古典主义精奢大两房！,1850万,华润外滩九里  | 2室2厅 | 165.61平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-820c21d2-dd92-46c0-ba97-d67d67677dd2.png.296x216.jpg
20190504,黄浦,黄浦滨江,法式宫廷风格~未入住新房位置安静不吵`（税费各付价）房主自荐,3650万,绿城黄浦湾  | 5室2厅 | 267.21平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a7175cd1-7a48-4b32-9616-b201352acba9.png.296x216.jpg
20190504,黄浦,黄浦滨江,新出前排中区、满二税少、南北通采光好、诚意售房,1330万,滨江名人苑  | 3室2厅 | 147.02平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-78fdfbdd-3964-44b2-9d24-b7a589cd5719.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩刚需2房、总价低，满五税少，业主置换诚意售房,370万,悦来小区  | 2室1厅 | 43.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c1c1d62-880d-4af0-a834-9cc565d6819e.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,黄埔滨江次新小区+看房随时+诚意出售,3800万,华润外滩九里  | 5室2厅 | 313平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1ba50c71-7bad-4164-b325-8bc276310d70.png.296x216.jpg
20190504,黄浦,黄浦滨江,仿欧式宫廷风格，拱形外景窗，温馨两居室其乐一家人,1550万,华润外滩九里  | 2室2厅 | 108.84平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-56c73f4b-c769-4122-b3e8-c897cd3da80f.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,业主诚售+低于市场价500万+临江百米+华润标杆央企打造,3800万,华润外滩九里  | 4室2厅 | 307.53平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b85d4462-4e5e-4065-b821-9d9df530f00c.png.296x216.jpg
20190504,黄浦,黄浦滨江,南北通 厨卫全明 大一房 保养好 诚意出售 看房方便,1300万,华润外滩九里  | 1室2厅 | 90.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a2a86499-956d-41a7-99b5-eef55ac509d3.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,产权车位，落地大窗180度、无遮挡诚意售、付款好可谈,1780万,海琪园  | 3室2厅 | 168.75平米 | 东 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4f125e73-95f9-4a17-90b4-47a02f5890ae.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,满五唯一、坐览黄浦江赏中庭花园、五开间朝南采光好,1260万,金外滩花园  | 2室2厅 | 101.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b5fb176e-dcf2-4326-8942-22a013a3a17e.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩滨江住宅，业主诚意出售，地暖，拎包入住。,1450万,华润外滩九里  | 2室2厅 | 109.36平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2ebaa2a1-8334-4874-a49d-af00a194e493.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,低于市场50万！满五唯一 精装修全天阳光 带空中花园,1170万,金外滩花园  | 2室1厅 | 134.01平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0b1eb469-ae74-4325-acba-0e0b6ffcda2a.png.296x216.jpg
20190504,黄浦,黄浦滨江,外滩南北通透江景房，随时看房，业主置换急售,1380万,滨江名人苑  | 3室2厅 | 146.98平米 | 暂无数据 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-be35558a-3e82-45b7-9363-ed66b4cd6f21.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩九里，仿欧式风格，户型方正，三房朝南，带地暖,2550万,华润外滩九里  | 3室2厅 | 187.98平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3151393c-6c32-42f0-9d7a-b92f90bfd9cd.png.296x216.jpg
20190504,黄浦,黄浦滨江,一线江景 精装带地暖  景观位置 业主诚售 拎包入住,1300万,金外滩花园  | 2室2厅 | 136.54平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-60c0a623-8974-487a-92c6-6fd2ee505793.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩江景大宅+法式宫廷建筑+舒式大两房+满五年唯一,1948万,华润外滩九里  | 2室2厅 | 166.4平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-13bbafb7-c185-492a-9762-84cc169358d9.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,悦来小区 1室1厅 350万新上,350万,悦来小区  | 1室1厅 | 41.64平米 | 东北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b1a5fcbc-ea6a-4a12-9d5b-155b6f6f5018.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,集聚绿城24载修为大成之作/中国顶豪的一次华丽转身!!,6000万,绿城黄浦湾  | 3室2厅 | 323平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-61bd088b-ecb5-45dd-8ac8-2e7c5f74b82d.png.296x216.jpg
20190504,黄浦,黄浦滨江,楼下地铁，户型好，楼层佳，售后公房，免增值税,760万,通达大厦  | 2室2厅 | 89.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-050a98b6-cb92-47c5-8dbc-2e1ab05de407.png.296x216.jpg
20190504,黄浦,黄浦滨江,黄浦江畔 “无冕之巅”的新生豪门~绿城黄浦湾二期力作,3730万,绿城黄浦湾  | 5室2厅 | 267.2平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-28cc2c0a-bd75-487e-85a0-7bd1caf5d960.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,黄浦滨江丨品质小区丨人车分流丨私梯入户丨高区采光好,3790万,华润外滩九里  | 4室2厅 | 270.94平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9f4f2d72-5f19-4744-ab19-9be9cef3242d.png.296x216.jpg
20190504,黄浦,黄浦滨江,绿城品质、外滩为邻、景观大四房、位置安静、产权车位,3780万,绿城黄浦湾  | 4室2厅 | 284.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-71216f7f-bcf4-4962-a575-76375603a3ba.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,赏黄浦江览中庭花园，中区前排采光好，满五唯一税费少,1330万,金外滩花园  | 2室2厅 | 134.01平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-40f468ac-c90b-4fd1-ab5d-9ca9b1b6bac2.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,崛起中的黄浦滨江，未来可期 ，期待您的加入！,1588万,华润外滩九里  | 2室2厅 | 109.36平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-efe2e1fa-eda0-44c1-9d61-79a03d72715b.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,全装修两房、满五年、诚意出售、全明户型、看房随时,895万,申江新苑  | 2室1厅 | 91.59平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e4825c44-e07f-4dcd-beb4-60972e2ad504.png.296x216.jpg
