20190504,嘉定,嘉定老城,精装修+满五不唯一税少+有阁楼新上,199万,民乐路100弄  | 3室2厅 | 80.19平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3d48597a-e83e-4223-bef5-3db295e624b1.JPG.296x216.jpg
20190504,嘉定,嘉定老城,双南户型，采光充足，视野宽阔，房主诚意卖房置换。,169万,塔城路800弄  | 2室1厅 | 69.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9be33bc2-c650-4719-b698-dbc87bd38914.jpg.296x216.jpg
20190504,嘉定,嘉定老城,东大小区 看房方便 客厅南北通 南北通三房 楼层好,318万,东大小区  | 3室2厅 | 132.41平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadb66983d9-331b-40c3-bc1b-3f3e8490b344.JPG.296x216.jpg
20190504,嘉定,嘉定老城,清水颐园 2室2厅 278万,278万,清水颐园  | 2室2厅 | 89.53平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1a0a286f-88dd-4494-b029-71d72079cbd7.jpg.296x216.jpg
20190504,嘉定,嘉定老城,五一必看好房 精装修5年 保养的很好 你不来看看吗？,170万,三皇桥小区  | 3室0厅 | 68.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5762d645-c8f3-48ba-a7c1-2637acb8bf57.jpg.296x216.jpg
20190504,嘉定,嘉定老城,李园二村，双南两房，满五税少，诚意出售！看房方便！,152万,李园二村  | 2室1厅 | 56.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-dc995773-3c78-438a-b6c2-b80723a6af29.png.296x216.jpg
20190504,嘉定,嘉定老城,浦发香舍(公寓) 2室2厅 275万,275万,浦发香舍(公寓)  | 2室2厅 | 92.7平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9b3005c4-a4fe-4097-aaab-3d2c4eb0dfd3.jpg.296x216.jpg
20190504,嘉定,嘉定老城,店长推荐  满五唯一 位置好采光好 房东诚心看房方便,180万,南苑一村  | 2室1厅 | 79.23平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fb66d12f-b605-4ab7-addf-6e880b2583ec.jpg.296x216.jpg
20190504,嘉定,嘉定老城,五一必看好房  装修花了20万 2楼的南北房 快来看看吧新上,200万,南苑四村  | 2室1厅 | 70.42平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7cf38adc-a171-4e7f-a0a0-0c9e3c34917b.jpg.296x216.jpg
20190504,嘉定,嘉定老城,店长推荐，疁城，老城区新装修两房，两房朝南,158万,银杏小区  | 2室2厅 | 59.55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e705d0e4-b436-48e1-8c65-35f1dfbd5e60.png.296x216.jpg
20190504,嘉定,嘉定老城,此房满五唯一，楼层好，视野开阔，户型正气，,340万,清水颐园  | 2室2厅 | 107.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-646f086b-f774-410e-bb78-9150aff28215.png.296x216.jpg
20190504,嘉定,嘉定老城,南北通+户型方正+有钥匙+看房方便+诚意急售房主自荐,195万,城南新村  | 2室1厅 | 67.38平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8f5a9368-b720-415b-aeb2-9fe98061f83c.png.296x216.jpg
20190504,嘉定,嘉定老城,嘉定老城繁华地段三房，中间好楼层 ，诚意出售,260万,高昌路105弄  | 3室1厅 | 100.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fe51ded3-6de1-411a-8001-cd663cfbd3d0.png.296x216.jpg
20190504,嘉定,嘉定老城,嘉宝公寓 3室2厅 358万,358万,嘉宝公寓  | 3室2厅 | 133.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-37d384f0-4fa5-4dce-8693-99c31fa52ea1.png.296x216.jpg
20190504,嘉定,嘉定老城,房龄95年+首付43.75万+近嘉定北总价低+有钥匙随时看房主自荐,125万,北大街108弄  | 1室1厅 | 37.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-259b72a3-6645-4ac5-b988-4408f9d8eb53.png.296x216.jpg
20190504,嘉定,嘉定老城,清水颐园 3室2厅 360万房主自荐,360万,清水颐园  | 3室2厅 | 129.15平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-40f9742f-f8e8-4b29-8c6d-dff7fb55d8bb.jpg.296x216.jpg
20190504,嘉定,嘉定老城,清水颐园 2室2厅 285万,285万,清水颐园  | 2室2厅 | 87.85平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dea636f1-5409-45ed-93a8-87dee59575eb.jpg.296x216.jpg
20190504,嘉定,嘉定老城,叶城五街坊 双南户型 中间楼层 采光好 通风佳,260万,叶城五街坊  | 2室1厅 | 95.27平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d8d03d92-d8e4-4d38-a3ca-691d84d94812.png.296x216.jpg
20190504,嘉定,嘉定老城,比邻地铁的电梯房 景观楼层，采光通风俱佳 有钥匙,238万,桃园公寓(嘉定)  | 2室2厅 | 96.78平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d4eb8b0d-a271-4c5f-9644-c7c104061831.jpg.296x216.jpg
20190504,嘉定,嘉定老城,沿河而建，两南一北三房，风景优美，州桥老街旁,380万,中下塘街小区  | 3室2厅 | 128.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3ce2dffe-0249-4505-aeab-b1e6a6f41ffb.png.296x216.jpg
20190504,嘉定,嘉定老城,房子户型正气+不靠马路+平改坡的+采光好+通风好房主自荐,176万,城南新村  | 2室0厅 | 54.95平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b12a050a-7558-4aed-815e-25a15af7e412.png.296x216.jpg
20190504,嘉定,嘉定老城,桃园新村(嘉定) 1室1厅 132万,132万,桃园新村(嘉定)  | 1室1厅 | 43.02平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b85b7f24-0880-4a46-a374-01ebea92f4cf.png.296x216.jpg
20190504,嘉定,嘉定老城,南北通大三房 楼栋位置好  满五唯一  税费少,368万,清水颐园  | 3室2厅 | 113.26平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d8b3278d-e9ba-49cb-9928-9894890292d7.jpg.296x216.jpg
20190504,嘉定,嘉定老城,单价低+业主诚意卖+有钥匙+采光好+随时可看,297万,汇龙公寓东区  | 3室2厅 | 129.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6b6efe8-7e97-4ddb-b1f3-9b947b09166a.jpg.296x216.jpg
20190504,嘉定,嘉定老城,老城区低总价南向一居室，出租自住都适宜,99万,李园二村  | 1室1厅 | 33.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aa2fd20d-84f6-4bfd-8ee4-fe72acb60264.jpg.296x216.jpg
20190504,嘉定,嘉定老城,满五年唯一 可改三房 采光视野好 您的优选好房,210万,南苑三村  | 2室2厅 | 87.6平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-255f4281-0523-44a1-9c27-eb98d4e74da5.jpg.296x216.jpg
20190504,嘉定,嘉定老城,李园二村 1室1厅 126万,126万,李园二村  | 1室1厅 | 39.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-556aed9f-c3f1-4e5e-8ca7-45dbfa2b09d5.jpg.296x216.jpg
20190504,嘉定,嘉定老城,精装全南两居室+满五年+业主诚意卖+近出口+中间楼层,210万,城南新村  | 2室1厅 | 66.37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-607f6fa1-920b-49a5-a307-4a444d353457.png.296x216.jpg
20190504,嘉定,嘉定老城,精装南北两房 房龄新 总价低 地段好  税费少,249万,浦发香舍(公寓)  | 2室2厅 | 91.99平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a81c5021-4c2c-4881-b189-d8e1858f6ac1.png.296x216.jpg
20190504,嘉定,嘉定老城,清水颐园 3室2厅 410万,410万,清水颐园  | 3室2厅 | 238.7平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7f8e9776-b913-4b25-a9e7-eb93e937f80d.jpg.296x216.jpg
20190504,嘉定,嘉定老城,店长极力推荐 双南两房 户型方正  房间干净 采光好,136万,三皇桥小区  | 2室1厅 | 54.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-60894e97-7aab-4305-8c0d-51f476232e81.png.296x216.jpg
20190504,嘉定,嘉定老城,单价2.3万+全明精装+价格可谈+看房方便+交通便捷,220万,小囡桥小区  | 2室1厅 | 92.5平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-264aed58-e617-4560-9d7f-780151173f78.png.296x216.jpg
20190504,嘉定,嘉定老城,首付54万，两房朝南，高楼层采光好，非顶楼，钥匙房源,155万,李园二村  | 2室1厅 | 57.86平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-85669c59-a5d8-422d-b29b-1aef4ff6aff1.png.296x216.jpg
20190504,嘉定,嘉定老城,房型正气，已委托钥匙，随时看房，满五唯一,280万,丽景公寓  | 3室2厅 | 113.95平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4324c9df-b2f2-4107-944c-0693d4e19a80.jpg.296x216.jpg
20190504,嘉定,嘉定老城,城中小区，满五，离罗宾森50米，到嘉北站1000米,158万,城中路171弄  | 2室1厅 | 61.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7af15035-ea85-4869-a583-d959a3e71360.png.296x216.jpg
20190504,嘉定,嘉定老城,北大街115弄 2室1厅 170万,170万,北大街115弄  | 2室1厅 | 59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-eb5371ce-9192-42eb-9249-8da725bc5c62.png.296x216.jpg
20190504,嘉定,嘉定老城,南苑温馨小户型，可改小两房，满五年，可小刀！,159万,南苑九村  | 1室1厅 | 54.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b39e7419-1069-4b09-99ad-5bf1e75b02e1.png.296x216.jpg
20190504,嘉定,嘉定老城,此房满五唯一 南北户型 诚心出售 看房方便 配套成熟,240万,南苑一村  | 3室2厅 | 98.85平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-436c441d-2598-4e75-a123-e63ab88f9642.png.296x216.jpg
20190504,嘉定,嘉定老城,店长主推大三房，满二税少，总价低，户型正气,265万,李园二村  | 3室1厅 | 118.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c0a36c4-4628-4962-9152-0f54c7882f35.jpg.296x216.jpg
20190504,嘉定,嘉定老城,嘉丰佳苑 5室1厅 410万,410万,嘉丰佳苑  | 5室1厅 | 217.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2fd9298c-6fd0-4b73-adcd-b055ed123892.jpg.296x216.jpg
20190504,嘉定,嘉定老城,嘉丰佳苑 刚需住宅 看房方便 价格好谈 满五唯一,280万,嘉丰佳苑  | 2室2厅 | 104.33平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c767f988-b7c0-4306-a79d-cfc11f139417.jpg.296x216.jpg
20190504,嘉定,嘉定老城,北大街115弄 2室1厅 182万,182万,北大街115弄  | 2室1厅 | 64.41平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-57259c2d-1eca-4ce8-99fc-6b5c8b84478c.png.296x216.jpg
