20190504,闵行,古美,婚装、朝南是操场、阁楼有卧室、卫生间以及储物间,430万,东兰兴城(木兰苑)  | 2室2厅 | 117.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-77b565f6-9f14-44e3-9da2-30cb30df68cd.jpg.296x216.jpg
20190504,闵行,古美,满五年唯一，税费少，产权清晰，楼层好，出行方便房主自荐新上,279万,平阳新村四街坊  | 2室1厅 | 50.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6c8eac0e-1747-44f3-bfa4-f4ce5b98e17c.jpg.296x216.jpg
20190504,闵行,古美,03年次新房+空调加地暖+满五唯一+带阁楼露台,355万,九星苑  | 2室1厅 | 58.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1c23e47f-3275-4b99-9410-3ce867f08bf8.jpg.296x216.jpg
20190504,闵行,古美,双卧朝南，中间楼层，诚心卖，看房方便！,358万,平南一二村  | 2室1厅 | 61.43平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cf5c98fa-3a0d-4638-9d08-34c781c56436.png.296x216.jpg
20190504,闵行,古美,平南一二村 1室1厅 305万,305万,平南一二村  | 1室1厅 | 46.74平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload7d814c6d-e6ff-40cd-8b40-cd301f484014.jpg.296x216.jpg
20190504,闵行,古美,外环以内，近地铁1号线，南方商城，成熟板块！房主自荐,328万,新梅花苑  | 2室2厅 | 72.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91444740-4e17-417f-9106-c8220de8318a.jpg.296x216.jpg
20190504,闵行,古美,新时代花园 12号线顾戴路 大三房 位置好 楼层佳 价美房主自荐,708万,新时代花园  | 3室2厅 | 110.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-691ca710-c845-452c-adb6-cc48d31ab507.jpg.296x216.jpg
20190504,闵行,古美,交通便利，配套成熟，楼层好位置佳，诚意出售,435万,鸿发家园  | 2室2厅 | 89.58平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-06270896-0023-4de6-8579-88a3b233a949.jpg.296x216.jpg
20190504,闵行,古美,九号线地铁口，精装一房，全明户型，满五少税！,225万,海上新村  | 1室1厅 | 44.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f42b13b4-219b-4aa8-8eac-c333a03c4303.jpg.296x216.jpg
20190504,闵行,古美,满5年 全明双南 店长推荐 看房随时,355万,平吉二村  | 2室1厅 | 69.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-03c08ea2-bbb7-4206-93c7-e433ca3c41d5.jpg.296x216.jpg
20190504,闵行,古美,近12号线虹梅路，双南2房，小户型实用性强，总价实惠,230万,古美小区  | 2室0厅 | 47.31平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-548f922b-bca5-48d8-a925-7e8c92f07f13.jpg.296x216.jpg
20190504,闵行,古美,地铁1号线，双卧朝南大两房，中间楼层，简约装修。,390万,古美七村  | 2室1厅 | 72.76平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ef80eb40-48dd-4043-b73f-91128ec0d399.png.296x216.jpg
20190504,闵行,古美,徐汇大一房，房型正气，看房方便。,220万,古美小区  | 1室1厅 | 43.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-76424e64-a4d0-41fd-a260-e93c39b16348.jpg.296x216.jpg
20190504,闵行,古美,距1号线外环路站500米+电梯房+一梯两户房主自荐,499万,新梅公寓  | 2室2厅 | 108.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ccd75f4b-d677-4151-82c4-6faa1bdd98c9.png.296x216.jpg
20190504,闵行,古美,高区带产权车位自住精装修三房，诚意出售！,1068万,东苑古龙城(公寓)  | 3室2厅 | 146.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-972c32b8-a29a-4284-a4fc-17a8e2b1763e.png.296x216.jpg
20190504,闵行,古美,江南特色小区，标准两房，业主诚售！北面就是小区湖景房主自荐,560万,江南星城  | 2室2厅 | 90.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1047a7cb-319f-485f-b98f-1fe692ef3b18.jpg.296x216.jpg
20190504,闵行,古美,12号线虹梅路站 2006年次新房 一梯两户 南北通板式,825万,同济融创玫瑰公馆  | 3室2厅 | 116.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4f0ddc37-8bb3-4d64-8f3d-eb6bd362e0e1.jpg.296x216.jpg
20190504,闵行,古美,临河景观，视野开阔没有遮挡，飞机户型 正气，诚意卖,810万,阳光美景城  | 3室2厅 | 123.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-adbc1990-fd25-4aa2-9c3f-64b10dec9f1a.png.296x216.jpg
20190504,闵行,古美,总价低 税费少 有产权车位  入室花园,1350万,万源城朗郡  | 4室2厅 | 166.03平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1511f8c1-7a66-476c-8853-75917013ae11.jpg.296x216.jpg
20190504,闵行,古美,当中位置三房二卫+一楼带花园+产权清晰+看房有钥匙房主自荐,777万,江南星城  | 3室2厅 | 123.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-db3d841a-41ec-403b-936e-287cb780e4f1.jpg.296x216.jpg
20190504,闵行,古美,地铁口 小区新 近协和 带车位 楼层视野好 看房方便,735万,万源城尚郡  | 3室2厅 | 87.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5c3cb930-9c10-41a8-9c97-ba5ca0404e62.jpg.296x216.jpg
