20190504,闵行,金虹桥,名都城南北3房+保姆间+远离虹许路安静+高楼层看绿化,1050万,名都城(公寓)  | 3室2厅 | 167.03平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d3554c44-b963-4b7c-86ec-b428198dfe85.jpg.296x216.jpg
20190504,闵行,金虹桥,低总价双南两房，满五唯一。看房方便,273万,虹梅路2669弄  | 2室1厅 | 60.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161105/98aae6c5-5191-4ded-9b3d-e419983adeab.jpg.296x216.jpg
20190504,闵行,金虹桥,此房远离中环，一梯四户，总高9楼的小高层，南北通风,1050万,名都城(公寓)  | 4室2厅 | 154.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-254bed3b-c62f-41c7-ac9e-c788047b6316.jpg.296x216.jpg
20190504,闵行,金虹桥,虹梅路老外街高区景观+电梯三房+花园小区+闹中取静,635万,流晶逸彩  | 3室2厅 | 108.98平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d83562a4-5ebd-4812-96a2-4991d78cea15.jpg.296x216.jpg
20190504,闵行,金虹桥,双南户型，厨卫全明，自住精装，交通配套成熟，热推房主自荐,390万,虹鹿花苑  | 2室1厅 | 74.25平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-24b83865-eff7-477a-ae03-07d36cae7c58.jpg.296x216.jpg
20190504,闵行,金虹桥,东苑怡和园二期大三房，中间楼层，位置好，户型正气,810万,金虹桥东苑怡和园  | 3室2厅 | 133.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d647f40d-0b4f-4e16-9265-5efd28489ff3.jpg.296x216.jpg
20190504,闵行,金虹桥,古北商圈  高区电梯3房 西边套 视野无遮挡 带固定车位房主自荐,709万,虹桥明珠公寓  | 3室2厅 | 127.56平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-eb4e76db-a47e-49e6-a678-28e978116cda.jpg.296x216.jpg
20190504,闵行,金虹桥,南北通透正气四房+满五少税+高区看花园,1700万,名都古北  | 4室2厅 | 229平米 | 暂无数据 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-afe644e9-53e6-47ef-929d-379ceee1f771.png.296x216.jpg
20190504,闵行,金虹桥,精装，采光好，主卧一半改客厅，温馨舒适，拎包入住,450万,华光公寓  | 2室2厅 | 74.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-402ff7ff-7ee7-4f22-b3ef-b7bfcbb5eed8.png.296x216.jpg
20190504,闵行,金虹桥,小区中间位置，二期带花园，厅南北通，看房方便,700万,流晶逸彩  | 3室2厅 | 132.12平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-277c109c-0c43-4568-aeb8-9cbfb6007dac.png.296x216.jpg
