20190504,闵行,龙柏,龙柏七村 1室1厅 265万,265万,龙柏七村  | 1室1厅 | 46.89平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/ffd6be99-d2cf-4bf8-8ffd-42af5eb4391e.jpg.296x216.jpg
20190504,闵行,龙柏,2000年商品房 户型正气明亮  中间楼层 近地铁房主自荐新上,575万,龙柏七村公寓  | 2室2厅 | 122.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc2ae357-cb44-4562-bc62-1d592a015280.jpg.296x216.jpg
20190504,闵行,龙柏,对口【闵行区一级幼儿园】非顶楼【近地铁十号线】房主自荐,350万,龙柏六村  | 2室1厅 | 67.12平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-64a26e6b-e9bc-4ac0-959c-9cb08b3fcde9.jpg.296x216.jpg
20190504,闵行,龙柏,龙柏二村 2室1厅 270万,270万,龙柏二村  | 2室1厅 | 52.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1bd9406f-8914-46ce-8df3-b1d59083bd49.jpg.296x216.jpg
20190504,闵行,龙柏,居家小户型，近地铁，交通方便，配套齐全，采光无遮挡房主自荐,263万,龙柏三村  | 1室1厅 | 48.8平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d3f9b222-0514-42ff-9768-aa3772909312.jpg.296x216.jpg
20190504,闵行,龙柏,进口材料精装修成本70万可拎包入住，中祥经典三房户型,1080万,中祥龙柏苑  | 3室2厅 | 140.1平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-72963ea5-00ef-441d-b45b-f2dfcbeee622.png.296x216.jpg
20190504,闵行,龙柏,高层，通风、采光、视觉效果佳，双南、安静、无蚊虫！房主自荐,420万,龙柏易居公寓  | 2室1厅 | 74.39平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-34a00b92-b3eb-468f-b772-5fa1426f41eb.png.296x216.jpg
20190504,闵行,龙柏,中间楼层，南北通透，满五唯一税费少，一梯两户房主自荐,275万,龙柏二村  | 2室1厅 | 52.41平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a39fe301-c192-48b1-8911-c31a4b581003.jpg.296x216.jpg
20190504,闵行,龙柏,满五三分之一不唯一，随时可看，高楼层采光好视野佳,375万,龙柏七村  | 2室1厅 | 74.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7de627ca-9834-4db9-873e-78b46a54e9e9.png.296x216.jpg
20190504,闵行,龙柏,精装修，一梯两户，南北通1房，全明户型，满5年唯一,245万,龙柏四村三小区  | 1室1厅 | 48.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6c76e65c-f41b-4f28-8994-de4f3baffe28.png.296x216.jpg
20190504,闵行,龙柏,业主诚意出售，看房方便，采光无遮挡房主自荐,550万,佳信花苑  | 3室2厅 | 103.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-29eda61f-d379-46a2-9e71-6146a9082602.jpg.296x216.jpg
20190504,闵行,龙柏,龙柏少有地铁商品房 双卧朝南 客厅25平 2楼 全明户型房主自荐,450万,青杉路318弄  | 2室2厅 | 82.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-05dd7c75-91e6-44ea-ba53-591345082d42.jpg.296x216.jpg
20190504,闵行,龙柏,电梯次新房，满五唯一，婚房装修，随时看房，品质小区房主自荐,590万,嘉富丽苑  | 2室2厅 | 91.06平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cf0ac84d-a7f1-41d2-9ba8-4c4c5b9e8676.jpg.296x216.jpg
20190504,闵行,龙柏,售后公房无增值税，诚意出售，楼层佳，户型棒房主自荐,368万,龙柏六村  | 2室1厅 | 66.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d1081038-9599-43b4-a4f0-003dbf25ff7b.jpg.296x216.jpg
20190504,闵行,龙柏,商品房+一梯两户三房+房型正气+满五年唯一 全明户型,510万,龙柏七村  | 3室2厅 | 99.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e47d6a46-eff8-4334-a429-f8487bba437c.jpg.296x216.jpg
20190504,闵行,龙柏,龙柏西郊公寓 大两房 户型正气 诚意出售 价格可谈,500万,龙柏西郊公寓  | 2室2厅 | 95.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b266188d-14e1-4b6b-9eaa-fc5dab13a1a5.png.296x216.jpg
20190504,闵行,龙柏,次顶楼采光好 小区最南边一排视野广 满五年售后公房房主自荐,330万,龙柏四村三小区  | 2室1厅 | 64.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6be506b6-5d56-4d45-be1d-911e68baccee.png.296x216.jpg
20190504,闵行,龙柏,龙柏四村两房中间楼层  采光无遮挡 有龙柏新村地铁,368万,龙柏四村  | 2室1厅 | 67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-caa88ca7-b3df-41c1-8c0b-3f7ad71f6417.jpg.296x216.jpg
20190504,闵行,龙柏,地铁口，南北两房，中间楼层，两年30万婚装，满二唯一房主自荐,399万,龙柏五村  | 2室1厅 | 67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5bb8b495-cfc5-4827-bc70-737479450cd7.jpg.296x216.jpg
20190504,闵行,龙柏,精装双南两房  拎包入住  近地铁 业主诚售,330万,龙柏七村  | 2室1厅 | 62.58平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d84e39f4-ce9f-41c0-9d09-864cd984edb7.jpg.296x216.jpg
