20190504,闵行,浦江,原始动迁，税费少，小区中间位置，沿河景观小户型。,165万,汇秀景苑一街坊  | 1室1厅 | 55.9平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload67548188-fd49-4270-8ddb-f4048171055b.JPG.296x216.jpg
20190504,闵行,浦江,虹浦新城南区 2室2厅 258万,258万,虹浦新城南区  | 2室2厅 | 75.19平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7fe84315-9230-4944-8356-ea960b1e4b5b.jpg.296x216.jpg
20190504,闵行,浦江,业主置换新房已买好，诚心出售本房，小区中间位置。,215万,金硕河畔景园东区  | 2室2厅 | 71.85平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1817e6a6-91b3-4d52-8112-ec6357c587e2.jpg.296x216.jpg
20190504,闵行,浦江,汇颂南苑 2室1厅 238万,238万,汇颂南苑  | 2室1厅 | 70.68平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-37dce274-6731-4ee8-9868-dd1ea5c73fbf.jpg.296x216.jpg
20190504,闵行,浦江,浦江世博家园十四街坊 3室2厅 518万,518万,浦江世博家园十四街坊  | 3室2厅 | 123.06平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-89e0841c-1aa4-42b2-887d-420d414a322d.jpg.296x216.jpg
20190504,闵行,浦江,诚心出售+双南两房+人车分流+环境优美,560万,一品漫城(三期)  | 2室2厅 | 94.8平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a3a4cd3b-92a0-4d46-ab5a-99748212a3dd.jpg.296x216.jpg
20190504,闵行,浦江,南北通，税费少，靠地铁，交通便利，配套成熟,265万,浦江馨都  | 2室1厅 | 74.99平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f94629a2-c2ce-42a4-aa25-429c17c771b4.jpg.296x216.jpg
20190504,闵行,浦江,浦江丽都原始动迁房，免增值税，南北通格局，生活方便,239万,浦江丽都  | 2室2厅 | 74.26平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f0719ded-03e2-45fd-a60d-0c548b93e91d.png.296x216.jpg
20190504,闵行,浦江,一品漫城精装2房业主急售！三面采光,535万,一品漫城(三期)  | 2室2厅 | 93.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ba082f56-6543-40bb-a026-ddcd8a3e9731.jpg.296x216.jpg
20190504,闵行,浦江,八街坊简装两房，诚意出售，价格可谈，总价低，税少,325万,浦江世博家园八街坊  | 2室1厅 | 76.59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-81d1d2a3-7191-4b9e-832d-1c01fa70141c.png.296x216.jpg
20190504,闵行,浦江,聚缘中庭 73.41平南北小两房 电梯11楼,208万,聚缘中庭  | 2室2厅 | 73.41平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1a8d206b-746c-412f-bd58-0516ec214e81.png.296x216.jpg
20190504,闵行,浦江,房子南北格局，中间楼层采光充足视野开阔，交通便捷房主自荐,315万,景江苑A区  | 2室2厅 | 90.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-86560a63-7ef0-4798-a217-e87cc2aab8be.jpg.296x216.jpg
20190504,闵行,浦江,浦江世博家园十五街坊 2室2厅 355万,355万,浦江世博家园十五街坊  | 2室2厅 | 79.66平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ca15e962-8dda-4a1b-a92b-8116c281b1cc.jpg.296x216.jpg
20190504,闵行,浦江,聚缘南庭 2室2厅 215万,215万,聚缘南庭  | 2室2厅 | 74.95平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-428f35f4-c279-4c86-91b8-e9bdc26786b4.jpg.296x216.jpg
