20190504,闵行,吴泾,双卧朝南  户型正气  楼层好,220.5万,通海一小区  | 2室1厅 | 64.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2eec78e0-9a6a-42ab-a21a-6bdb5d678265.jpg.296x216.jpg
20190504,闵行,吴泾,新华小区两房朝南，采光好 房东诚心出售，看房方便,235万,龙吴路5599弄  | 2室1厅 | 81.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f6e9231f-2810-4ad0-b614-5bfe0f2f0a4a.jpg.296x216.jpg
20190504,闵行,吴泾,万科精装一房，楼层佳，采光好，业主诚心出售房主自荐,268万,万科阳光苑  | 1室2厅 | 65.07平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-274cfa07-c18d-4660-a89a-4462165ce0f7.png.296x216.jpg
20190504,闵行,吴泾,虹梅新苑精装电梯两房+中间楼层+一手动迁+南北通透,345万,虹梅新苑  | 2室2厅 | 93.1平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a3fd3e24-0833-41ff-b354-de71cf29def0.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅景苑一街坊 精装一改二两房 高楼层 诚意出售,274.8万,虹梅景苑一街坊  | 2室1厅 | 68.07平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2fa8c7ca-07e9-4a75-b373-f9049821ce85.jpg.296x216.jpg
20190504,闵行,吴泾,次新小区 小户型朝南 阳光充足 交通方便 居住舒适房主自荐,220万,虹梅新苑  | 1室1厅 | 55.55平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0b05c897-4152-4deb-a8ee-831da6640d3b.jpg.296x216.jpg
20190504,闵行,吴泾,已改好三房 精装修 中yang空调带地暖 带产权车位房主自荐,385万,嘉怡水岸(公寓)  | 3室2厅 | 93.13平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2eff1b67-8153-427e-aa60-81191598d48d.jpg.296x216.jpg
20190504,闵行,吴泾,双柏小区两房一厅，双南户型，全明自住装修，诚心出售,175万,双柏小区  | 2室1厅 | 57.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c539ccd0-8e9d-4bf7-b1c8-1178d862261e.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅景苑四街坊户型方正，楼层佳位置好房主自荐,270万,虹梅景苑四街坊  | 1室2厅 | 68.71平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4a90bfd2-6433-4ea9-a795-cd4fcaea7dd6.jpg.296x216.jpg
20190504,闵行,吴泾,精装修自住，满五年唯一，看房方便,195万,永德小区  | 2室1厅 | 59.43平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7edb157e-5d16-4727-b2af-7e96751d7495.jpg.296x216.jpg
20190504,闵行,吴泾,氯碱小区两房一厅，南北户型，自住装修房主自荐,190万,氯碱小区  | 2室1厅 | 68.59平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3c7e2240-bc4e-4003-ad57-548884f380dd.jpg.296x216.jpg
20190504,闵行,吴泾,楼层佳 中间四楼 双南户型 满五唯一 诚心出售！房主自荐,225万,通海一小区  | 2室1厅 | 64.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-82313391-9872-492f-ab55-ca3f50535576.png.296x216.jpg
20190504,闵行,吴泾,品质小区 一楼带花园   精装两房房主自荐,310万,万科阳光苑  | 2室2厅 | 79.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-55d7439e-69b7-4ac1-86f6-f274bc2df53d.png.296x216.jpg
20190504,闵行,吴泾,吴泾  新华小区 精装修 双南户型 大两房新上,235万,龙吴路5599弄  | 2室1厅 | 81.28平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71ca8766-ddaa-433a-bbd8-e6bb7c46e308.jpg.296x216.jpg
20190504,闵行,吴泾,双南两房，满五年唯一，高楼层采光好，视野开阔,252万,通海二小区  | 2室1厅 | 77.77平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d8d23cfd-da8c-4dbb-8baf-27cac01857ba.jpg.296x216.jpg
