20190504,浦东,川沙,两房朝南 厅采光明亮 中等装修  位置好 楼层佳,215万,南桥小区  | 2室1厅 | 64.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecf3016d-2510-4b6d-9cbf-627bd8ea087b.jpg.296x216.jpg
20190504,浦东,川沙,07年次新房 经典板式三房 低总价 一手动迁 满五唯一,410万,舒馨北苑  | 3室2厅 | 100.46平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3e525434-f381-41df-9350-441d052e4feb.jpg.296x216.jpg
20190504,浦东,川沙,一手动迁+阳光充足+带阁楼+纯毛坯没住过人+有钥匙诚售,335万,心圆东苑  | 2室2厅 | 73.92平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-95a62b1d-d943-4580-b9c3-e0550e8505dd.png.296x216.jpg
20190504,浦东,川沙,鸿基公寓 2室2厅 258万,258万,鸿基公寓  | 2室2厅 | 77.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-792ee3c8-504e-455c-b665-9a66821c4869.jpg.296x216.jpg
20190504,浦东,川沙,瀚龙苑06年商品房 交通便捷  房型正气,300万,瀚龙苑  | 2室2厅 | 76.3平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a94137a8-268d-4011-bcbf-e887be69e24f.jpg.296x216.jpg
20190504,浦东,川沙,万馨佳园 原一房 精装5楼 诚心出售 看房方便,245万,万馨佳园  | 1室1厅 | 54.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-530be6d8-1e38-403a-b03a-f6067d8c3f23.jpg.296x216.jpg
20190504,浦东,川沙,2004年商品房 两房朝南 居住环境安静 近川沙站,340万,界龙阳光苑  | 2室2厅 | 89.22平米 | 东南 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e8ca9a74-78a7-44d8-be67-75375680f10a.jpg.296x216.jpg
20190504,浦东,川沙,满五唯一 刚需低总价 两房朝南带阳台 客厅大位置好新上,250万,园西小区  | 2室1厅 | 64.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b756cacb-cf9d-4b0b-9bb0-4154a2380f9f.jpg.296x216.jpg
20190504,浦东,川沙,1楼带大天井，3房2厅2卫的房型，户型正气，诚心出售！房主自荐,280万,龙馨华庭  | 3室2厅 | 118.8平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9587fcd8-15d2-477b-921a-08df8ecc32c1.jpg.296x216.jpg
20190504,浦东,川沙,此房满五唯一，华夏地铁口的房子，精装修看房方便！,235万,青厦小区  | 2室1厅 | 64.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-19ee8f01-a1ec-4181-a580-d9a7621d7c2c.jpg.296x216.jpg
20190504,浦东,川沙,精装刚需两房，中间楼层，满2年无增值税；交通便利,235万,绿海家园  | 2室1厅 | 64.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170505/76b523da-4b30-4708-bfd6-4ca7d326d1cc.jpg.296x216.jpg
20190504,浦东,川沙,满2年，房东急售，实用三房，精致装修，拎包入住房主自荐,499万,阳光城愉景湾  | 3室2厅 | 97平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e6e45b26-123a-415d-bac9-92841c5edea3.jpg.296x216.jpg
20190504,浦东,川沙,交通便利 户型方正 视野开阔 满五唯一 税费少,218万,新川小区  | 2室1厅 | 65.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dc25ad99-bfa9-470e-982c-4bdc42fc3f58.jpg.296x216.jpg
20190504,浦东,川沙,川沙新镇菜场边，97商品房，83平大2房，随时可以看,275万,妙境公寓  | 2室1厅 | 83.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-184ea3f0-59c0-4215-9ecf-d1b6f52d1733.jpg.296x216.jpg
20190504,浦东,川沙,小区位置好  两房朝南 客厅朝南带阳台 附带35平,380万,见龙苑  | 3室2厅 | 102.61平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b1ef515f-0ce6-4241-a321-a79f9fb9a4d0.jpg.296x216.jpg
20190504,浦东,川沙,妙境一村 3室2厅 345万,345万,妙境一村  | 3室2厅 | 93.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b33c8cea-7995-4797-97c5-0fa71e56b0b1.jpg.296x216.jpg
