20190504,浦东,高东,景观11楼，精装修，房东诚心出售,318万,高行绿洲(四期)  | 2室1厅 | 74.74平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e6d85a5c-9641-4e7c-860c-2099e13d2cdd.jpg.296x216.jpg
20190504,浦东,高东,森兰旁 品质小区，电梯好楼层，随时看房,328万,高东馨苑  | 2室2厅 | 90.92平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-46635993-e71c-4d13-bc6d-737dc18e388c.jpg.296x216.jpg
20190504,浦东,高东,2011年次新房小两房，一手动迁，采光好,306万,高行绿洲(五期)  | 2室1厅 | 74平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b0fbfca3-7ab8-4c21-9819-5e0b14180173.jpg.296x216.jpg
20190504,浦东,高东,07年南北2房，樱花园前，广场位置中区3楼，公交线多,290万,高东馨苑  | 2室1厅 | 78.63平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-144aea09-76e0-4e60-b6b2-73d17542e4eb.jpg.296x216.jpg
20190504,浦东,高东,新小区，精装修，满五唯一，拎包入住,205万,杨园一村  | 1室1厅 | 54.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-699c44bd-4630-4ab5-bf7c-079a40cfa684.png.296x216.jpg
20190504,浦东,高东,五期，毛坯房，一手动迁，产权1个人，业主诚心出售,235万,高行绿洲(五期)  | 2室1厅 | 66.88平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6d030b7d-969a-4d12-8470-d76e959bc747.jpg.296x216.jpg
20190504,浦东,高东,原始3房居家精装，采光层，门口1031接驳6号洲海路站,280万,杨园一村  | 3室2厅 | 91.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b61b45ac-7967-4f7e-8f08-158a3981b438.jpg.296x216.jpg
20190504,浦东,高东,新上一房，中间楼层，中间位置，一手动迁，随时看房。新上,215万,高行绿洲(四期)  | 1室1厅 | 54.11平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2e968157-e025-47b5-a6e8-a6faac971d71.jpg.296x216.jpg
20190504,浦东,高东,交通方便设备齐全得房率高实际面积大。。，，，，，,275万,杨园二村  | 2室2厅 | 92.86平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4b84b6a6-0464-48e6-89ef-d3bfd3d69b83.png.296x216.jpg
20190504,浦东,高东,绿洲五期：中等装修，位置好，业主诚意出售，看房随时,306万,高行绿洲(五期)  | 2室2厅 | 80.08平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-79a7a57e-033a-4fb0-b572-34da878c875d.png.296x216.jpg
