20190504,浦东,金杨,6号线距离200米双南全明通透户型+精装修税费低随时看,318万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ba53f21-b7ee-46a2-b12f-fcfce2e45db0.jpg.296x216.jpg
20190504,浦东,金杨,房子精装修，拎包入住，满五年唯一的。老客户的房子,265万,金杨新村十街坊  | 2室1厅 | 57.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f0ba6bbb-6744-4659-966f-c0e9bdcfff0e.jpg.296x216.jpg
20190504,浦东,金杨,南北通透 花园位置 近地铁9号线和6号线 业主诚意出售,258万,金杨新村五街坊  | 2室1厅 | 57.11平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7191449f-d32c-471d-9d3d-2e991dccea9c.png.296x216.jpg
20190504,浦东,金杨,《精装修!!+边套全明户型可改小两室》不靠路，非顶楼,234万,罗山三村  | 1室1厅 | 45.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b866133a-ce00-48d1-ae3d-5b33d465aebd.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 1室1厅 228万新上,228万,金杨新村五街坊  | 1室1厅 | 48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc4034611-994b-4fd7-a710-d4238e1ddea1.jpg.296x216.jpg
20190504,浦东,金杨,金杨二街坊 1室1厅 325万,325万,金杨二街坊  | 1室1厅 | 57.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/229edeaa-348c-45dc-a53f-8a15fef9e987.jpg.296x216.jpg
20190504,浦东,金杨,电梯板房，户型好，采光好。精装修。总价低房主自荐,600万,上房金丰苑  | 2室2厅 | 97.94平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f15c8165-80e5-43ff-8bae-ba5f06740545.jpg.296x216.jpg
20190504,浦东,金杨,非顶楼+边套全明，满年五唯一，买进价高，税费少房主自荐,616万,黄山新村  | 3室1厅 | 96.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8cc70fb-c535-4414-9593-7a81a44a7517.jpg.296x216.jpg
20190504,浦东,金杨,好房  满五年 双南全明 钥匙房 诚意出售,375万,金杨六街坊  | 2室1厅 | 63.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2521df8f-1e04-425c-9a76-1596ae2e4702.jpg.296x216.jpg
20190504,浦东,金杨,银山小区 1室1厅 265万,265万,银山小区  | 1室1厅 | 50.29平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0e794cbe-d614-41ee-9edb-3e53f50c562a.jpg.296x216.jpg
20190504,浦东,金杨,次顶楼，全明户型，采光通风好，配套齐全，近地铁,297万,罗山六村  | 2室1厅 | 59.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-886526a7-276d-4b9d-afcd-3c2bd660135a.jpg.296x216.jpg
20190504,浦东,金杨,九号线旁，可改两房，总价低，一手动迁，随时看房！！,228万,金台三居  | 1室1厅 | 54.12平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9ac0a939-2961-4797-8f57-be6bcff58448.png.296x216.jpg
20190504,浦东,金杨,金杨三街坊6号线沿线一梯两户2楼/6楼房东置换诚售,235万,金杨新村三街坊  | 1室1厅 | 42.71平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171211/97a35077-d1e7-4748-a5d2-a4c220cdbcef.jpg.296x216.jpg
20190504,浦东,金杨,此房满五唯一 小区中间位置 精装修LOFT结构,200万,香山新村东南街坊  | 1室1厅 | 39.65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9bffe51-1fb3-4b17-aca4-5e17b17c652a.jpeg.296x216.jpg
20190504,浦东,金杨,热门推介，精装二楼，位置佳，无遮挡，南北户型未占用房主自荐,660万,始信北苑  | 2室2厅 | 79平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b3f85846-3a41-4194-981b-187b0bea3573.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一！小三房带大花园，采光无遮挡，随时可看,838万,上海未来  | 3室2厅 | 99.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0e9ff630-4db0-456d-9d2a-36ad163a71c7.jpeg.296x216.jpg
20190504,浦东,金杨,香山新村 南北小两房 小区位置好 总价低 诚心出售,256万,香山新村东南街坊  | 2室1厅 | 51.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7e20e73b-7336-4587-a3f6-99ed342e1cb4.jpeg.296x216.jpg
20190504,浦东,金杨,中间楼层，小区央座，双轨交通{6+14}，出门公交,245万,罗山三村  | 2室1厅 | 46.58平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-93997ae1-178c-4a47-98ff-48eece7ab525.jpeg.296x216.jpg
20190504,浦东,金杨,链家网推荐好房！有钥匙！看房请点击咨询本房源维护人,575万,黄山始信苑  | 2室1厅 | 70.53平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4856366a-b82a-4dae-8c03-eb76abd50b96.jpg.296x216.jpg
20190504,浦东,金杨,前后无遮挡+采光好+满五不唯一+款清交房,850万,上海未来  | 2室2厅 | 99.55平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-992363ec-a4c3-4de9-a96c-089873d75216.jpg.296x216.jpg
20190504,浦东,金杨,一梯两户，全明双南大两房，非顶楼，小区位置好,318万,香山新村东北街坊  | 2室1厅 | 63.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e2f8cdd6-53c8-4280-97f9-067a26ade347.jpg.296x216.jpg
20190504,浦东,金杨,房子没有增值税，楼层3楼，位置花园，出行方便,350万,金杨七街坊  | 2室1厅 | 69.02平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1055508f-a145-4895-be1e-4932c8456096.png.296x216.jpg
20190504,浦东,金杨,户型方正，满五唯一，税费少，采光充足，诚意出售房主自荐,535万,黄山新村  | 2室1厅 | 75.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-926ee37d-8666-4965-8970-630dabbc161d.jpg.296x216.jpg
20190504,浦东,金杨,税费各付+产权清晰+拎包入住+致远,350万,金杨新村四街坊  | 2室1厅 | 58.14平米 | 东 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a3b18576-b82b-4e4c-a93a-72c865413e3c.jpg.296x216.jpg
20190504,浦东,金杨,中间楼层++边套全明+采光充足+交通便利房主自荐,315万,罗山三村  | 2室1厅 | 60.97平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171028/795c2bf1-61ee-416d-8ae5-0c48034c6791.jpg.296x216.jpg
20190504,浦东,金杨,正气三房 位置安静 全明户型 满五唯一 看房方便 诚售,1100万,东方知音苑  | 3室2厅 | 130.15平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8ae81e76-05db-4c36-a1be-1d1c1e1c1035.jpg.296x216.jpg
20190504,浦东,金杨,小区正中位置 地下室 满五唯一 有钥匙看房方便,1600万,金桥瑞仕花园  | 3室3厅 | 292.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-55e117fa-547f-484a-888e-6c050a5d80ed.jpeg.296x216.jpg
20190504,浦东,金杨,罗山三村五楼三房 采光好 精装 税少 地铁近 成熟小区,500万,罗山三村  | 3室1厅 | 85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-822542fd-667b-4331-a53a-7463c1caf4ea.jpeg.296x216.jpg
20190504,浦东,金杨,顶楼复式房 带露台 满五年 14号线6号线交界,680万,广洋苑  | 2室2厅 | 99.14平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-47340f96-b255-44c9-ac7a-4b3c493120b2.jpeg.296x216.jpg
20190504,浦东,金杨,捡漏房源+双轨地铁+一梯两户+价格可谈+双南两房,345万,香山新村东北街坊  | 2室1厅 | 68.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-93a121b2-9731-40e3-ba68-13c9d4db8a07.png.296x216.jpg
20190504,浦东,金杨,商品户型，南北通透，拎包入住，地铁商场咫尺之遥房主自荐,375万,金杨新村十街坊  | 2室2厅 | 70.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-90e52af6-cf4e-494b-88f6-9dfbcb15815a.png.296x216.jpg
20190504,浦东,金杨,上叠别墅 仅此一套 诚意出售 看房方便 附套间阁楼,2700万,金桥瑞仕花园  | 4室3厅 | 317.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-afd37236-86e2-484f-ad8d-3f06ba2ffbbd.jpg.296x216.jpg
20190504,浦东,金杨,上海未来 3室2厅 1220万,1220万,上海未来  | 3室2厅 | 134平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9227ef46-f95f-4b0e-997c-4af6a6a84aab.jpg.296x216.jpg
20190504,浦东,金杨,一梯两户，双南全明，小区位置安静，采光通风佳,370万,香山新村西南街坊  | 2室1厅 | 69.65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-11d33fc0-2264-4d2e-a965-08ca742e6cf4.png.296x216.jpg
20190504,浦东,金杨,大三房 业主诚意出售 空关有钥匙 看房随时就等你,800万,弘扬公寓  | 3室2厅 | 126.03平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e4544f34-07f7-4aeb-ba11-3486d9ee57aa.jpg.296x216.jpg
20190504,浦东,金杨,商品房，满五年唯一，南北大2房，诚心出售。,408万,大桥花苑  | 2室2厅 | 86.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c3648d44-e5f6-4adb-b778-1f5179db9cb4.jpeg.296x216.jpg
20190504,浦东,金杨,高区 2房2厅2卫 122平边套带转角飘窗，视野好景观好,1200万,金桥瑞仕花园  | 2室2厅 | 124.92平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-051ba9a8-ffce-4857-8ede-acde14a131e9.jpeg.296x216.jpg
20190504,浦东,金杨,金杨版块，香山新村西南街坊两房，一梯两户，满五唯一,335万,香山新村西南街坊  | 2室1厅 | 62.05平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2414f791-b6fe-44e8-8357-2e6a024e14a6.png.296x216.jpg
20190504,浦东,金杨,园林式小区 正气户型 两南一北 南北通透 满五唯一房主自荐,730万,昕泰苑  | 3室2厅 | 135.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d2593e2d-32a4-4ba6-b128-cf6a76fe6aff.png.296x216.jpg
20190504,浦东,金杨,模范小区+装修好+全明户型+近地铁，一楼天井已搭,340万,金杨二街坊  | 2室1厅 | 58.86平米 | 南 西南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3643c659-dd94-4415-8e91-4d9d426ce8e1.png.296x216.jpg
20190504,浦东,金杨,广洋苑 复式房 带露台 满五年 中间位置 标准三房,790万,广洋苑  | 3室1厅 | 100.55平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-100a6e0f-f0bc-4371-9244-ae790d781a1a.jpeg.296x216.jpg
20190504,浦东,金杨,陆家嘴新景园，顶楼复式，满五年，产权清晰，看房方便,880万,陆家嘴新景园  | 3室2厅 | 143.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5f71838f-caf7-4c6a-b247-71c02e4014dd.jpeg.296x216.jpg
20190504,浦东,金杨,挑高4.5米大客厅 安静位置 满五年唯一 50平米大花园,1095万,弘扬雅苑  | 3室2厅 | 139.23平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-800916bf-a5c2-47fe-9f38-94ff5e076dc4.png.296x216.jpg
20190504,浦东,金杨,南北全明，户型方正，利用率高，双天井，诚心出售！,650万,黄山始信苑  | 2室2厅 | 82.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9cbd0781-7989-4cae-aeb7-c17b2eab34bb.jpg.296x216.jpg
20190504,浦东,金杨,《内环边电梯房三房，南北全明无遮挡，通风效果好》,420万,香山新村东南街坊  | 3室1厅 | 95.68平米 | 东南 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fab1159c-7ae5-4d02-8096-ca9ee3b166fd.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊，双南户型，采光充足，车位改造，满屋唯一,305万,金杨七街坊  | 2室1厅 | 58.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-72769525-9a19-4eca-8bf4-dc5159ab67d2.png.296x216.jpg
20190504,浦东,金杨,急售，产权清晰，无户口，无抵押，无贷款，看房随时，,235万,大桥花苑  | 1室1厅 | 44.7平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9d7c8877-4cd7-4bcd-896f-bf19a639e415.png.296x216.jpg
20190504,浦东,金杨,五楼非顶楼，满五唯一，小区央座，诚意出售，采光好,270万,金杨新村十街坊  | 2室1厅 | 55.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3da0978c-5589-4f24-91bb-903326e6de34.jpg.296x216.jpg
20190504,浦东,金杨,獨家委托三楼，小区中间位置！南北通风！有钥匙随时看房主自荐,570万,黄山始信苑  | 2室1厅 | 68.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6f431b79-ad80-4eae-bbd1-46aa99c9afb1.png.296x216.jpg
20190504,浦东,金杨,香山新村西北街坊 2室2厅 650万,650万,香山新村西北街坊  | 2室2厅 | 96.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9c66c0f8-1c26-4b0b-a17f-e2be9245fc9f.jpeg.296x216.jpg
