20190504,浦东,陆家嘴,电梯房高区全南全明户型，一手售后公房，满五年唯一,568万,东园一村  | 2室1厅 | 69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa0019ca-33fc-4826-b4ac-be096a43474c.jpg.296x216.jpg
20190504,浦东,陆家嘴,东昌新村 1室1厅 323万,323万,东昌新村  | 1室1厅 | 39.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9ca5b94-c7cb-4437-b866-775aef9b2c43.jpg.296x216.jpg
20190504,浦东,陆家嘴,有钥匙，0个税，南北通，户型方正，业主急售,1150万,江临天下  | 3室2厅 | 129.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f4378ba9-89ff-45ca-92fb-03521887de18.png.296x216.jpg
20190504,浦东,陆家嘴,菊园 2室2厅 825万,825万,菊园  | 2室2厅 | 91.74平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-997ec40e-144a-4942-bf65-90310de44b7e.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园一村 1室1厅 325万,325万,东园一村  | 1室1厅 | 34.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-154e1aa8-04bb-40cc-8ac5-fd5fc4dc8af8.jpg.296x216.jpg
20190504,浦东,陆家嘴,盛大高区全南江景两房，业主诚意出售，看房随时可约,1370万,盛大金磐  | 2室1厅 | 121.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-00b7b42c-053b-41b8-bca6-600aba2c0e35.jpg.296x216.jpg
20190504,浦东,陆家嘴,精装全南两房，户型好，看房方便，生活便利,470万,浦城小区  | 2室1厅 | 68.86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3c8dfce3-3d07-4593-90f9-43e0ccc18537.jpg.296x216.jpg
20190504,浦东,陆家嘴,业主新挂牌 双南两房 看房随时,280万,东南新村(浦东)  | 2室0厅 | 47.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5aa8674c-816a-4eef-baeb-5ead6c56caf4.jpg.296x216.jpg
20190504,浦东,陆家嘴,汇豪天下，高区两房，全南户型，价格可谈！,1128万,汇豪天下  | 2室2厅 | 113平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-960a37fc-b47a-4627-b4cf-76d45113d4f0.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂高区一线江景房，看北外滩，陆家嘴景观 随时看,2300万,世茂滨江花园  | 3室2厅 | 209.3平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8d419027-8874-4a7f-b4dd-adce11701ef1.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂5号高区江景大2房！看天鹅湖！带生活阳台，温馨,1500万,世茂滨江花园  | 2室2厅 | 166.89平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9fd0fc6a-fa14-45bd-b6cc-91b1f3c52756.jpg.296x216.jpg
