20190504,浦东,世博,昌里众盛苑 2室2厅 330万,330万,昌里众盛苑  | 2室2厅 | 66.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-40413779-14f5-411e-8300-b5a30e142527.jpg.296x216.jpg
20190504,浦东,世博,德州二村 1室1厅 235万,235万,德州二村  | 1室1厅 | 43.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecdf52bf-7db5-4fb3-a467-a447aabe710c.jpg.296x216.jpg
20190504,浦东,世博,济阳一村 1室1厅 215万新上,215万,济阳一村  | 1室1厅 | 43.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-25577fca-74b3-4298-abf7-0369e0c9082a.jpg.296x216.jpg
20190504,浦东,世博,首付78万，垫高一楼不潮湿，视野开阔，南北通两房新上,225万,六里二村  | 2室1厅 | 44.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e1b16004-8cd8-4d97-9787-74e9ae466054.jpg.296x216.jpg
20190504,浦东,世博,济阳少量双南小两房，业主婚房装修，保养比较好,230万,济阳二村  | 2室0厅 | 39.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5ec89382-1688-46a7-a214-ee8f414d4fe5.jpg.296x216.jpg
20190504,浦东,世博,德州二村 2室1厅 258万,258万,德州二村  | 2室1厅 | 53.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-208024b3-e791-4240-91f8-e91287373b97.jpg.296x216.jpg
20190504,浦东,世博,济阳三村 2室0厅 280万,280万,济阳三村  | 2室0厅 | 57.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf4ca3e7-194b-4bcc-9e5e-883b2337f311.jpg.296x216.jpg
20190504,浦东,世博,昌四小区 1室1厅 215万,215万,昌四小区  | 1室1厅 | 43.98平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1224d84d-7763-4d3a-9302-f75491678e5b.jpg.296x216.jpg
20190504,浦东,世博,世博版块  8/13号线双轨交通  满五唯一 天井已搭房主自荐,215万,上南九村  | 1室1厅 | 40.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-27bbb232-d761-49d6-bf3d-92d6e957de14.jpg.296x216.jpg
20190504,浦东,世博,新世纪花苑(一期)(浦东) 1室1厅 255万,255万,新世纪花苑(一期)(浦东)  | 1室1厅 | 50.93平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-87ed3836-e36a-4032-a6b5-8c48b99e1def.jpg.296x216.jpg
20190504,浦东,世博,正宗小复式，非阁楼，一梯两户，南北全明，满五年唯一,398万,上南十村  | 2室2厅 | 82.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-06554453-6e43-4c57-9f88-8e903bf94bbf.jpg.296x216.jpg
