20190504,浦东,潍坊,此房满五唯一，小区花园位置，中间楼层，诚意出售,480万,潍坊九村  | 2室1厅 | 48.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-132384bc-b8ba-4626-bfdd-75376fb54e9d.jpg.296x216.jpg
20190504,浦东,潍坊,B区可用，小区中间位置，看房方便，业主诚意售房！,365万,潍坊六村  | 1室0厅 | 32.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecbf0652-e7a0-4239-8050-56c74f16f8aa.jpg.296x216.jpg
20190504,浦东,潍坊,此房满五唯一，小区花园位置，中间楼层，诚意出售,480万,潍坊九村  | 2室1厅 | 48.12平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7f5e45d8-027d-4864-85f5-cf8c45a40e5a.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村，简装一室半，总价低，产权清晰，出行方便,250万,潍坊四村  | 1室1厅 | 41.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cd090cc5-1a98-401d-832c-31bdcf7a96d3.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊七村 32.82平 368万 满二年 有钥匙看房方便,368万,潍坊七村  | 1室1厅 | 32.82平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4d030889-ff7b-4ba5-8ad2-bce3a0c44b41.jpg.296x216.jpg
20190504,浦东,潍坊,东欣小区+一房一厅+随时看+精装修+产权清晰,484万,东欣小区  | 1室1厅 | 43.41平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cccfc6f0-60dc-452f-b21c-3865df1d3cc3.png.296x216.jpg
20190504,浦东,潍坊,潍坊二村精装修一室户，拎包入住，正南户型，房东诚售,235万,潍坊二村  | 1室1厅 | 30.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f52c7bcd-e44d-47a7-899c-708359fbe453.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村，一梯四户，过道厨房，采光好，看房方便,238万,潍坊四村  | 1室0厅 | 33.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-30f07215-82e2-4756-b4cb-2e49fbe6ddb3.png.296x216.jpg
20190504,浦东,潍坊,房子为售后公房,满五年. 产权户口清晰 无抵押无贷款,475万,泉东(二)小区  | 2室1厅 | 42.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-69fab65a-8b88-4ba0-a2d8-0a8f6b216cad.jpg.296x216.jpg
20190504,浦东,潍坊,此房税费清晰，精装修，楼层采光极好，看房很方便.,370万,潍坊九村  | 1室1厅 | 29.33平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b120f3f8-21ee-4c64-b97e-e68652ba2469.jpg.296x216.jpg
20190504,浦东,潍坊,繁荣昌盛+售后公房+满五唯一+税少,805万,繁荣昌盛  | 3室2厅 | 112.88平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-fa8ded92-a944-4c9c-9e36-a64770c4bf3a.jpg.296x216.jpg
20190504,浦东,潍坊,中间位置中间楼层独门独户一房 诚意卖价可谈 有钥匙,230万,潍坊二村  | 1室0厅 | 27.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a88fce4d-8a9b-4428-9594-b8627f3c640b.jpg.296x216.jpg
20190504,浦东,潍坊,1梯3户，满五唯一，精装修，一房全明格局，不靠马路,409万,潍坊九村  | 1室1厅 | 40.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-799c217a-615a-4dbb-a916-2cc062e76b30.jpg.296x216.jpg
20190504,浦东,潍坊,南北两房+厨卫有窗+满五唯一+诚心出售,510万,泉东(二)小区  | 2室1厅 | 49.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f0d0f739-3dcf-4165-a3f5-1d8a15e1c594.jpg.296x216.jpg
20190504,浦东,潍坊,浦明两房，中间楼层，带露台，满五，接受议价,325万,潍坊三村  | 2室0厅 | 47.04平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-94317484-7df5-4270-ad91-113eb01a72c2.jpg.296x216.jpg
20190504,浦东,潍坊,钥匙房源+产权清晰+陆家嘴地段+地铁世纪大道站,565万,潍坊十村  | 3室0厅 | 70.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8883729c-2510-4a31-8199-1f311d4f27a9.png.296x216.jpg
20190504,浦东,潍坊,三开间朝南，新风系统，超大客厅，2.4.6.9号地铁交汇房主自荐,775万,爵士大厦  | 2室2厅 | 119平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c6efa14b-00f8-4ac2-a76b-ed83e6f10dcb.png.296x216.jpg
20190504,浦东,潍坊,浦明师范大两房，采光好位置佳，诚意出售，随时看房,380万,潍坊二村  | 2室1厅 | 54.69平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e2b04dad-bef7-4afd-84a6-1575bb49b2ca.png.296x216.jpg
