20190504,浦东,新场,飞机型户型+南北通+中间位置+中楼层+业主诚意出售,315万,东方冠郡  | 2室2厅 | 99.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f42c0952-a76f-4146-b7d7-e0b58d6b4e27.png.296x216.jpg
20190504,浦东,新场,位于新场镇 两房朝南  楼层好 毛坯可塑性强房主自荐,270万,丝庐雅苑(公寓)  | 2室1厅 | 88.74平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e635ace6-dff8-4e31-9c90-b00fc4f92e7e.jpg.296x216.jpg
20190504,浦东,新场,丝庐雅苑(公寓) 2室2厅 280万,280万,丝庐雅苑(公寓)  | 2室2厅 | 88平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5020e077-25af-4ff8-8952-fc0df89d0b58.jpg.296x216.jpg
20190504,浦东,新场,汇锦城二期 1室1厅 180万,180万,汇锦城二期  | 1室1厅 | 52.48平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-09a622ac-1d5a-47a5-af8f-a02d2ede65e8.png.296x216.jpg
20190504,浦东,新场,三房两厅一卫+产证满两年+开发商统一装修+拎包入住,305万,万科清林径  | 3室2厅 | 98.17平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180123/403d4de0-11ba-4061-a13f-0d49b0232fbd.jpg.296x216.jpg
20190504,浦东,新场,业主急售+景观楼层、免个税、带会所免费、有钥匙！,260万,汇锦城二期  | 2室2厅 | 89平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-230a7277-8a3b-4056-870e-5d4565e4e1e9.png.296x216.jpg
20190504,浦东,新场,万科出品 品质小区 精装小3房 视野好 采光好 总价低,300万,万科清林径  | 3室2厅 | 93.8平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8f15dc17-eb13-4ae7-8dfb-f33e4dbfd1de.png.296x216.jpg
20190504,浦东,新场,东方冠郡精装大四房，四开间朝南 地理位置优越,520万,东方冠郡  | 4室2厅 | 141.85平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-194527e0-835e-4033-b39f-079060e6990e.png.296x216.jpg
20190504,浦东,新场,南北通，免增值税，毛坯房，景观楼层，诚意出售,275万,丝庐雅苑(公寓)  | 2室2厅 | 88.76平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0214f814-a96a-47db-bea2-d64e0afeb981.png.296x216.jpg
20190504,浦东,新场,满五年唯一，看房有钥匙，保养的好，可直接拎包住。,340万,万科清林径  | 3室2厅 | 97平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-451953c4-ef3a-47eb-9abe-d05b37cac13f.jpg.296x216.jpg
