20190504,浦东,祝桥,东港花苑三村 三卧室朝南 楼层好 户型正气 得房率高,220万,东港花苑三村  | 3室1厅 | 102.49平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-534f885a-aa21-4b41-97ed-9cc35cb7c500.jpg.296x216.jpg
20190504,浦东,祝桥,一楼带花园，品质小区，诚心出售,273万,朗诗未来树  | 3室2厅 | 83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-caf19e19-46c9-4606-99c6-08144ff5d8f5.png.296x216.jpg
20190504,浦东,祝桥,千汇一村大三房 带阁楼带储藏室 房东诚心出售,300万,千汇苑一村  | 3室2厅 | 106.13平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ec788be4-326b-4f63-a968-b3f18a15a60c.png.296x216.jpg
20190504,浦东,祝桥,千汇苑二村 精装小套 近东站 出行方便,155万,千汇苑二村  | 1室1厅 | 53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-096d929e-2442-404d-a9fd-e361e55ff755.png.296x216.jpg
20190504,浦东,祝桥,房龄2014年 两室 自带储藏室 带装修 楼栋位置好,225万,祝康苑  | 2室1厅 | 65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f4eaac17-4733-44ad-9646-2ce2de115b2c.png.296x216.jpg
20190504,浦东,祝桥,桃李园小区 2室2厅 270万,270万,桃李园小区  | 2室2厅 | 106.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8b4a5815-8595-4423-9f05-e44879539d61.jpg.296x216.jpg
20190504,浦东,祝桥,朗诗多层4楼两房+露台 实际使用面积大 楼层佳视野好,250万,朗诗未来树  | 2室2厅 | 69.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-77f627f3-b5ce-4ada-903d-18166fcde395.jpg.296x216.jpg
20190504,浦东,祝桥,千汇苑三村 大三房 电梯房5楼 前排无遮挡 采光佳,315万,千汇苑  | 3室2厅 | 104.66平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a182a706-4aba-4dec-9006-7b495b05b7a2.jpg.296x216.jpg
20190504,浦东,祝桥,祝桥镇精装大两房 带大阁楼带大储藏室 房东急售急售房主自荐,235万,东港花苑三村  | 2室2厅 | 97.1平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-caf0a8d3-ea3e-41cb-a504-fd998500c88e.jpg.296x216.jpg
20190504,浦东,祝桥,祝和苑小两房，房东价格可谈，看房方便诚心出售近东站,202万,祝和苑  | 2室1厅 | 64.95平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b0869b90-258f-4a29-94ed-c8b0c4ac71fb.jpg.296x216.jpg
20190504,浦东,祝桥,祝和苑电梯两房 满五唯一  楼层佳,280万,祝和苑  | 2室2厅 | 93.53平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-28f12d1e-993d-4b7d-90f0-b7181fb1093c.png.296x216.jpg
20190504,浦东,祝桥,朗诗未来树精装钥匙房带阳光房拎包入住诚售,297万,朗诗未来树  | 3室2厅 | 89.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-eae8b94e-5acf-4569-9bd6-ee22c526b62d.jpg.296x216.jpg
20190504,浦东,祝桥,一手动迁，三房两厅，电梯房中间楼层，毛坯房，诚意售,360万,祝安苑  | 3室2厅 | 109.51平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7fb12275-c37c-47b0-b57e-ac151e797e57.png.296x216.jpg
20190504,浦东,祝桥,免征增值税 楼层好 房型正气、阳光充足  南北房型,350万,祝和苑  | 3室2厅 | 126.22平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c9909087-c305-4421-a882-9dd214ecb311.jpg.296x216.jpg
20190504,浦东,祝桥,千汇苑 3室2厅 333万,333万,千汇苑  | 3室2厅 | 111.91平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4f7277a0-2c1f-4c0d-85bb-0c1ee5ebc1ce.jpg.296x216.jpg
20190504,浦东,祝桥,朝农新村 简装两房  采光好 价格可谈 还款压力小,85万,朝农新村  | 2室1厅 | 50.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c7b8a5ae-6247-4a87-bcd9-b6b4d389c3ea.png.296x216.jpg
20190504,浦东,祝桥,商品房朗诗未来树满二，位置采光好，价格便宜,266万,朗诗未来树  | 3室1厅 | 78.74平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1410eea6-5269-48ca-ae40-f15920edb1fd.jpg.296x216.jpg
20190504,浦东,祝桥,朗诗未来树多层二楼 户型方正 自住装修 用料佳 保养好,268万,朗诗未来树  | 3室2厅 | 78.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a87088a1-963a-42e2-805d-a3e135260ccc.jpg.296x216.jpg
20190504,浦东,祝桥,祝安苑2012年房龄，此房大两房，南北好房型，看房方便,255万,祝安苑  | 2室2厅 | 86.8平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6759a2af-e141-4225-8bb3-8812b944f151.jpg.296x216.jpg
20190504,浦东,祝桥,千汇二村 祝桥东站边  精装带阁楼 出行方便,175万,千汇苑二村  | 1室1厅 | 52.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b79c0591-559b-4510-91e3-5f0d9e7da3d0.jpg.296x216.jpg
20190504,浦东,祝桥,三楼楼层好 带20平储藏室 南北双阳台 采光视野好,253万,千汇苑一村  | 2室2厅 | 80.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-08cf0abf-af8c-4716-bdc3-baee622d3666.jpg.296x216.jpg
20190504,浦东,祝桥,祝桥次新商品房 房东自住装修 保养的很好！满两年诚售房主自荐,270万,朗诗未来树  | 3室2厅 | 78.66平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8fb3673c-b647-428e-8260-c38d8dc01365.jpg.296x216.jpg
20190504,浦东,祝桥,80平大两房 带15平储藏室 实际2楼 南北双阳台,260万,千汇苑一村  | 2室1厅 | 80.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3c6efa1f-820e-49b3-af92-9505faae242b.jpg.296x216.jpg
20190504,浦东,祝桥,东方鸿璟16年商品房，电梯景观毛坯三房，房东诚心出售,485万,东方鸿璟  | 3室2厅 | 124平米 | 暂无数据 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-753caef0-aad0-4e1e-89bf-33688a3842a8.jpg.296x216.jpg
20190504,浦东,祝桥,12年的小区动迁房税费少看房方便位置好采光好看房方便,300万,祝安苑  | 3室2厅 | 106.59平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2a065b55-dc50-436b-9bb3-93334056fe63.png.296x216.jpg
20190504,浦东,祝桥,2014南年房龄 电梯房 楼层好 购房成本低 楼栋位置好,340万,祝安苑  | 3室2厅 | 109.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d99ce364-b3ec-44a3-a703-eda03364aa92.jpg.296x216.jpg
20190504,浦东,祝桥,免征增值税 楼层好 房型正气、阳光充足 带装修,245万,祝和苑  | 2室1厅 | 80.31平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-699745d9-083c-419a-83d9-1b050c7162ad.jpg.296x216.jpg
20190504,浦东,祝桥,品质小区 绿城物业 小区人车分流 环境好 适合居住,360万,东方鸿璟  | 2室2厅 | 90.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9a4bbb58-129f-46d2-9ac8-0aba320fe88a.jpg.296x216.jpg
20190504,浦东,祝桥,房龄新 电梯房  楼层好 购房成本低 楼栋位置好,330万,祝康苑  | 3室2厅 | 109.42平米 | 南 | 毛坯,https://image1.ljcdn.com/310000-inspection/test-66a3c1a2-6183-4a77-8c9c-e02826f7fcb7.png.296x216.jpg
20190504,浦东,祝桥,千汇苑电梯房，一手动迁免增值税，楼层好采光无遮挡,323万,千汇苑  | 3室2厅 | 112平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e3134eea-b3b5-491e-a1a2-b3305cf0b4cb.png.296x216.jpg
20190504,浦东,祝桥,祝桥镇商品房满二年，户型方正，业主诚心出售可看房,265万,朗诗未来树  | 3室2厅 | 78.71平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d55856cf-c866-4756-980a-a036968f65f5.jpg.296x216.jpg
20190504,浦东,祝桥,千汇苑一村 一室一厅 干净清爽 房东诚心出售 楼层好,171万,千汇苑一村  | 1室1厅 | 52.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-12e44001-aacb-4b7c-94db-17d3b782aa20.png.296x216.jpg
20190504,浦东,祝桥,二手买进  产权清晰 房东诚心出售,290万,东港花苑三村  | 3室2厅 | 141平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-2cf11b22-4637-4eee-9596-edc54c512f32.jpg.296x216.jpg
20190504,浦东,祝桥,绿色新小区 朗诗未来树 满两年 精装三房 带小花园,270万,朗诗未来树  | 3室2厅 | 81.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ed7cb331-6148-494a-89b3-7eb09140c45b.jpg.296x216.jpg
20190504,浦东,祝桥,07年小区一手动迁房免增值税，位置好采光好，诚意出售,300万,千汇苑一村  | 3室2厅 | 105平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-30f9c501-4670-4cfb-829e-7d30e38f6ba2.jpg.296x216.jpg
20190504,浦东,祝桥,07年次新房两室两厅 满五不唯一 省税 带阁楼 诚信出售,240万,千汇苑二村  | 2室2厅 | 80.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2e1bc6bf-c9e8-44dc-a7bc-a970ad92e98c.png.296x216.jpg
20190504,浦东,祝桥,朗诗未来树精致两房，南北房型，小区位置好采光足诚售,248万,朗诗未来树  | 2室2厅 | 69.02平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-74312feb-537f-4b5a-8cc8-ad44fb539480.jpg.296x216.jpg
20190504,浦东,祝桥,祝和苑三房免征增值税楼层好房型正气阳光充足,305万,祝和苑  | 3室2厅 | 107.05平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f5047115-a5e4-4398-9b72-5c073ad0265c.jpg.296x216.jpg
20190504,浦东,祝桥,东港花苑三村 3室2厅 370万,370万,东港花苑三村  | 3室2厅 | 145.21平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-27b07d38-8c21-4ba3-a4e1-43a250584e3d.jpg.296x216.jpg
20190504,浦东,祝桥,祝桥东站朗诗未来树78平满2唯1 户型方正 随时看房,285万,朗诗未来树  | 3室2厅 | 78.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3ffcb5ca-6c60-46fe-85a9-6ccbb8f2bc4c.jpg.296x216.jpg
20190504,浦东,祝桥,朗诗未来树 满两年 精装修三房 小区绿化好 诚意出售,270万,朗诗未来树  | 3室2厅 | 78.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7598fff7-4c4c-41bb-bf40-328fbbb9c01c.jpg.296x216.jpg
