20190504,普陀,长寿路,13号线地铁口+后排全南2室+双卫全明+人车分流有钥匙新上,938万,音乐广场  | 2室2厅 | 114.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c694ea9b-5ae1-4d18-bf98-58100c78559e.jpg.296x216.jpg
20190504,普陀,长寿路,诚售音乐广场+一本产证两套房+13号线江宁站+税费各付,1400万,音乐广场  | 6室2厅 | 230.13平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-17f83ef3-3c62-4023-84f3-01fdabbe6152.png.296x216.jpg
20190504,普陀,长寿路,09年竣工，二梯二户，刷卡到户，中高区阳光无遮挡,990万,宝华城市晶典  | 2室2厅 | 117.3平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a4ad5430-824c-4bd9-8c6f-ae06da14aee5.jpg.296x216.jpg
20190504,普陀,长寿路,品质小区，人车分流 南北通风好，业主急售，看房方便,935万,苏堤春晓名苑  | 2室2厅 | 116.32平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-acfc12c7-a2d8-417c-8efb-5bf59303f681.jpg.296x216.jpg
20190504,普陀,长寿路,长寿路地铁口 精装大四房 满五年 复式 仅1000万！,1000万,同德公寓  | 4室3厅 | 183.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9c1df16f-eccf-4421-aa52-a8f729448f3b.jpg.296x216.jpg
20190504,普陀,长寿路,2年出一套，户型！业主诚意出售！看房预约,860万,苏堤春晓名苑  | 2室2厅 | 110.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d46b7615-1120-4cda-80dc-f5a1bd19b6f0.jpg.296x216.jpg
20190504,普陀,长寿路,乐活居少缺小户型带阳台+开发商统一装修+品质小区,590万,乐活居  | 2室1厅 | 63.81平米 | 南 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c3876711-59f8-4c8c-a1ef-4583724dfad5.jpg.296x216.jpg
20190504,普陀,长寿路,普陀区西康路989华侨城两房，86平，满五年有地暖989万,960万,华侨城(普陀)  | 2室2厅 | 86.41平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dc8042da-fce0-4a10-b41e-ba7c59805578.jpg.296x216.jpg
20190504,普陀,长寿路,11年高品质小区，物业管理好，生活配套成熟，交通方便,598万,乐活居  | 1室1厅 | 65.48平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/3f473365-be55-4337-86d8-886d74b295fe.jpg.296x216.jpg
20190504,普陀,长寿路,户型方正，带露台，业主诚意急售,1190万,秋水云庐  | 3室2厅 | 145.89平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-34dc6c1e-2699-459f-adde-b80246ef2958.png.296x216.jpg
20190504,普陀,长寿路,内环内次新房+无个税+户型正气采光好+钥匙房诚意急售,1580万,华侨城(普陀)  | 3室2厅 | 148.68平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-aa02f290-2d61-44a1-9c8e-ad7c9f33a2c4.png.296x216.jpg
20190504,普陀,长寿路,近地铁 满五年唯一 朝南 小区环境好 配套成熟,598万,上青佳园  | 2室1厅 | 78.15平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-86f55ce3-5ca3-4dae-9844-b8f179a4f689.png.296x216.jpg
20190504,普陀,长寿路,诚意出售，业主一次未住（地铁3-4-7-13号线）有钥匙,350万,德怡苑  | 1室1厅 | 52.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-08cf8d64-85b7-479a-b1b1-620d6952486d.png.296x216.jpg
20190504,普陀,长寿路,常德名园顶楼复式，位置安静，装修精致，带50平露台。,1800万,常德名园  | 5室3厅 | 224.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-580b5698-aaa0-40c0-b0bc-ab50aff3b5ed.jpg.296x216.jpg
20190504,普陀,长寿路,楼层佳，采光充足，南北通透，售后公房，诚意出售。,490万,长寿新村(普陀)  | 2室1厅 | 76.84平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dae1e9bc-26c8-4d81-9371-9398315adfad.jpg.296x216.jpg
20190504,普陀,长寿路,精装修 带地暖 从未入住  内环内3房 地铁200米看房约,978万,汇丽花园  | 3室2厅 | 129.13平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f797c5f0-8e49-47ce-8682-8b15c8c3cc5a.png.296x216.jpg
20190504,普陀,长寿路,高区苏州河景观房+闹中取静+大三房+满五无个税+有钥匙,955万,宗鑫公寓  | 3室2厅 | 159.32平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c91b4f61-6781-4dba-be3e-150624580362.jpg.296x216.jpg
20190504,普陀,长寿路,业主诚意出售 地段好 交通方便 看苏州河景观,640万,莘远大厦  | 2室2厅 | 107.84平米 | 南 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-4576329e-984c-46bd-bf91-7449e7febaac.png.296x216.jpg
20190504,普陀,长寿路,音乐广场 3室2厅 1370万,1370万,音乐广场  | 3室2厅 | 165.15平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-bef757b4-01ca-4abf-8c39-4bb102aeab82.png.296x216.jpg
20190504,普陀,长寿路,品质小区，自带会所，南北通，看苏州河,968万,上海知音苑  | 2室2厅 | 117.6平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-afbd27b9-7a07-4059-8be7-5947ac8247b0.jpg.296x216.jpg
20190504,普陀,长寿路,带车位全南大两房+出行便利+内环内外销房,850万,玉佛城  | 2室2厅 | 121.78平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-108de3bc-e9ff-4704-a5f0-04b169fa792d.jpg.296x216.jpg
20190504,普陀,长寿路,内环内品质小区 南北通两梯两户高区景观房,1320万,宝华雅苑  | 3室2厅 | 154平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-93a52fce-c513-4b27-9b86-fd9b9c66a63b.jpg.296x216.jpg
20190504,普陀,长寿路,满五唯一  中区宜居楼层  得房率高,870万,大上海城市花园  | 2室2厅 | 95.59平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6e0c556b-1df9-44ad-bc4d-403b5eb66c65.png.296x216.jpg
20190504,普陀,长寿路,地铁口，满五唯一，税少，06年品质房，错层户型！,750万,日月星辰  | 2室2厅 | 97.35平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ac739028-e37d-4639-85f0-333d2833dcc3.jpg.296x216.jpg
20190504,普陀,长寿路,全南户型，全部有窗，有装修，看房方便,699万,沙田花园  | 2室2厅 | 87.46平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5b1dff2c-6ab8-47c3-a311-dc6b6c577b1a.jpg.296x216.jpg
20190504,普陀,长寿路,一梯两户 视野开阔 采光不挡 闹中取静 满五税少,899万,常德名园  | 2室2厅 | 110.07平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4791faa0-67db-4278-9665-baaa2622fafe.jpg.296x216.jpg
20190504,普陀,长寿路,老客户挂牌+3室2卫+13号线江宁路站+双侧地下室+院子,1130万,音乐广场  | 3室2厅 | 141.74平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b05e6205-9efb-4c94-a7e4-0f89a62b40ab.jpg.296x216.jpg
20190504,普陀,长寿路,新上房源，精装复式，满五唯一，南北直通，采光无遮挡,780万,世纪之门  | 3室2厅 | 125.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d422f108-0420-4674-9d6a-85610867cc8f.png.296x216.jpg
20190504,普陀,长寿路,7/13号长寿路+绿洲三期 南北通两房 一梯两户+带花园,850万,绿洲城市花园  | 2室2厅 | 119.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4128d020-6975-478b-9204-117b70179750.jpg.296x216.jpg
20190504,普陀,长寿路,楼层好，视野宽阔，采光充足，配套齐全，交通便利,475万,康怡苑  | 2室1厅 | 70.41平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dfd80bac-8da0-49b7-a9a3-d3c753f47be3.jpg.296x216.jpg
20190504,普陀,长寿路,高区通风好武宁路地铁站，苏州河，满五年,长寿路商圈,950万,苏堤春晓名苑  | 2室2厅 | 116.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-12b1c860-88f6-4e97-8bc4-f350ae7f4c00.png.296x216.jpg
20190504,普陀,长寿路,新出高区两房，业主诚意出售，看房方便，阳光无遮挡！,688万,富丽花苑  | 2室2厅 | 95.14平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e8b20c79-9e89-448f-8467-4dcdd90c716a.png.296x216.jpg
20190504,普陀,长寿路,日月星辰 2室2厅 800万,800万,日月星辰  | 2室2厅 | 104.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-50989396-264d-40b3-973c-f28771a782be.jpg.296x216.jpg
20190504,普陀,长寿路,此房满五有钥匙，双南户型，业主急卖看房提前约,490万,澳门小区  | 2室2厅 | 62.75平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-f29b3091-5761-47b9-80bb-48706e0be56f.jpg.296x216.jpg
20190504,普陀,长寿路,精装一室户，近江宁，满二税少，业主诚心出售，好看房,255万,世纪之门  | 1室1厅 | 32.58平米 | 东北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8e782577-766d-44ba-b927-29d462ddbb56.png.296x216.jpg
20190504,普陀,长寿路,秋水云庐新上三房 景观位置 看房提前约,1100万,秋水云庐  | 3室2厅 | 140.16平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a0ad3dfb-bf96-480a-8157-211ce66cd104.jpg.296x216.jpg
20190504,普陀,长寿路,高区精装3房！采光好！地段好！看中价格可谈！,840万,湖南大厦  | 3室2厅 | 154.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b7ade7c6-b2ff-4f38-b0c4-7221c9bf59f0.png.296x216.jpg
20190504,普陀,长寿路,花园小区 全南户型 采光好 距离江宁路学 校200米,839万,十里都华  | 2室2厅 | 92.22平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-74e2504e-54b7-4407-8a05-2454142f1e47.jpg.296x216.jpg
20190504,普陀,长寿路,光明城市 3室2厅 1385万,1385万,光明城市  | 3室2厅 | 153.99平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-64fc7ec8-1096-4c86-8d59-2cf55c78452c.jpg.296x216.jpg
20190504,普陀,长寿路,内环内配套全 70年住宅产权 小户型总价低 租住皆宜,355万,圣天地酒店式公寓  | 1室1厅 | 51.82平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-70aa59e3-3df5-40c4-bcfa-d75034a618bc.png.296x216.jpg
20190504,普陀,长寿路,普陀近静安+品质小区+交通方便+拎包入住+看房方便,1070万,圣骊澳门苑  | 3室2厅 | 148.52平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c10b88a7-95c7-4d65-a707-18b31ec38c12.png.296x216.jpg
20190504,普陀,长寿路,南北户型，业主自住保养好，看房方便，诚意出售,1120万,西部俊园  | 3室2厅 | 137.11平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-66adc7d2-e5cd-4f98-85e5-6ed6703ea7b0.jpg.296x216.jpg
20190504,普陀,长寿路,13年次新房，绿化好，位置安静！长寿路地铁出口处！,750万,上青佳园  | 2室2厅 | 102.4平米 | 东 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d55053a2-7d99-46d1-8b65-c300de82a55d.png.296x216.jpg
20190504,普陀,长寿路,新挂牌 业主置换3房 可以谈价 附100平米露台,666万,玉城宝都大厦  | 2室2厅 | 110.92平米 | 西 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5f49ceb0-c9c1-4758-a8c8-56fbcc79f186.jpg.296x216.jpg
20190504,普陀,长寿路,地铁口+南北通+满五年+精装修+看房方便年,740万,日月星辰  | 2室2厅 | 108.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0baa7d9e-a0d1-4cff-921d-652f8ce4626c.png.296x216.jpg
20190504,普陀,长寿路,总高8层的小高层南北两房，方便改三房户型！,870万,绿洲城市花园  | 2室2厅 | 116.46平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1351f7e6-c101-416c-9152-53473f6efc99.png.296x216.jpg
20190504,普陀,长寿路,（业主诚意出售，看房有钥匙）2007年小区人车分流！,550万,十里都华  | 1室2厅 | 64.3平米 | 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8a4aeb82-47c5-47f5-b58e-bf7f703cb2c3.jpg.296x216.jpg
20190504,普陀,长寿路,户型好，楼层佳，客户看中价格可以商量，看房很方便,480万,世纪之门  | 1室1厅 | 64.66平米 | 西北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8d9766c6-fc23-4e2c-a2e5-de531812dd91.jpg.296x216.jpg
20190504,普陀,长寿路,上青佳园大一房，2011年竣工，全明大一房小区人车分流,620万,上青佳园  | 1室2厅 | 82.32平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6c60cd9a-d1ff-4420-a927-e9cc9e9edaed.png.296x216.jpg
20190504,普陀,长寿路,新上乐活居三期+三房有车位+中空调地暖+高品质次新房,1149万,乐活居  | 3室2厅 | 120.99平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bc982387-7f5f-4cea-b3e4-0126ff623a50.jpg.296x216.jpg
20190504,普陀,长寿路,税费少，长寿路繁华商圈，交通便利，出门就是公交,350万,富源小区  | 2室0厅 | 49.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eaabc4fe-4705-487b-9247-1805f980a602.jpg.296x216.jpg
20190504,普陀,长寿路,地铁口06年品质小区+真盘实价+南北通+拎包入住！,840万,汇丽花园  | 2室2厅 | 104平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-563b3a77-22cc-40d3-a865-1aa03c25e563.jpg.296x216.jpg
20190504,普陀,长寿路,新上少有绿洲叠加别墅+100平露台闹中取静户型正点有料,1880万,绿洲城市花园  | 5室2厅 | 299平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-54037ee6-4187-4d47-97be-b0ee5c96e51e.jpg.296x216.jpg
20190504,普陀,长寿路,长寿路地铁口+日月星辰大三房+总价低+看房方便诚售,1000万,日月星辰  | 3室2厅 | 148.72平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7c86c6ef-cc6b-474d-a661-ff5e3dc857a3.jpg.296x216.jpg
20190504,普陀,长寿路,地铁口，品质小区，南北户型，长寿路商圈，满五。,810万,常德名园  | 2室2厅 | 94平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b345bf82-6b51-4487-a0f8-4242836ff586.png.296x216.jpg
20190504,普陀,长寿路,品质小区，人车分流  开发商精装修 连体阳台  视野好,885万,苏堤春晓名苑  | 2室2厅 | 104.78平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-264a4531-1101-4b2b-acf2-99f73f1e21f0.jpg.296x216.jpg
