20190504,普陀,甘泉宜川,满五唯一诚心出售产权清晰没有户口优质小区新上,235万,合阳小区  | 2室1厅 | 53.32平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-96d1b981-9e2a-4469-bbf1-8483604a6620.jpg.296x216.jpg
20190504,普陀,甘泉宜川,延长小区(普陀) 2室1厅 235万,235万,延长小区(普陀)  | 2室1厅 | 47.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a8285f5a-7198-4069-9ba0-e038c04e26c7.jpg.296x216.jpg
20190504,普陀,甘泉宜川,此房满五唯一，小区中间位置视野开阔无遮挡，采光充足,155万,甘泉三村  | 1室1厅 | 36.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1a4aa1ee-4d2a-4527-96d8-e1f02a574d90.png.296x216.jpg
20190504,普陀,甘泉宜川,满五唯一，品质小区，户型好，交通便利，业主诚意,198万,宜川三村  | 1室1厅 | 46.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-51901b04-c36e-4352-9343-2d2491c7533d.jpg.296x216.jpg
20190504,普陀,甘泉宜川,满五唯一 朝南一室小户型总价低 小区环境佳 车位充足,152万,子长小区  | 1室1厅 | 35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-657250c2-0c69-4e05-93a4-31f70a931cad.jpg.296x216.jpg
20190504,普陀,甘泉宜川,满五唯一，单价低，总价低，采光无遮挡， 无户口，,196万,新宜小区  | 1室1厅 | 40.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3e8a2aff-bc8e-472f-9c29-f637fc8557ae.jpg.296x216.jpg
20190504,普陀,甘泉宜川,精装满五唯一税少，看房方便，诚心出售，低总价,155万,洛川路28号  | 1室0厅 | 34.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f1175b8b-7f7f-4944-8b2b-d84d626d7b4b.jpg.296x216.jpg
20190504,普陀,甘泉宜川,东边套全明 通风采光佳 近菜市场 配套成熟,220万,宜川二村  | 2室1厅 | 48.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bb8772ef-5e92-460c-a488-d89b867f97bb.jpg.296x216.jpg
20190504,普陀,甘泉宜川,南北大两房，满五唯一，交通便利，诚心出售，看房方便,265万,泰山三村  | 2室1厅 | 57.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e08ae709-01e6-4d74-ba52-a47cd89c809a.jpg.296x216.jpg
20190504,普陀,甘泉宜川,平江盛世家园 2室1厅 325万,325万,平江盛世家园  | 2室1厅 | 61.34平米 | 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9f59613e-2ef4-4cf2-9b39-7d2d15304a04.jpg.296x216.jpg
20190504,普陀,甘泉宜川,满五唯一，没有个税。全明户型。,370万,中星宜川花苑  | 2室1厅 | 69.02平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5cc5a30d-5223-41c4-be3e-b97045503006.jpg.296x216.jpg
20190504,普陀,甘泉宜川,满二唯一，单价低，总价低，采光无遮挡，看房方便,160万,新宜小区  | 1室0厅 | 34.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c4304f15-6062-49ed-b176-077c06549efc.jpg.296x216.jpg
20190504,普陀,甘泉宜川,1984年房龄，满五唯一，南北户型，交通方便，诚售,165万,宜川六村  | 1室0厅 | 34.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5ccf2a12-7c0c-4c75-bb4d-722d82771652.jpg.296x216.jpg
20190504,普陀,甘泉宜川,售后公房 精装修 楼层好 交通便利,215万,宜川五村  | 2室1厅 | 45.68平米 | 东北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c18d8576-d7f2-4744-a2a7-c82345362c37.png.296x216.jpg
20190504,普陀,甘泉宜川,2002年小区 诚意出售 金三楼层 房型正气 产权清晰房主自荐,509万,志丹苑  | 2室2厅 | 91.63平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-16612bb4-9351-4f90-a57b-2c2136b6389d.jpg.296x216.jpg
20190504,普陀,甘泉宜川,一楼带天井，天井已搭好，南北通，客厅朝东带窗户,218万,新长小区  | 1室1厅 | 39.07平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b25c4a7c-d206-41ca-8172-cfaf127ba416.jpg.296x216.jpg
20190504,普陀,甘泉宜川,边套全明一室户 好楼层 采光好 通风好 低税！,169万,新沪小区  | 1室0厅 | 34.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0820531a-5a95-4ae1-b7f8-bfe59be3ab5e.jpg.296x216.jpg
20190504,普陀,甘泉宜川,近新村路站.南北西边套户型采光通风好.看房联系维护人,268万,延长西路780弄  | 2室1厅 | 63.01平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7b293706-812b-4eb8-b456-996a453bd49d.jpg.296x216.jpg
