20190504,普陀,真光,阳光威尼斯(二期) 1室2厅 375万新上,375万,阳光威尼斯(二期)  | 1室2厅 | 76.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6a9f704-7e5f-46ed-9b5c-78f5badd1049.jpg.296x216.jpg
20190504,普陀,真光,南北通透+高区楼层+采光无遮挡+满五唯一+随时看房,435万,阳光威尼斯AB区  | 2室2厅 | 101.75平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f53c5dc9-851f-4c1f-aec7-995cd5a481d9.jpg.296x216.jpg
20190504,普陀,真光,中环边 小两房  配套齐全 业主诚售 看房有钥匙,230万,真光九街坊  | 2室1厅 | 56.35平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6bc3c88f-0b2e-48a6-9722-46b4e825ba4b.jpg.296x216.jpg
20190504,普陀,真光,清涧三街坊 2室1厅 340万,340万,清涧三街坊  | 2室1厅 | 79.12平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-43f054e7-c3e1-4481-a046-a27ed42e307e.jpg.296x216.jpg
20190504,普陀,真光,南北通户型 厅朝北有大窗 适合年轻人 户型棒业主很熟,250万,真光第四小区  | 1室1厅 | 50.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-70486f1e-d8c0-4629-b80a-e7651c37959d.jpg.296x216.jpg
20190504,普陀,真光,动迁房 无增值税  性价高  楼层好 诚意出售 看房随时,425万,阳光威尼斯(三期)  | 2室2厅 | 90.33平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0a2fe4b7-91ff-411f-ac8c-4be3ec7ad799.jpg.296x216.jpg
20190504,普陀,真光,只有1%个税，电梯大三房，业主诚售随时面聊房主自荐,419万,清涧三街坊  | 3室2厅 | 99.78平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4569de8a-6f17-47cb-b5f8-f8a75cfc96c9.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊   二楼 婚装双南两房 满五唯一  配套齐全房主自荐,280万,清涧八街坊  | 2室1厅 | 61.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9c5fa5a5-fe98-433f-942e-2dbdead263aa.jpg.296x216.jpg
20190504,普陀,真光,一梯三户 中间楼层 低总价 随时看房,178万,真光十小区  | 1室1厅 | 37.51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dcda8874-48cf-46a7-ab53-63cd2a3ffe21.jpg.296x216.jpg
20190504,普陀,真光,本房属商品房。房子南北套，厨卫厅房全明,285万,真光第四小区  | 2室1厅 | 59平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c2b5f65e-aa54-407f-8f3b-020411d95e86.jpg.296x216.jpg
20190504,普陀,真光,动迁房税费低，看房方便，业主诚意卖。高楼层采光好,410万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 82.42平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-90895405-0cec-48bb-a210-7ad47d0420d5.jpg.296x216.jpg
20190504,普陀,真光,今日笋盘降价房源！户型方正，通风采光好，诚意出售！,426万,阳光威尼斯C区  | 2室2厅 | 101.27平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160329/58978fde-2c5a-46e8-bf3a-790fc53dc01c.jpg.296x216.jpg
20190504,普陀,真光,房型特正气，全明，南北直通，近上海西站，交通方便房主自荐,525万,清涧四街坊  | 3室2厅 | 123.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ca2f31a9-d3c7-4688-985c-561d3e763a06.png.296x216.jpg
