20190504,杨浦,黄兴公园,一梯3户+地铁8号线+满五唯一,295万,延吉五村  | 2室1厅 | 50.12平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f8787f68-8825-4683-b669-87f7efb8ee01.jpg.296x216.jpg
20190504,杨浦,黄兴公园,怡佳苑 2室1厅 400万新上,400万,怡佳苑  | 2室1厅 | 65.07平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-321e26b0-1300-4697-8146-d4196b226864.jpg.296x216.jpg
20190504,杨浦,黄兴公园,楼层好+近8号线+满五年唯一+朝南全明+单价低总价低,279万,控江东三村  | 2室1厅 | 50.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-43479f43-1d0b-4bd7-a340-103f87f2ff1d.jpg.296x216.jpg
20190504,杨浦,黄兴公园,总价低产权清晰+近地铁小区环境优雅+适合老人的楼层新上,188万,延吉四村  | 1室0厅 | 30.81平米 | 西南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a58c2f21-a433-4cba-ad31-9329c4f756b0.jpg.296x216.jpg
20190504,杨浦,黄兴公园,高层景观房+满五唯一+业主诚意出售+看房方便,560万,东上海中心  | 2室2厅 | 85.46平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-456b0257-5c88-44df-95cc-9305c997e259.jpg.296x216.jpg
20190504,杨浦,黄兴公园,电梯房 高楼层 无遮挡 装修好 视野好 不临街新上,518万,浣纱五村  | 2室1厅 | 92.31平米 | 东 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1e626208-c44c-46e1-b751-d98ad7b37ec9.jpg.296x216.jpg
20190504,杨浦,黄兴公园,全南采光好 五角场商圈 8/10号双轨道交通,850万,海上硕和城  | 2室2厅 | 98.91平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6b52ab40-ee55-47a3-8597-8a9fdfe25c4e.jpg.296x216.jpg
20190504,杨浦,黄兴公园,万佳苑 2室1厅 470万,470万,万佳苑  | 2室1厅 | 78.43平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ec60bb76-87c6-41c5-8874-4a95de6af38e.jpg.296x216.jpg
20190504,杨浦,黄兴公园,靖宇家园 3室2厅 800万,800万,靖宇家园  | 3室2厅 | 123.31平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-48b838a2-54f7-4182-b86b-5df10fc280b9.jpg.296x216.jpg
20190504,杨浦,黄兴公园,此房买入价高税费少唯一一套，业主诚意出售，价格可谈房主自荐,577万,浣纱五村  | 2室2厅 | 89.71平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5c2037b0-4471-48f1-9175-079b5f4d8d11.jpg.296x216.jpg
20190504,杨浦,黄兴公园,南北户型 大3房 空关 有钥匙 诚意业主急卖 单价7.7万,900万,海上硕和城  | 3室2厅 | 129.1平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f1f29aa3-5520-4b0b-bac2-628018c2e1a5.png.296x216.jpg
20190504,杨浦,黄兴公园,控江四村 精装修 总价低 房东诚心卖房主自荐,138万,控江四村  | 1室0厅 | 22.69平米 | 东北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c549e3cb-47ec-4715-9b8a-8abe32949e1a.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江四村，视野开阔，闹中取静，朝南一门关，总价低,156万,控江四村  | 1室1厅 | 35.48平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b6864e07-7d85-47cf-8e40-3ce6be77fbf4.png.296x216.jpg
20190504,杨浦,黄兴公园,延吉五村 1室1厅 213万,213万,延吉五村  | 1室1厅 | 39.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-26002d19-9021-4ab7-923f-6aad883c62b5.png.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一 可拎包入住  房东诚心出售 距离8号线800多米,485万,控江西三村  | 3室2厅 | 86.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/a8139160-0bac-4f36-8132-47f0d64e7be1.jpg.296x216.jpg
20190504,杨浦,黄兴公园,79年原建房，双南两房精装修，不靠马路，看房方便,230万,松花一村  | 2室0厅 | 44.1平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/2562971e-757d-4e9b-8123-667d8f7a835c.jpg.296x216.jpg
20190504,杨浦,黄兴公园,浣沙三村 南北3房 采光充足 交通便利 诚意出售新上,478万,浣沙三村  | 3室1厅 | 80.62平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7e90f4bf-35e6-49c9-865d-b902e4a0bed4.jpg.296x216.jpg
20190504,杨浦,黄兴公园,房子满五唯一没有个税，精装修的，,950万,佳龙花园  | 3室2厅 | 119.7平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1525ab60-eb07-4360-92b5-371d0e984124.jpg.296x216.jpg
20190504,杨浦,黄兴公园,产权车位+满五唯一+电梯房+三房朝南三阳台+看房方便,1188万,公园3000黄兴花园  | 4室2厅 | 139.84平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4af3fac9-9cb1-466a-af6f-05427343cb5d.jpg.296x216.jpg
20190504,杨浦,黄兴公园,汇元坊 4室1厅 890万,890万,汇元坊  | 4室1厅 | 119.15平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b8581aed-a3cc-498a-9854-e2a7e3bf27eb.png.296x216.jpg
20190504,杨浦,黄兴公园,五角场商圈 全明户型 刚需 小户型 近地铁新上,225万,翔殷路491弄  | 1室1厅 | 36.1平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4b7e78d3-13df-49de-9301-52cb9256f8f2.jpg.296x216.jpg
20190504,杨浦,黄兴公园,控江四村 2室1厅 300万,300万,控江四村  | 2室1厅 | 50.62平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d5ff908e-18d2-4ec6-abe9-1a8eea725031.jpg.296x216.jpg
20190504,杨浦,黄兴公园,《钥匙房随时看》3楼双南好户型，值得对比，值得优选,290万,延吉二村  | 2室1厅 | 45.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4b5b3511-4447-4901-afe2-c61a9a3821c9.jpg.296x216.jpg
20190504,杨浦,黄兴公园,带天井，厨卫朝北全明，采光好通风好地铁口，全新装修,215万,延吉二村  | 1室1厅 | 32.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-225de1e7-aa10-4a63-919d-20961a9d2062.png.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一，南北通格局，高区采光好，配套齐全交通便利,1000万,海上硕和城  | 2室2厅 | 113.61平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ffb53b07-8461-4d8e-8b71-9801f926d2ac.jpg.296x216.jpg
20190504,杨浦,黄兴公园,延吉中路320弄 2室1厅 280万新上,280万,延吉中路320弄  | 2室1厅 | 51.14平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e2deca13-6f68-45f1-a54c-271683ab2320.png.296x216.jpg
20190504,杨浦,黄兴公园,2008年电梯房+东边套+地下车库+满五唯一,650万,东上海中心  | 3室2厅 | 101.15平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d81dae26-ff55-4c5f-b205-050adc76b227.jpg.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一无个.税++无抵押+带花园+居家精装房主自荐,760万,公园3000黄兴花园  | 2室2厅 | 102.78平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c25b5870-36c0-49e7-9dd6-8b7b8c77c3d0.jpg.296x216.jpg
20190504,杨浦,黄兴公园,真房源，南北两房，户型正气，户型通透，采光良好,345万,控江四村  | 2室2厅 | 70.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9aabcff6-f954-401a-9918-12d2e8cf8045.jpg.296x216.jpg
20190504,杨浦,黄兴公园,长白三村 1室1厅 180万,180万,长白三村  | 1室1厅 | 32.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9c51f427-af2f-4a06-a08b-606a61f1f496.png.296x216.jpg
20190504,杨浦,黄兴公园,满五唯一+二手买入+黄兴公园+不靠马路+诚意卖,960万,公园3000黄兴花园  | 3室2厅 | 138.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9598a50c-00bb-4d7e-b79f-5e08c52a125b.jpg.296x216.jpg
