20190504,宝山,张庙,共和小区,48483元/m2,22套在售二手房
20190504,宝山,张庙,呼玛一村,40966元/m2,32套在售二手房
20190504,宝山,张庙,呼玛三村,44461元/m2,24套在售二手房
20190504,宝山,张庙,呼玛二村,40595元/m2,28套在售二手房
20190504,宝山,张庙,通河一村,45339元/m2,13套在售二手房
20190504,宝山,张庙,民悦苑,47143元/m2,14套在售二手房
20190504,宝山,张庙,民主花园,46719元/m2,12套在售二手房
20190504,宝山,张庙,盛达家园,43302元/m2,26套在售二手房
20190504,宝山,张庙,泗塘四村,38694元/m2,18套在售二手房
20190504,宝山,张庙,昌鑫时代绿园,50016元/m2,7套在售二手房
20190504,宝山,张庙,共和八村,42398元/m2,9套在售二手房
20190504,宝山,张庙,泗塘三村,41734元/m2,13套在售二手房
20190504,宝山,张庙,呼玛五村,41964元/m2,18套在售二手房
20190504,宝山,张庙,共和三村,40573元/m2,12套在售二手房
20190504,宝山,张庙,呼玛四村,41387元/m2,16套在售二手房
20190504,宝山,张庙,泗塘八村,38132元/m2,11套在售二手房
20190504,宝山,张庙,泗塘五村,36728元/m2,19套在售二手房
20190504,宝山,张庙,三湘盛世花园,51168元/m2,5套在售二手房
20190504,宝山,张庙,共和五村,36635元/m2,5套在售二手房
20190504,宝山,张庙,泗塘二村,41892元/m2,17套在售二手房
20190504,宝山,张庙,城投世纪名城,48132元/m2,14套在售二手房
20190504,宝山,张庙,泗塘七村,38162元/m2,14套在售二手房
20190504,宝山,张庙,美树铭家,48377元/m2,9套在售二手房
20190504,宝山,张庙,泗塘一村,38715元/m2,21套在售二手房
20190504,宝山,张庙,金棠苑,44591元/m2,6套在售二手房
20190504,宝山,张庙,住嘉新苑,49229元/m2,4套在售二手房
20190504,宝山,张庙,富浩花园,45555元/m2,4套在售二手房
20190504,宝山,张庙,长江西路1160弄,39915元/m2,7套在售二手房
20190504,宝山,张庙,龙缘花园,50646元/m2,4套在售二手房
20190504,宝山,张庙,丽雅花园,48690元/m2,1套在售二手房
20190504,宝山,张庙,共和二村,32563元/m2,8套在售二手房
20190504,宝山,张庙,虎林路518弄,42568元/m2,3套在售二手房
20190504,宝山,张庙,岭南路1144号,暂无,0套在售二手房
20190504,宝山,张庙,通河路533弄4号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路229号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路596号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路497-499号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4757弄1-2号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路235号,暂无,0套在售二手房
20190504,宝山,张庙,长江西路1241号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路151号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4757弄6号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路485号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路483号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路247号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4719弄126号,暂无,0套在售二手房
20190504,宝山,张庙,长江西路1797-1799号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4757弄19号,暂无,0套在售二手房
20190504,宝山,张庙,共康东路189号,暂无,0套在售二手房
20190504,宝山,张庙,共康东路290号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路418号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路641-643号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路559号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路408号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路506号,暂无,0套在售二手房
20190504,宝山,张庙,岭南路1138号,暂无,0套在售二手房
20190504,宝山,张庙,爱辉路301号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路689,691,693号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路577号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路691号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路1000弄1号,暂无,0套在售二手房
20190504,宝山,张庙,通河路559号,暂无,0套在售二手房
20190504,宝山,张庙,岭南路1144号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路497-499号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路247号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4757弄6号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4757弄1-2号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路235号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路485号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路483号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路772号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路878弄122号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路85号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4757弄16号,暂无,0套在售二手房
20190504,宝山,张庙,共康东路315号,暂无,0套在售二手房
20190504,宝山,张庙,通河一村144号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路429号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路689,691,693号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路577号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路691号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路525号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路778号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路768号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路702号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路810号,暂无,0套在售二手房
20190504,宝山,张庙,岭南路1146号,暂无,0套在售二手房
20190504,宝山,张庙,岭南路1318号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路728弄8号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路684号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路409号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4739弄130号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路622号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路697号,暂无,0套在售二手房
20190504,宝山,张庙,岭南路1283号,暂无,0套在售二手房
20190504,宝山,张庙,长江西路1190号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路534号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路503号,暂无,0套在售二手房
20190504,宝山,张庙,共和新路4719弄125号乙,暂无,0套在售二手房
20190504,宝山,张庙,共江路185号,暂无,0套在售二手房
20190504,宝山,张庙,博济上海智汇园,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路601号,暂无,0套在售二手房
20190504,宝山,张庙,通河路504号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路679号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路649号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路201号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路113号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路641号,暂无,0套在售二手房
20190504,宝山,张庙,呼玛路766-768号,暂无,0套在售二手房
20190504,宝山,张庙,呼兰路699号,暂无,0套在售二手房
20190504,宝山,张庙,岭南路1302号,暂无,0套在售二手房
20190504,宝山,张庙,新陆大厦,暂无,0套在售二手房
20190504,宝山,张庙,长江西路1500号,39035元/m2,0套在售二手房
20190504,宝山,张庙,通河路533弄3号,暂无,0套在售二手房
20190504,宝山,张庙,爱辉路27弄3号,暂无,0套在售二手房
20190504,宝山,张庙,新普盛公寓,46799元/m2,1套在售二手房
20190504,宝山,张庙,虎林路75号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路800弄22号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路151号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路151号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路149号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路75号,暂无,0套在售二手房
20190504,宝山,张庙,虎林路800弄22号,暂无,0套在售二手房
20190504,宝山,张庙,爱辉路27弄3号,暂无,0套在售二手房
20190504,宝山,张庙,一二八纪念路782号,暂无,0套在售二手房
20190504,宝山,张庙,通田商住楼,53087元/m2,0套在售二手房
20190504,宝山,张庙,共和新路4739弄117号,暂无,0套在售二手房
20190504,宝山,张庙,珺乐苑,51163元/m2,0套在售二手房
20190504,宝山,张庙,一二八纪念路275-277号,暂无,0套在售二手房
20190504,宝山,张庙,锦辉豪居,46638元/m2,0套在售二手房
20190504,宝山,张庙,景华世纪园,45654元/m2,2套在售二手房
20190504,宝山,张庙,泗塘大厦,38726元/m2,3套在售二手房
20190504,宝山,张庙,共和四村,43053元/m2,2套在售二手房
20190504,宝山,张庙,爱迪苑,51255元/m2,1套在售二手房
20190504,宝山,张庙,岭南路1316号,暂无,0套在售二手房
