20190504,奉贤,奉城,紫苑小区,14524元/m2,26套在售二手房
20190504,奉贤,奉城,绿地风清苑,19801元/m2,14套在售二手房
20190504,奉贤,奉城,华盛新苑,16587元/m2,17套在售二手房
20190504,奉贤,奉城,车站新村(奉贤),16322元/m2,2套在售二手房
20190504,奉贤,奉城,东大村K区,11647元/m2,2套在售二手房
20190504,奉贤,奉城,中建公元名邸(别墅),15664元/m2,2套在售二手房
20190504,奉贤,奉城,头桥一区,暂无,0套在售二手房
20190504,奉贤,奉城,瓦洪公路3312号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街9号,14271元/m2,0套在售二手房
20190504,奉贤,奉城,水榭兰亭,暂无,0套在售二手房
20190504,奉贤,奉城,浦东路155号,暂无,0套在售二手房
20190504,奉贤,奉城,曙宏路12弄10号,暂无,0套在售二手房
20190504,奉贤,奉城,褚聚街4号,6090元/m2,0套在售二手房
20190504,奉贤,奉城,华盛佳园,暂无,0套在售二手房
20190504,奉贤,奉城,川南奉公路9458号,暂无,0套在售二手房
20190504,奉贤,奉城,洪中路123号,暂无,0套在售二手房
20190504,奉贤,奉城,悦城华庭,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街6号,暂无,0套在售二手房
20190504,奉贤,奉城,新奉公路2690号,暂无,0套在售二手房
20190504,奉贤,奉城,瓦洪公路3129号,暂无,0套在售二手房
20190504,奉贤,奉城,大庆西路117号,暂无,0套在售二手房
20190504,奉贤,奉城,人民路103弄,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街24号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街23号,暂无,0套在售二手房
20190504,奉贤,奉城,洪中路9号,暂无,0套在售二手房
20190504,奉贤,奉城,城大路189号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街33号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街15号,暂无,0套在售二手房
20190504,奉贤,奉城,协新路42号,暂无,0套在售二手房
20190504,奉贤,奉城,洪中路138号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街9号,14271元/m2,0套在售二手房
20190504,奉贤,奉城,奉馨园,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街45号,11606元/m2,0套在售二手房
20190504,奉贤,奉城,上海箱包城,暂无,0套在售二手房
20190504,奉贤,奉城,曙宏路12弄10号,暂无,0套在售二手房
20190504,奉贤,奉城,兰博路3072号,暂无,0套在售二手房
20190504,奉贤,奉城,华盛佳园,暂无,0套在售二手房
20190504,奉贤,奉城,褚聚街4号,6090元/m2,0套在售二手房
20190504,奉贤,奉城,瓦洪公路3312号,暂无,0套在售二手房
20190504,奉贤,奉城,浦东路155号,暂无,0套在售二手房
20190504,奉贤,奉城,头桥一区,暂无,0套在售二手房
20190504,奉贤,奉城,人民路103弄,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街24号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街6号,暂无,0套在售二手房
20190504,奉贤,奉城,西街2弄,暂无,0套在售二手房
20190504,奉贤,奉城,洪中路123号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街49号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街44号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街23号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街13号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街37号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街55号,暂无,0套在售二手房
20190504,奉贤,奉城,瓦洪公路3199号,暂无,0套在售二手房
20190504,奉贤,奉城,瓦洪公路3129号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街33号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街15号,暂无,0套在售二手房
20190504,奉贤,奉城,川南奉公路9458号,暂无,0套在售二手房
20190504,奉贤,奉城,协新路42号,暂无,0套在售二手房
20190504,奉贤,奉城,洪庙路169号,暂无,0套在售二手房
20190504,奉贤,奉城,洪新路21号,暂无,0套在售二手房
20190504,奉贤,奉城,洪新路23号,暂无,0套在售二手房
20190504,奉贤,奉城,洪新路22号,暂无,0套在售二手房
20190504,奉贤,奉城,南奉公路999弄40号,暂无,0套在售二手房
20190504,奉贤,奉城,上海箱包城,暂无,0套在售二手房
20190504,奉贤,奉城,洪中路138号,暂无,0套在售二手房
20190504,奉贤,奉城,水闸路14弄,暂无,0套在售二手房
20190504,奉贤,奉城,安全小区,暂无,0套在售二手房
20190504,奉贤,奉城,曙光新村(奉城),18939元/m2,0套在售二手房
20190504,奉贤,奉城,褚聚小区,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街59号,10948元/m2,0套在售二手房
20190504,奉贤,奉城,红旗路12弄,17341元/m2,0套在售二手房
20190504,奉贤,奉城,永昌新村,暂无,0套在售二手房
20190504,奉贤,奉城,兰博路1515、1539、1541号,暂无,0套在售二手房
20190504,奉贤,奉城,唐城街11号,暂无,0套在售二手房
20190504,奉贤,奉城,头桥东路498弄14号,暂无,0套在售二手房
20190504,奉贤,奉城,奉城东街341号,暂无,0套在售二手房
20190504,奉贤,奉城,奉城东街23弄,暂无,0套在售二手房
20190504,奉贤,奉城,盘龙小区(洪庙),11337元/m2,1套在售二手房
20190504,奉贤,奉城,佳源名人公馆,21057元/m2,1套在售二手房
20190504,奉贤,奉城,银欣花苑(奉贤),13131元/m2,1套在售二手房
20190504,奉贤,奉城,奉铭佳苑,19706元/m2,1套在售二手房
20190504,奉贤,奉城,四合加苑,24761元/m2,1套在售二手房
20190504,奉贤,奉城,城南丽景新苑,17879元/m2,1套在售二手房
20190504,奉贤,奉城,城大新村,16803元/m2,1套在售二手房
20190504,奉贤,奉城,龙达新苑,19901元/m2,2套在售二手房
20190504,奉贤,奉城,嘉安公寓,15742元/m2,1套在售二手房
20190504,奉贤,奉城,唐城街25弄,12179元/m2,1套在售二手房
20190504,奉贤,奉城,四合加苑,24761元/m2,1套在售二手房
20190504,奉贤,奉城,龙达新苑,19901元/m2,2套在售二手房
20190504,奉贤,奉城,唐城街25弄,12179元/m2,1套在售二手房
20190504,奉贤,奉城,申丰新村,11475元/m2,2套在售二手房
20190504,奉贤,奉城,竹园新村,15803元/m2,2套在售二手房
20190504,奉贤,奉城,大宅小区,17925元/m2,3套在售二手房
20190504,奉贤,奉城,洪南路214弄,12555元/m2,2套在售二手房
20190504,奉贤,奉城,娜欧佳苑,13287元/m2,1套在售二手房
20190504,奉贤,奉城,奉德苑,17899元/m2,5套在售二手房
20190504,奉贤,奉城,康碧苑,14959元/m2,5套在售二手房
20190504,奉贤,奉城,中建公元壹号(商业类),15664元/m2,1套在售二手房
20190504,奉贤,奉城,锦苑花园,13928元/m2,3套在售二手房
20190504,奉贤,奉城,新城花屿湾,26831元/m2,5套在售二手房
