20190504,嘉定,外冈,外冈佳苑,23384元/m2,20套在售二手房
20190504,嘉定,外冈,上海院子,34088元/m2,21套在售二手房
20190504,嘉定,外冈,外冈新苑,19247元/m2,32套在售二手房
20190504,嘉定,外冈,上海庄园三期,25946元/m2,37套在售二手房
20190504,嘉定,外冈,富兴华庭,23068元/m2,4套在售二手房
20190504,嘉定,外冈,兰郡九里澜溪谷,27894元/m2,11套在售二手房
20190504,嘉定,外冈,顺驰兰郡名苑,26095元/m2,19套在售二手房
20190504,嘉定,外冈,新街二村,暂无,0套在售二手房
20190504,嘉定,外冈,外冈景苑,暂无,0套在售二手房
20190504,嘉定,外冈,锦园新村,暂无,0套在售二手房
20190504,嘉定,外冈,兰郡九里,14121元/m2,0套在售二手房
20190504,嘉定,外冈,嘉定外冈镇,暂无,0套在售二手房
20190504,嘉定,外冈,祁昌路122号,暂无,0套在售二手房
20190504,嘉定,外冈,嘉松北路344号,暂无,0套在售二手房
20190504,嘉定,外冈,沪宜公路5688弄6号,暂无,0套在售二手房
20190504,嘉定,外冈,广由新村,暂无,0套在售二手房
20190504,嘉定,外冈,宝钱公路5000弄421号,暂无,0套在售二手房
20190504,嘉定,外冈,施晋村191号,暂无,0套在售二手房
20190504,嘉定,外冈,宝钱公路5000弄239号,暂无,0套在售二手房
20190504,嘉定,外冈,宝钱公路5000弄50号,暂无,0套在售二手房
20190504,嘉定,外冈,望安路668号,暂无,0套在售二手房
20190504,嘉定,外冈,祁昌路350弄53号,暂无,0套在售二手房
20190504,嘉定,外冈,河畔艺墅(别墅),27617元/m2,2套在售二手房
20190504,嘉定,外冈,外冈五金城,暂无,0套在售二手房
20190504,嘉定,外冈,上海五金城,暂无,0套在售二手房
20190504,嘉定,外冈,外冈壹号,25535元/m2,2套在售二手房
20190504,嘉定,外冈,冈峰新苑,18018元/m2,3套在售二手房
20190504,嘉定,外冈,祁昌路135弄,21530元/m2,2套在售二手房
20190504,嘉定,外冈,河畔艺墅(公寓),24772元/m2,6套在售二手房
