20190504,浦东,万祥镇,凯德新视界(一期),21104元/m2,26套在售二手房
20190504,浦东,万祥镇,万祥馨苑,16153元/m2,6套在售二手房
20190504,浦东,万祥镇,祥安兰苑,16611元/m2,3套在售二手房
20190504,浦东,万祥镇,凯德新视界(二期),21052元/m2,4套在售二手房
20190504,浦东,万祥镇,三三公路1432号,暂无,0套在售二手房
20190504,浦东,万祥镇,茂盛路51号,暂无,0套在售二手房
20190504,浦东,万祥镇,三三公路1490号,暂无,0套在售二手房
20190504,浦东,万祥镇,祥安路159号,暂无,0套在售二手房
20190504,浦东,万祥镇,海滨新二村(浦东),暂无,0套在售二手房
20190504,浦东,万祥镇,茂盛路47号,暂无,0套在售二手房
20190504,浦东,万祥镇,颐景园·江南院,暂无,0套在售二手房
20190504,浦东,万祥镇,三三公路1500号,暂无,0套在售二手房
20190504,浦东,万祥镇,三三公路1498号,暂无,0套在售二手房
20190504,浦东,万祥镇,万和路58号,暂无,0套在售二手房
20190504,浦东,万祥镇,紫丁香花园,28441元/m2,2套在售二手房
20190504,浦东,万祥镇,祥安竹苑,17279元/m2,2套在售二手房
20190504,浦东,万祥镇,祥安菊苑,17681元/m2,4套在售二手房
20190504,浦东,万祥镇,万祥兴隆苑,18738元/m2,2套在售二手房
20190504,浦东,万祥镇,祥安梅苑,19113元/m2,3套在售二手房
