20190504,浦东,潍坊,潍坊九村,100696元/m2,43套在售二手房
20190504,浦东,潍坊,潍坊十村,95183元/m2,31套在售二手房
20190504,浦东,潍坊,繁荣昌盛,76048元/m2,6套在售二手房
20190504,浦东,潍坊,潍坊六村,103389元/m2,15套在售二手房
20190504,浦东,潍坊,朱家滩小区,107127元/m2,24套在售二手房
20190504,浦东,潍坊,泉东小区,113826元/m2,11套在售二手房
20190504,浦东,潍坊,潍坊七村,95277元/m2,12套在售二手房
20190504,浦东,潍坊,潍坊八村,73694元/m2,25套在售二手房
20190504,浦东,潍坊,开发浦东,82979元/m2,13套在售二手房
20190504,浦东,潍坊,东欣小区,90386元/m2,12套在售二手房
20190504,浦东,潍坊,泉东(二)小区,110401元/m2,22套在售二手房
20190504,浦东,潍坊,潍坊四村,69028元/m2,31套在售二手房
20190504,浦东,潍坊,潍坊二村,68826元/m2,31套在售二手房
20190504,浦东,潍坊,兴业嘉园,62112元/m2,4套在售二手房
20190504,浦东,潍坊,竹南小区,79428元/m2,4套在售二手房
20190504,浦东,潍坊,潍坊五村,70109元/m2,5套在售二手房
20190504,浦东,潍坊,潍坊三村,68913元/m2,19套在售二手房
20190504,浦东,潍坊,华飞公寓,68916元/m2,1套在售二手房
20190504,浦东,潍坊,爱法珑庭,87500元/m2,1套在售二手房
20190504,浦东,潍坊,潍坊一村,72714元/m2,12套在售二手房
20190504,浦东,潍坊,王家宅小区,68675元/m2,9套在售二手房
20190504,浦东,潍坊,阜兴世纪公馆,77689元/m2,3套在售二手房
20190504,浦东,潍坊,嘉德公寓,64136元/m2,2套在售二手房
20190504,浦东,潍坊,爵士大厦,64636元/m2,6套在售二手房
20190504,浦东,潍坊,东建新村,57197元/m2,10套在售二手房
20190504,浦东,潍坊,新明大楼,96502元/m2,2套在售二手房
20190504,浦东,潍坊,新光大楼,91636元/m2,5套在售二手房
20190504,浦东,潍坊,众城公寓,57113元/m2,5套在售二手房
20190504,浦东,潍坊,南泉大楼,66429元/m2,5套在售二手房
20190504,浦东,潍坊,明城花苑,53232元/m2,0套在售二手房
20190504,浦东,潍坊,崂山路633号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山路684号,暂无,0套在售二手房
20190504,浦东,潍坊,东方路918号,暂无,0套在售二手房
20190504,浦东,潍坊,浦东南路1607号,暂无,0套在售二手房
20190504,浦东,潍坊,宏嘉大厦,暂无,0套在售二手房
20190504,浦东,潍坊,陆家嘴商务广场,暂无,0套在售二手房
20190504,浦东,潍坊,可意居,暂无,0套在售二手房
20190504,浦东,潍坊,浦电路318号,暂无,0套在售二手房
20190504,浦东,潍坊,左岸88,暂无,0套在售二手房
20190504,浦东,潍坊,中星酒店公寓,暂无,0套在售二手房
20190504,浦东,潍坊,中融世纪广场,暂无,0套在售二手房
20190504,浦东,潍坊,浦电路321号,暂无,0套在售二手房
20190504,浦东,潍坊,浦东南路1289号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山路555号,暂无,0套在售二手房
20190504,浦东,潍坊,张杨路640号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山路700号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山东路585号,暂无,0套在售二手房
20190504,浦东,潍坊,浦电路122号,暂无,0套在售二手房
20190504,浦东,潍坊,福山路517号,暂无,0套在售二手房
20190504,浦东,潍坊,张杨路620号,暂无,0套在售二手房
20190504,浦东,潍坊,潍坊路198号,暂无,0套在售二手房
20190504,浦东,潍坊,潍坊路67号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山路617号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山路551弄11号,暂无,0套在售二手房
20190504,浦东,潍坊,崂山路610号,暂无,0套在售二手房
20190504,浦东,潍坊,浦电路258号,暂无,0套在售二手房
20190504,浦东,潍坊,浦电路242号,暂无,0套在售二手房
20190504,浦东,潍坊,南泉北路1032号,暂无,0套在售二手房
20190504,浦东,潍坊,潍坊路172-200号,暂无,0套在售二手房
20190504,浦东,潍坊,东方大厦,暂无,0套在售二手房
20190504,浦东,潍坊,新天国际大厦,暂无,0套在售二手房
20190504,浦东,潍坊,四方通讯大厦,暂无,0套在售二手房
20190504,浦东,潍坊,中电大厦,暂无,0套在售二手房
20190504,浦东,潍坊,张杨路588号,暂无,0套在售二手房
20190504,浦东,潍坊,南泉北路1054号,暂无,0套在售二手房
20190504,浦东,潍坊,明城花苑,53232元/m2,0套在售二手房
20190504,浦东,潍坊,裕安大厦,暂无,0套在售二手房
20190504,浦东,潍坊,同盛大厦,暂无,0套在售二手房
20190504,浦东,潍坊,嘉兴大厦,暂无,0套在售二手房
20190504,浦东,潍坊,中达广场,暂无,0套在售二手房
20190504,浦东,潍坊,钱江大厦,暂无,0套在售二手房
20190504,浦东,潍坊,一百杉杉大厦,暂无,0套在售二手房
20190504,浦东,潍坊,双鸽大厦,暂无,0套在售二手房
20190504,浦东,潍坊,紫金瀚宫,暂无,0套在售二手房
20190504,浦东,潍坊,华融大厦,暂无,0套在售二手房
20190504,浦东,潍坊,生命人寿大厦,暂无,0套在售二手房
20190504,浦东,潍坊,宝安大厦,暂无,0套在售二手房
20190504,浦东,潍坊,东方国际科技大厦,暂无,0套在售二手房
20190504,浦东,潍坊,华飞公寓,68916元/m2,1套在售二手房
20190504,浦东,潍坊,东旅大厦,暂无,0套在售二手房
20190504,浦东,潍坊,锦城大厦,64221元/m2,6套在售二手房
20190504,浦东,潍坊,嘉德公寓,64136元/m2,2套在售二手房
20190504,浦东,潍坊,新明大楼,96502元/m2,2套在售二手房
20190504,浦东,潍坊,北高大楼,74146元/m2,3套在售二手房
20190504,浦东,潍坊,爵士大厦,64636元/m2,6套在售二手房
20190504,浦东,潍坊,兴业嘉园,62112元/m2,4套在售二手房
