20190504,浦东,御桥,绿洲康城亲水湾(东区),49871元/m2,18套在售二手房
20190504,浦东,御桥,绿洲康城亲水湾(中央区),50628元/m2,40套在售二手房
20190504,浦东,御桥,锦绣华都,48999元/m2,22套在售二手房
20190504,浦东,御桥,御桥花园,56509元/m2,25套在售二手房
20190504,浦东,御桥,地杰国际城E欧泊时光,61495元/m2,12套在售二手房
20190504,浦东,御桥,万科金色城市,76965元/m2,8套在售二手房
20190504,浦东,御桥,万科海上传奇,73371元/m2,7套在售二手房
20190504,浦东,御桥,万科海上传奇(三期),74148元/m2,2套在售二手房
20190504,浦东,御桥,和合新村,51353元/m2,12套在售二手房
20190504,浦东,御桥,康桥花园,39697元/m2,41套在售二手房
20190504,浦东,御桥,百舸馨苑,44537元/m2,8套在售二手房
20190504,浦东,御桥,地杰国际城D街坊,52488元/m2,1套在售二手房
20190504,浦东,御桥,罗山绿洲,69258元/m2,6套在售二手房
20190504,浦东,御桥,康桥华庭,61303元/m2,1套在售二手房
20190504,浦东,御桥,御桥馨华苑,56878元/m2,3套在售二手房
20190504,浦东,御桥,京浦小区,54127元/m2,10套在售二手房
20190504,浦东,御桥,明纶园,43973元/m2,8套在售二手房
20190504,浦东,御桥,绿地御桥苑,58672元/m2,4套在售二手房
20190504,浦东,御桥,康馨花园,37968元/m2,6套在售二手房
20190504,浦东,御桥,地杰国际城F欧香四季,65528元/m2,7套在售二手房
20190504,浦东,御桥,经典花园(别墅),62319元/m2,7套在售二手房
20190504,浦东,御桥,民康苑,56307元/m2,2套在售二手房
20190504,浦东,御桥,东方御水湾,64975元/m2,1套在售二手房
20190504,浦东,御桥,仁和都市花园,67927元/m2,4套在售二手房
20190504,浦东,御桥,绿洲康城亲水湾(西区),52260元/m2,2套在售二手房
20190504,浦东,御桥,绿洲康城金帝豪苑,69108元/m2,4套在售二手房
20190504,浦东,御桥,建华铂中环,52381元/m2,11套在售二手房
20190504,浦东,御桥,人和新村,44032元/m2,1套在售二手房
20190504,浦东,御桥,民乐路1弄11号,暂无,0套在售二手房
20190504,浦东,御桥,颐盛御中环,暂无,0套在售二手房
20190504,浦东,御桥,康杉路628号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1172号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1233号,暂无,0套在售二手房
20190504,浦东,御桥,康意路499号,暂无,0套在售二手房
20190504,浦东,御桥,康杉路614号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1588号,暂无,0套在售二手房
20190504,浦东,御桥,御桥路1992号,暂无,0套在售二手房
20190504,浦东,御桥,御青路287号,暂无,0套在售二手房
20190504,浦东,御桥,康杉路612号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1166弄12号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1269号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1388弄23号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1598号,暂无,0套在售二手房
20190504,浦东,御桥,御桥路1990号,暂无,0套在售二手房
20190504,浦东,御桥,京浦路322号,暂无,0套在售二手房
20190504,浦东,御桥,康士路5号,暂无,0套在售二手房
20190504,浦东,御桥,康士路212号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1166号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1388弄1510号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1566号,暂无,0套在售二手房
20190504,浦东,御桥,康桥1659号,暂无,0套在售二手房
20190504,浦东,御桥,沪南公路2587号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1632号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1600号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1438号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1610号,暂无,0套在售二手房
20190504,浦东,御桥,御青路100号,暂无,0套在售二手房
20190504,浦东,御桥,康杉路56-58号,暂无,0套在售二手房
20190504,浦东,御桥,御青路315号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1566号,暂无,0套在售二手房
20190504,浦东,御桥,康桥1659号,暂无,0套在售二手房
20190504,浦东,御桥,沪南公路2587号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1632号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1600号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1438号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1610号,暂无,0套在售二手房
20190504,浦东,御桥,御青路100号,暂无,0套在售二手房
20190504,浦东,御桥,康杉路56-58号,暂无,0套在售二手房
20190504,浦东,御桥,御青路315号,暂无,0套在售二手房
20190504,浦东,御桥,御青路311号,暂无,0套在售二手房
20190504,浦东,御桥,御青路317号,暂无,0套在售二手房
20190504,浦东,御桥,御青路313号,暂无,0套在售二手房
20190504,浦东,御桥,建华铂中环(商铺),暂无,0套在售二手房
20190504,浦东,御桥,康桥路1223号,暂无,0套在售二手房
20190504,浦东,御桥,京浦路312号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1183号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1550号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1215号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1605号,暂无,0套在售二手房
20190504,浦东,御桥,康杉路622号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1603号,暂无,0套在售二手房
20190504,浦东,御桥,康桥永乐街,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1476号,暂无,0套在售二手房
20190504,浦东,御桥,康桥路1235号,暂无,0套在售二手房
20190504,浦东,御桥,复地万科活力城,暂无,0套在售二手房
20190504,浦东,御桥,京浦路266号,暂无,0套在售二手房
20190504,浦东,御桥,康桥阳光大厦,暂无,0套在售二手房
20190504,浦东,御桥,御桥路270弄12号,暂无,0套在售二手房
20190504,浦东,御桥,绿洲康城金邸,暂无,1套在售二手房
