20190504,普陀,光新,太浜巷小区,57848元/m2,32套在售二手房
20190504,普陀,光新,石泉一村,51356元/m2,10套在售二手房
20190504,普陀,光新,嘉富利大厦,58644元/m2,12套在售二手房
20190504,普陀,光新,香溢花城(住宅),78617元/m2,30套在售二手房
20190504,普陀,光新,管弄四街坊,53533元/m2,9套在售二手房
20190504,普陀,光新,管弄五六街坊,52353元/m2,21套在售二手房
20190504,普陀,光新,岚皋大楼,63109元/m2,9套在售二手房
20190504,普陀,光新,石泉五村,51568元/m2,4套在售二手房
20190504,普陀,光新,光新大楼,61343元/m2,7套在售二手房
20190504,普陀,光新,管弄一二街坊,55264元/m2,9套在售二手房
20190504,普陀,光新,秋月枫舍,78280元/m2,19套在售二手房
20190504,普陀,光新,石一小区,49700元/m2,6套在售二手房
20190504,普陀,光新,中山北路2165弄,58628元/m2,4套在售二手房
20190504,普陀,光新,管弄三街坊,56560元/m2,14套在售二手房
20190504,普陀,光新,岚皋路300弄,51719元/m2,2套在售二手房
20190504,普陀,光新,中山北路2185弄,57160元/m2,9套在售二手房
20190504,普陀,光新,石泉路1号,54879元/m2,3套在售二手房
20190504,普陀,光新,石泉大厦,50744元/m2,5套在售二手房
20190504,普陀,光新,光新路129弄,57824元/m2,5套在售二手房
20190504,普陀,光新,平民后村,55603元/m2,6套在售二手房
20190504,普陀,光新,童家桥小区,54007元/m2,5套在售二手房
20190504,普陀,光新,铁路新村(华池路),57339元/m2,2套在售二手房
20190504,普陀,光新,石泉苑,55836元/m2,6套在售二手房
20190504,普陀,光新,宝钢公寓,51034元/m2,3套在售二手房
20190504,普陀,光新,月亮湾,36789元/m2,2套在售二手房
20190504,普陀,光新,光新路430弄,51500元/m2,2套在售二手房
20190504,普陀,光新,大隆花苑,49524元/m2,5套在售二手房
20190504,普陀,光新,石泉邮政大楼,61372元/m2,3套在售二手房
20190504,普陀,光新,石光小区,57716元/m2,7套在售二手房
20190504,普陀,光新,旬阳路338号,暂无,0套在售二手房
20190504,普陀,光新,岚皋路300弄,51719元/m2,2套在售二手房
20190504,普陀,光新,石泉小区,58280元/m2,2套在售二手房
20190504,普陀,光新,石泉路1号,54879元/m2,3套在售二手房
20190504,普陀,光新,中山北路2165弄,58628元/m2,4套在售二手房
20190504,普陀,光新,农林小区,54722元/m2,2套在售二手房
20190504,普陀,光新,城公大厦,54835元/m2,5套在售二手房
20190504,普陀,光新,童家桥小区,54007元/m2,5套在售二手房
20190504,普陀,光新,新华源公寓,56044元/m2,1套在售二手房
20190504,普陀,光新,岚皋路230弄,暂无,0套在售二手房
20190504,普陀,光新,万千公寓,67782元/m2,2套在售二手房
20190504,普陀,光新,一品国际,暂无,3套在售二手房
20190504,普陀,光新,香溢天地官邸,暂无,0套在售二手房
20190504,普陀,光新,旬阳新村,60641元/m2,2套在售二手房
20190504,普陀,光新,铁路新村(华池路),57339元/m2,2套在售二手房
20190504,普陀,光新,浦发广场,暂无,0套在售二手房
20190504,普陀,光新,石泉路75弄,63006元/m2,0套在售二手房
20190504,普陀,光新,石泉路140弄,暂无,1套在售二手房
20190504,普陀,光新,石泉路180弄,48535元/m2,0套在售二手房
20190504,普陀,光新,旬阳路342号,暂无,0套在售二手房
20190504,普陀,光新,华源世界广场,暂无,0套在售二手房
20190504,普陀,光新,石泉东路168弄22号,暂无,0套在售二手房
20190504,普陀,光新,光新路230弄,暂无,0套在售二手房
20190504,普陀,光新,中山北路2139弄76，78号,暂无,0套在售二手房
20190504,普陀,光新,中一国际,暂无,0套在售二手房
20190504,普陀,光新,中山北路2139弄56号,暂无,0套在售二手房
20190504,普陀,光新,中山北路2139弄52号,暂无,0套在售二手房
20190504,普陀,光新,中期大厦,暂无,0套在售二手房
20190504,普陀,光新,旬阳路340号,暂无,0套在售二手房
20190504,普陀,光新,石泉东路82号,暂无,0套在售二手房
20190504,普陀,光新,旬阳路338号,暂无,0套在售二手房
20190504,普陀,光新,华池路15号,56893元/m2,0套在售二手房
20190504,普陀,光新,旬阳路340号,暂无,0套在售二手房
20190504,普陀,光新,石泉东路82号,暂无,0套在售二手房
20190504,普陀,光新,镇坪路81弄34号,暂无,0套在售二手房
20190504,普陀,光新,中山北路2165弄7号,暂无,0套在售二手房
20190504,普陀,光新,中山北路1759号,暂无,0套在售二手房
20190504,普陀,光新,管弄路6号,暂无,0套在售二手房
20190504,普陀,光新,管弄路2号,暂无,0套在售二手房
20190504,普陀,光新,光新路405号,暂无,0套在售二手房
20190504,普陀,光新,光新路211号,暂无,0套在售二手房
20190504,普陀,光新,光新路431号甲,暂无,0套在售二手房
20190504,普陀,光新,岚皋路98号,暂无,0套在售二手房
20190504,普陀,光新,中山北路2139号,暂无,0套在售二手房
20190504,普陀,光新,石泉路66号,暂无,0套在售二手房
20190504,普陀,光新,旬阳路226号,暂无,0套在售二手房
20190504,普陀,光新,镇坪路184号,暂无,0套在售二手房
20190504,普陀,光新,镇坪路13号,暂无,0套在售二手房
20190504,普陀,光新,中山北路1545号,暂无,0套在售二手房
20190504,普陀,光新,石泉路134号,暂无,0套在售二手房
20190504,普陀,光新,旬阳路348号,暂无,0套在售二手房
20190504,普陀,光新,岚皋路74号,暂无,0套在售二手房
20190504,普陀,光新,中山北路1529号,暂无,0套在售二手房
20190504,普陀,光新,石泉东路132号,暂无,0套在售二手房
20190504,普陀,光新,石泉东路80号,暂无,0套在售二手房
20190504,普陀,光新,旬阳路346号,暂无,0套在售二手房
20190504,普陀,光新,华池路58弄2号,暂无,0套在售二手房
20190504,普陀,光新,农林路201弄,暂无,0套在售二手房
20190504,普陀,光新,石泉路81弄,暂无,0套在售二手房
20190504,普陀,光新,华池路311弄,暂无,0套在售二手房
20190504,普陀,光新,华池路58弄2号,暂无,0套在售二手房
20190504,普陀,光新,中山北路2139弄62号,暂无,0套在售二手房
20190504,普陀,光新,中山北路1563号,暂无,0套在售二手房
20190504,普陀,光新,中山北路1633、1643号,暂无,0套在售二手房
20190504,普陀,光新,岚皋路74号,暂无,0套在售二手房
20190504,普陀,光新,旬阳路226号,暂无,0套在售二手房
20190504,普陀,光新,石泉东路168弄68号,暂无,0套在售二手房
20190504,普陀,光新,香溢花城(商铺),暂无,0套在售二手房
20190504,普陀,光新,石泉东路180号,暂无,0套在售二手房
20190504,普陀,光新,飞洲时代大厦,暂无,0套在售二手房
