20190504,青浦,重固,逸皓华庭(公寓),26247元/m2,6套在售二手房
20190504,青浦,重固,现代华庭(公寓),26699元/m2,7套在售二手房
20190504,青浦,重固,夏阳金城,26445元/m2,8套在售二手房
20190504,青浦,重固,福泉二村,暂无,0套在售二手房
20190504,青浦,重固,福泉山路401弄,暂无,0套在售二手房
20190504,青浦,重固,新里波洛克公馆,暂无,0套在售二手房
20190504,青浦,重固,福泉山路425弄,暂无,0套在售二手房
20190504,青浦,重固,陈华港小区,暂无,0套在售二手房
20190504,青浦,重固,万科红,暂无,0套在售二手房
20190504,青浦,重固,赵重公路2777弄19号,暂无,0套在售二手房
20190504,青浦,重固,万事发公寓,暂无,0套在售二手房
20190504,青浦,重固,重固镇路508号,暂无,0套在售二手房
20190504,青浦,重固,福中路315弄,暂无,0套在售二手房
20190504,青浦,重固,福中路298号,暂无,0套在售二手房
20190504,青浦,重固,赵重公路2777号,暂无,0套在售二手房
20190504,青浦,重固,佳兆业君汇上品,暂无,0套在售二手房
20190504,青浦,重固,西郊商业领岸(商铺),暂无,0套在售二手房
20190504,青浦,重固,重固大街588号,暂无,0套在售二手房
20190504,青浦,重固,福中路235弄,26718元/m2,0套在售二手房
20190504,青浦,重固,北青公路6388号,暂无,0套在售二手房
20190504,青浦,重固,福泉山路95号,暂无,0套在售二手房
20190504,青浦,重固,摩登蜂巢,27531元/m2,0套在售二手房
20190504,青浦,重固,重固新世纪商业广场,暂无,0套在售二手房
20190504,青浦,重固,福泉山路111弄,暂无,0套在售二手房
20190504,青浦,重固,康博佳苑,24739元/m2,2套在售二手房
20190504,青浦,重固,重固镇大街857弄,27237元/m2,1套在售二手房
20190504,青浦,重固,金城上品(公寓),26675元/m2,3套在售二手房
20190504,青浦,重固,福定路386弄,暂无,1套在售二手房
20190504,青浦,重固,万科尚景苑(别墅),35007元/m2,7套在售二手房
20190504,青浦,重固,万科尚源(公寓),34166元/m2,9套在售二手房
20190504,青浦,重固,西郊商业领岸(商铺),暂无,0套在售二手房
20190504,青浦,重固,重固大街588号,暂无,0套在售二手房
20190504,青浦,重固,福泉山路95号,暂无,0套在售二手房
20190504,青浦,重固,北青公路6388号,暂无,0套在售二手房
20190504,青浦,重固,福泉山路111弄,暂无,0套在售二手房
20190504,青浦,重固,重固新世纪商业广场,暂无,0套在售二手房
