20190504,青浦,华新,欣乐苑,31367元/m2,18套在售二手房
20190504,青浦,华新,徐泾北城欣沁苑,31826元/m2,9套在售二手房
20190504,青浦,华新,西郊半岛名苑,33368元/m2,29套在售二手房
20190504,青浦,华新,瑞和锦庭-东区,31332元/m2,11套在售二手房
20190504,青浦,华新,瑞和锦庭-西区,32813元/m2,5套在售二手房
20190504,青浦,华新,星尚湾名邸,35671元/m2,13套在售二手房
20190504,青浦,华新,海棠馨苑,暂无,1套在售二手房
20190504,青浦,华新,虹桥宝龙城,35181元/m2,11套在售二手房
20190504,青浦,华新,新华联奥莱悦府,52396元/m2,4套在售二手房
20190504,青浦,华新,新丰公寓,29567元/m2,8套在售二手房
20190504,青浦,华新,徐泾北城馨浦苑,暂无,0套在售二手房
20190504,青浦,华新,梦里水乡,24955元/m2,3套在售二手房
20190504,青浦,华新,金瑞苑,25744元/m2,1套在售二手房
20190504,青浦,华新,绿地逸湾,33840元/m2,2套在售二手房
20190504,青浦,华新,瑞和明庭,暂无,0套在售二手房
20190504,青浦,华新,春江三月公寓,30799元/m2,0套在售二手房
20190504,青浦,华新,公园小区,23630元/m2,0套在售二手房
20190504,青浦,华新,绿地英伦墅,31888元/m2,0套在售二手房
20190504,青浦,华新,兆地尊庭,34703元/m2,1套在售二手房
20190504,青浦,华新,华强景苑,29774元/m2,1套在售二手房
20190504,青浦,华新,新大洲华庭苑,32575元/m2,2套在售二手房
20190504,青浦,华新,华新街665弄,暂无,1套在售二手房
20190504,青浦,华新,华腾苑,暂无,0套在售二手房
20190504,青浦,华新,三友星墅(公寓),27949元/m2,1套在售二手房
20190504,青浦,华新,华志路903弄,35986元/m2,2套在售二手房
20190504,青浦,华新,新大洲华新家苑,31670元/m2,1套在售二手房
20190504,青浦,华新,三友星墅(别墅),31643元/m2,0套在售二手房
20190504,青浦,华新,华新街418弄,34705元/m2,0套在售二手房
20190504,青浦,华新,华富公寓(公寓),26100元/m2,1套在售二手房
20190504,青浦,华新,凤阁路999弄,暂无,0套在售二手房
20190504,青浦,华新,华新街650弄,26909元/m2,0套在售二手房
20190504,青浦,华新,纪鹤公路2638弄,22529元/m2,0套在售二手房
20190504,青浦,华新,凤强塘路1120弄,暂无,0套在售二手房
20190504,青浦,华新,新苗路28弄,暂无,0套在售二手房
20190504,青浦,华新,华志路559弄,暂无,0套在售二手房
20190504,青浦,华新,华志路901号,暂无,0套在售二手房
20190504,青浦,华新,E通世界商务园华新园,暂无,0套在售二手房
20190504,青浦,华新,新府北路48弄,暂无,0套在售二手房
20190504,青浦,华新,凤星路1545号,暂无,0套在售二手房
20190504,青浦,华新,新风中路555号,暂无,0套在售二手房
20190504,青浦,华新,凤中路338号,暂无,0套在售二手房
20190504,青浦,华新,凤星路1096号,暂无,0套在售二手房
20190504,青浦,华新,瑞和明庭,暂无,0套在售二手房
20190504,青浦,华新,新凤路185号,暂无,0套在售二手房
20190504,青浦,华新,凤星路1304弄,暂无,0套在售二手房
20190504,青浦,华新,凤星路1068弄,暂无,0套在售二手房
20190504,青浦,华新,凤都大楼,暂无,0套在售二手房
20190504,青浦,华新,新苗路147号,暂无,0套在售二手房
20190504,青浦,华新,新凤中路466号,暂无,0套在售二手房
20190504,青浦,华新,华秀路185号,暂无,0套在售二手房
20190504,青浦,华新,华腾路885号,暂无,0套在售二手房
20190504,青浦,华新,凤中路333号,暂无,0套在售二手房
20190504,青浦,华新,凤星路1161弄,暂无,0套在售二手房
20190504,青浦,华新,陆象村,暂无,0套在售二手房
20190504,青浦,华新,徐谢小区,暂无,0套在售二手房
20190504,青浦,华新,民兴路90号,暂无,0套在售二手房
20190504,青浦,华新,华富街252号,暂无,0套在售二手房
20190504,青浦,华新,凤星路1469弄,暂无,0套在售二手房
20190504,青浦,华新,杨家庄村,暂无,0套在售二手房
20190504,青浦,华新,华志路903弄,35986元/m2,2套在售二手房
20190504,青浦,华新,华强景苑,29774元/m2,1套在售二手房
20190504,青浦,华新,华新街665弄,暂无,1套在售二手房
20190504,青浦,华新,华富公寓(公寓),26100元/m2,1套在售二手房
20190504,青浦,华新,绿地逸湾,33840元/m2,2套在售二手房
20190504,青浦,华新,新大洲华新家苑,31670元/m2,1套在售二手房
20190504,青浦,华新,三友星墅(公寓),27949元/m2,1套在售二手房
20190504,青浦,华新,梦里水乡,24955元/m2,3套在售二手房
20190504,青浦,华新,新大洲华庭苑,32575元/m2,2套在售二手房
20190504,青浦,华新,兆地尊庭,34703元/m2,1套在售二手房
20190504,青浦,华新,金瑞苑,25744元/m2,1套在售二手房
