20190504,松江,佘山,江秋新苑(公寓),23487元/m2,26套在售二手房
20190504,松江,佘山,紫都上海晶园,57143元/m2,18套在售二手房
20190504,松江,佘山,绿地海珀佘山,38069元/m2,20套在售二手房
20190504,松江,佘山,佘山3号,33171元/m2,22套在售二手房
20190504,松江,佘山,陈坊新苑,26118元/m2,13套在售二手房
20190504,松江,佘山,天马高尔夫别墅,37765元/m2,16套在售二手房
20190504,松江,佘山,恒大佘山首府,37936元/m2,21套在售二手房
20190504,松江,佘山,佘山家园,25824元/m2,18套在售二手房
20190504,松江,佘山,翠鑫苑,25204元/m2,19套在售二手房
20190504,松江,佘山,新城上坤樾山璟里,45078元/m2,8套在售二手房
20190504,松江,佘山,江秋新苑(别墅),21538元/m2,3套在售二手房
20190504,松江,佘山,佘山月湖山庄,52320元/m2,11套在售二手房
20190504,松江,佘山,佘山新苑,27562元/m2,5套在售二手房
20190504,松江,佘山,佘山假日半岛,18259元/m2,9套在售二手房
20190504,松江,佘山,上海紫园,81625元/m2,5套在售二手房
20190504,松江,佘山,佘山翠庭,25232元/m2,6套在售二手房
20190504,松江,佘山,世茂纳米魔幻城,27124元/m2,9套在售二手房
20190504,松江,佘山,佘北家园榆叶苑,暂无,0套在售二手房
20190504,松江,佘山,佘北家园铃兰苑,暂无,0套在售二手房
20190504,松江,佘山,佘北家园结香苑,暂无,0套在售二手房
20190504,松江,佘山,桃源路132,暂无,0套在售二手房
20190504,松江,佘山,佘北家园茸腾苑,暂无,0套在售二手房
20190504,松江,佘山,外青松公路6弄,暂无,0套在售二手房
20190504,松江,佘山,佘苑园,28571元/m2,0套在售二手房
20190504,松江,佘山,佘北家园梧桐苑,暂无,0套在售二手房
20190504,松江,佘山,西霞路12弄,暂无,0套在售二手房
20190504,松江,佘山,百鸟苑,暂无,0套在售二手房
20190504,松江,佘山,西霞路61号,暂无,0套在售二手房
20190504,松江,佘山,西霞路63号,暂无,0套在售二手房
20190504,松江,佘山,西霞路25号,暂无,0套在售二手房
20190504,松江,佘山,佘北家园茸腾苑,暂无,0套在售二手房
20190504,松江,佘山,渔洋苑,暂无,0套在售二手房
20190504,松江,佘山,玲珑华府,86916元/m2,0套在售二手房
20190504,松江,佘山,佘北家园紫鹃苑,暂无,0套在售二手房
20190504,松江,佘山,佘苑园,28571元/m2,0套在售二手房
20190504,松江,佘山,佘北家园结香苑,暂无,0套在售二手房
20190504,松江,佘山,翠谷小区,暂无,0套在售二手房
20190504,松江,佘山,庄泾苑,27156元/m2,2套在售二手房
20190504,松江,佘山,佘北家园竹青苑,暂无,0套在售二手房
20190504,松江,佘山,佘北家园富雅苑,暂无,0套在售二手房
20190504,松江,佘山,新松嘉园,34993元/m2,3套在售二手房
20190504,松江,佘山,佘北家园榆叶苑,暂无,0套在售二手房
20190504,松江,佘山,佘北家园松和苑,暂无,1套在售二手房
20190504,松江,佘山,佘北家园士清苑,暂无,0套在售二手房
20190504,松江,佘山,佘北家园铃兰苑,暂无,0套在售二手房
20190504,松江,佘山,王家厍路885弄,暂无,0套在售二手房
20190504,松江,佘山,茗都苑,104155元/m2,0套在售二手房
20190504,松江,佘山,佘北家园茗雅苑,暂无,0套在售二手房
20190504,松江,佘山,西霞路46弄小区,暂无,0套在售二手房
20190504,松江,佘山,桃源路132,暂无,0套在售二手房
20190504,松江,佘山,桃源路188弄86号,暂无,0套在售二手房
20190504,松江,佘山,西霞路25号,暂无,0套在售二手房
20190504,松江,佘山,上海德美公司,暂无,0套在售二手房
20190504,松江,佘山,云峰路112号,暂无,0套在售二手房
20190504,松江,佘山,西霞路12弄,暂无,0套在售二手房
20190504,松江,佘山,外青松公路8987号,暂无,0套在售二手房
20190504,松江,佘山,外青松公路8937弄,暂无,0套在售二手房
20190504,松江,佘山,桃源路188弄14号,暂无,0套在售二手房
20190504,松江,佘山,佘北家园梧桐苑,暂无,0套在售二手房
20190504,松江,佘山,外青松公路6弄,暂无,0套在售二手房
20190504,松江,佘山,佘山新天地休闲广场,16268元/m2,3套在售二手房
20190504,松江,佘山,世茂佘山里,21864元/m2,8套在售二手房
20190504,松江,佘山,佘山高尔夫郡,71026元/m2,22套在售二手房
20190504,松江,佘山,国贸天悦佘山,39124元/m2,9套在售二手房
20190504,松江,佘山,新松嘉园,34993元/m2,3套在售二手房
20190504,松江,佘山,天安别墅,47873元/m2,8套在售二手房
