20190504,松江,小昆山,路劲佘山院子,38202元/m2,3套在售二手房
20190504,松江,小昆山,文晋苑,21178元/m2,1套在售二手房
20190504,松江,小昆山,翔昆苑,暂无,0套在售二手房
20190504,松江,小昆山,佘山院子东园,33452元/m2,0套在售二手房
20190504,松江,小昆山,正泰科沁苑,暂无,0套在售二手房
20190504,松江,小昆山,尚海阳光,暂无,0套在售二手房
20190504,松江,小昆山,玉昆小区,暂无,0套在售二手房
20190504,松江,小昆山,宜居苑,暂无,0套在售二手房
20190504,松江,小昆山,西苑新村,暂无,0套在售二手房
20190504,松江,小昆山,港丰路36号,暂无,0套在售二手房
20190504,松江,小昆山,鼎源路618弄1号,暂无,0套在售二手房
20190504,松江,小昆山,光华路488号,暂无,0套在售二手房
20190504,松江,小昆山,鼎源路618弄40号,暂无,0套在售二手房
20190504,松江,小昆山,云港中路4369弄4号,暂无,0套在售二手房
20190504,松江,小昆山,新港路193号,暂无,0套在售二手房
20190504,松江,小昆山,文翔公馆,暂无,0套在售二手房
20190504,松江,小昆山,昆港公路2586号,暂无,0套在售二手房
20190504,松江,小昆山,昆港公路1498弄,暂无,0套在售二手房
20190504,松江,小昆山,星月大业领地,暂无,0套在售二手房
20190504,松江,小昆山,时尚谷创意园,暂无,0套在售二手房
