20190504,徐汇,长桥,徐汇新城(公寓),61161元/m2,16套在售二手房
20190504,徐汇,长桥,长桥四村,48427元/m2,25套在售二手房
20190504,徐汇,长桥,长桥五村,76370元/m2,20套在售二手房
20190504,徐汇,长桥,罗秀新村,50938元/m2,13套在售二手房
20190504,徐汇,长桥,书香逸居,84292元/m2,6套在售二手房
20190504,徐汇,长桥,长桥一村,80269元/m2,28套在售二手房
20190504,徐汇,长桥,罗秀二村,46977元/m2,9套在售二手房
20190504,徐汇,长桥,星罗苑,88674元/m2,7套在售二手房
20190504,徐汇,长桥,长桥二村,48253元/m2,12套在售二手房
20190504,徐汇,长桥,长桥三村,47750元/m2,21套在售二手房
20190504,徐汇,长桥,长桥八村,47845元/m2,6套在售二手房
20190504,徐汇,长桥,华馨公寓,68384元/m2,3套在售二手房
20190504,徐汇,长桥,长桥新村,49305元/m2,12套在售二手房
20190504,徐汇,长桥,长桥七村,51388元/m2,4套在售二手房
20190504,徐汇,长桥,上中路33号,暂无,0套在售二手房
20190504,徐汇,长桥,龙吴路1717弄11-4号,暂无,0套在售二手房
20190504,徐汇,长桥,龙吴路1719号,暂无,0套在售二手房
20190504,徐汇,长桥,上中路17-19号,暂无,0套在售二手房
20190504,徐汇,长桥,徐汇新城(别墅),64029元/m2,0套在售二手房
20190504,徐汇,长桥,星秀苑,38002元/m2,0套在售二手房
20190504,徐汇,长桥,罗秀路67号,暂无,0套在售二手房
20190504,徐汇,长桥,罗香路150号,暂无,0套在售二手房
20190504,徐汇,长桥,长桥路68号,暂无,0套在售二手房
20190504,徐汇,长桥,罗秀路315号,暂无,0套在售二手房
20190504,徐汇,长桥,罗香路144号,暂无,0套在售二手房
20190504,徐汇,长桥,罗香路158号,暂无,0套在售二手房
20190504,徐汇,长桥,龙吴路1717弄14号,暂无,0套在售二手房
20190504,徐汇,长桥,罗香路275号,暂无,0套在售二手房
20190504,徐汇,长桥,罗香路148号,暂无,0套在售二手房
20190504,徐汇,长桥,龙吴路1717弄14号,暂无,0套在售二手房
20190504,徐汇,长桥,罗香路275号,暂无,0套在售二手房
20190504,徐汇,长桥,罗秀路315号,暂无,0套在售二手房
20190504,徐汇,长桥,长桥路68号,暂无,0套在售二手房
20190504,徐汇,长桥,龙吴路1717弄12-1号,暂无,0套在售二手房
20190504,徐汇,长桥,龙吴路1717弄14-6号,暂无,0套在售二手房
