20190504,徐汇,上海南站,楼园小区,55683元/m2,22套在售二手房
20190504,徐汇,上海南站,汇成三村,54072元/m2,10套在售二手房
20190504,徐汇,上海南站,华东花苑,53470元/m2,18套在售二手房
20190504,徐汇,上海南站,光华园,79787元/m2,36套在售二手房
20190504,徐汇,上海南站,汇成五村,58667元/m2,18套在售二手房
20190504,徐汇,上海南站,金牛苑,54730元/m2,11套在售二手房
20190504,徐汇,上海南站,汇成一村,52959元/m2,21套在售二手房
20190504,徐汇,上海南站,汇成四村,51823元/m2,21套在售二手房
20190504,徐汇,上海南站,康佳苑,68213元/m2,1套在售二手房
20190504,徐汇,上海南站,正南花苑,62785元/m2,6套在售二手房
20190504,徐汇,上海南站,罗城小区,54935元/m2,5套在售二手房
20190504,徐汇,上海南站,汇京佳丽园,83151元/m2,2套在售二手房
20190504,徐汇,上海南站,麦克花园(公寓),62331元/m2,6套在售二手房
20190504,徐汇,上海南站,体育花苑,61329元/m2,6套在售二手房
20190504,徐汇,上海南站,上海中学住宅区,83206元/m2,2套在售二手房
20190504,徐汇,上海南站,汇成二村,51614元/m2,5套在售二手房
20190504,徐汇,上海南站,龙川北路4号,54269元/m2,1套在售二手房
20190504,徐汇,上海南站,幽澜苑,75586元/m2,2套在售二手房
20190504,徐汇,上海南站,石龙路739-741号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路898号,暂无,0套在售二手房
20190504,徐汇,上海南站,老沪闵路709弄,71301元/m2,0套在售二手房
20190504,徐汇,上海南站,麦克花园(别墅),41385元/m2,0套在售二手房
20190504,徐汇,上海南站,龙川北路426号,暂无,0套在售二手房
20190504,徐汇,上海南站,罗城路730号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路905号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路803号,暂无,0套在售二手房
20190504,徐汇,上海南站,龙川北路420-438号,暂无,0套在售二手房
20190504,徐汇,上海南站,百色路1050号,暂无,0套在售二手房
20190504,徐汇,上海南站,嘉川路75号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路737号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路905号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路803号,暂无,0套在售二手房
20190504,徐汇,上海南站,龙川北路420-438号,暂无,0套在售二手房
20190504,徐汇,上海南站,百色路1050号,暂无,0套在售二手房
20190504,徐汇,上海南站,嘉川路75号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路737号,暂无,0套在售二手房
20190504,徐汇,上海南站,老沪闵路289号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路797号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路697、699号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路993号,暂无,0套在售二手房
20190504,徐汇,上海南站,龙川北路880号,暂无,0套在售二手房
20190504,徐汇,上海南站,百色路1037号,暂无,0套在售二手房
20190504,徐汇,上海南站,百色路1100号,暂无,0套在售二手房
20190504,徐汇,上海南站,石龙路743-745号,暂无,0套在售二手房
